rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,subject,success,view_history,stimulus_type,stimulus,key_press,trial_stimulus,minimum_viewing_duration,trial_looking_time,block_deviant,block_background,exposure_type,forced_exposure_time,block_number,block_type,block_exposure_length,stimulus_displayed,question_order,question_stimuli,block_index
164,NA,stimuli-presentation,78,810340,0.0-35.0-1.3,SS1646459705688,NA,NA,trial,NA,40,NA,500,664,images/stimuli/complex_09_A_a.gif,images/stimuli/complex_05_A_a.gif,self-paced,500,4,complex,500,images/stimuli/complex_05_A_a.gif,NA,NA,NA
null,NA,html-keyboard-response,79,811462,0.0-35.0-0.4,SS1646459705688,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,NA,stimuli-presentation,80,812177,0.0-35.0-1.4,SS1646459705688,NA,NA,trial,NA,40,NA,500,697,images/stimuli/complex_09_A_a.gif,images/stimuli/complex_05_A_a.gif,self-paced,500,4,complex,500,images/stimuli/complex_05_A_a.gif,NA,NA,NA
4489,"{""Q0"":""No""}",survey-multi-choice,81,816668,0.0-36.0,SS1646459705688,NA,NA,memory_test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0],images/stimuli/complex_20_A_a.gif,4
null,NA,html-keyboard-response,82,817682,0.0-37.0,SS1646459705688,NA,NA,NA,Watch carefully!,null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,NA,stimuli-presentation,83,818200,0.0-38.0,SS1646459705688,NA,NA,NA,NA,null,NA,500,500,null,null,forced,500,NA,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,84,819208,0.0-39.0,SS1646459705688,NA,NA,NA,Now you can keep studying the creature.,null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,85,820321,0.0-40.0-0.0,SS1646459705688,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3386,NA,stimuli-presentation,86,821586,0.0-40.0-1.0,SS1646459705688,NA,NA,trial,NA,40,NA,500,3886,null,null,forced,500,5,simple,500,images/stimuli/simple_05_A_a.gif,NA,NA,NA
null,NA,html-keyboard-response,87,822571,0.0-40.0-0.1,SS1646459705688,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413,NA,stimuli-presentation,88,823497,0.0-40.0-1.1,SS1646459705688,NA,NA,trial,NA,40,NA,500,913,images/stimuli/simple_06_A_a.gif,images/stimuli/simple_05_A_a.gif,self-paced,500,5,simple,500,images/stimuli/simple_05_A_a.gif,NA,NA,NA
null,NA,html-keyboard-response,89,824403,0.0-40.0-0.2,SS1646459705688,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
803,NA,stimuli-presentation,90,825718,0.0-40.0-1.2,SS1646459705688,NA,NA,trial,NA,40,NA,500,1303,images/stimuli/simple_06_A_a.gif,images/stimuli/simple_05_A_a.gif,self-paced,500,5,simple,500,images/stimuli/simple_05_A_a.gif,NA,NA,NA
null,NA,html-keyboard-response,91,827021,0.0-40.0-0.3,SS1646459705688,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,NA,stimuli-presentation,92,827867,0.0-40.0-1.3,SS1646459705688,NA,NA,trial,NA,40,NA,500,830,images/stimuli/simple_06_A_a.gif,images/stimuli/simple_05_A_a.gif,self-paced,500,5,simple,500,images/stimuli/simple_05_A_a.gif,NA,NA,NA
null,NA,html-keyboard-response,93,828777,0.0-40.0-0.4,SS1646459705688,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1372,NA,stimuli-presentation,94,830659,0.0-40.0-1.4,SS1646459705688,NA,NA,trial,NA,40,NA,500,1872,images/stimuli/simple_06_A_a.gif,images/stimuli/simple_05_A_a.gif,self-paced,500,5,simple,500,images/stimuli/simple_06_A_a.gif,NA,NA,NA
2859,"{""Q0"":""Yes""}",survey-multi-choice,95,833521,0.0-41.0,SS1646459705688,NA,NA,memory_test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0],images/stimuli/simple_05_A_a.gif,5
null,NA,html-keyboard-response,96,834537,0.0-42.0,SS1646459705688,NA,NA,NA,Watch carefully!,null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,NA,stimuli-presentation,97,835048,0.0-43.0,SS1646459705688,NA,NA,NA,NA,null,NA,500,500,null,null,forced,500,NA,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,98,836057,0.0-44.0,SS1646459705688,NA,NA,NA,Now you can keep studying the creature.,null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,99,836898,0.0-45.0-0.0,SS1646459705688,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7139,NA,stimuli-presentation,100,842188,0.0-45.0-1.0,SS1646459705688,NA,NA,trial,NA,40,NA,500,7639,null,null,forced,500,6,simple,500,images/stimuli/simple_14_A_a.gif,NA,NA,NA
null,NA,html-keyboard-response,101,843040,0.0-45.0-0.1,SS1646459705688,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
829,NA,stimuli-presentation,102,844379,0.0-45.0-1.1,SS1646459705688,NA,NA,trial,NA,40,NA,500,1329,images/stimuli/simple_19_A_a.gif,images/stimuli/simple_14_A_a.gif,self-paced,500,6,simple,500,images/stimuli/simple_14_A_a.gif,NA,NA,NA
null,NA,html-keyboard-response,103,845301,0.0-45.0-0.2,SS1646459705688,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
632,NA,stimuli-presentation,104,846444,0.0-45.0-1.2,SS1646459705688,NA,NA,trial,NA,40,NA,500,1132,images/stimuli/simple_19_A_a.gif,images/stimuli/simple_14_A_a.gif,self-paced,500,6,simple,500,images/stimuli/simple_14_A_a.gif,NA,NA,NA
null,NA,html-keyboard-response,105,847717,0.0-45.0-0.3,SS1646459705688,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
962,NA,stimuli-presentation,106,849190,0.0-45.0-1.3,SS1646459705688,NA,NA,trial,NA,40,NA,500,1462,images/stimuli/simple_19_A_a.gif,images/stimuli/simple_14_A_a.gif,self-paced,500,6,simple,500,images/stimuli/simple_14_A_a.gif,NA,NA,NA
null,NA,html-keyboard-response,107,850354,0.0-45.0-0.4,SS1646459705688,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
515,NA,stimuli-presentation,108,851382,0.0-45.0-1.4,SS1646459705688,NA,NA,trial,NA,40,NA,500,1015,images/stimuli/simple_19_A_a.gif,images/stimuli/simple_14_A_a.gif,self-paced,500,6,simple,500,images/stimuli/simple_14_A_a.gif,NA,NA,NA
3331,"{""Q0"":""Yes""}",survey-multi-choice,109,854716,0.0-46.0,SS1646459705688,NA,NA,memory_test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0],images/stimuli/simple_14_A_a.gif,6
null,NA,html-keyboard-response,110,855723,0.0-47.0,SS1646459705688,NA,NA,NA,Watch carefully!,null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,NA,stimuli-presentation,111,865730,0.0-48.0,SS1646459705688,NA,NA,NA,NA,null,NA,500,500,null,null,forced,10000,NA,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,112,866741,0.0-49.0,SS1646459705688,NA,NA,NA,Now you can keep studying the creature.,null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,113,867583,0.0-50.0-0.0,SS1646459705688,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3571,NA,stimuli-presentation,114,869300,0.0-50.0-1.0,SS1646459705688,NA,NA,trial,NA,40,NA,500,4071,null,null,forced,10000,7,simple,10000,images/stimuli/simple_15_A_a.gif,NA,NA,NA
null,NA,html-keyboard-response,115,870212,0.0-50.0-0.1,SS1646459705688,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
720,NA,stimuli-presentation,116,871445,0.0-50.0-1.1,SS1646459705688,NA,NA,trial,NA,40,NA,500,1220,images/stimuli/simple_16_A_a.gif,images/stimuli/simple_15_A_a.gif,self-paced,10000,7,simple,10000,images/stimuli/simple_15_A_a.gif,NA,NA,NA
