"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type"
"[{""page_index"":0,""viewing_time"":2043}]","2044","instructions","0","2050","0.0-0.0","SS1618365903393",""
"[{""page_index"":0,""viewing_time"":6409.000000000002},{""page_index"":1,""viewing_time"":3908.999999999998}]","10318","instructions","1","14375","0.0-1.0","SS1618365903393","instructions"
