"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type"
"[{""page_index"":0,""viewing_time"":3253}]","3255","instructions","0","3258","0.0-0.0","SS1618435790503",""
"[{""page_index"":0,""viewing_time"":3841.0000000000073},{""page_index"":1,""viewing_time"":7903.999999999993}]","11746","instructions","1","17010","0.0-1.0","SS1618435790503","instructions"
