"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type"
"[{""page_index"":0,""viewing_time"":1343.8999999780208}]","1344.7000000160187","instructions","0","1346","0.0-0.0","SS1618006106612",""
"[{""page_index"":0,""viewing_time"":1375.705000013113},{""page_index"":1,""viewing_time"":799.2000000085682}]","2175.255000125617","instructions","1","5528","0.0-1.0","SS1618006106612","instructions"
