"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type"
"[{""page_index"":0,""viewing_time"":2733.299999992596}]","2736.4999999990687","instructions","0","2743","0.0-0.0","SS1618006413051",""
"[{""page_index"":0,""viewing_time"":26057.900000014342},{""page_index"":1,""viewing_time"":4728.999999992084}]","30788.70000000461","instructions","1","35545","0.0-1.0","SS1618006413051","instructions"
