"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":4590}]","4592","instructions","0","4593","0.0-0.0","SS1618365658506","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":7426},{""page_index"":1,""viewing_time"":4564}]","11990","instructions","1","18597","0.0-1.0","SS1618365658506","instructions","","","","","","","","","","","","","","","",""
"","3845","sequential-stimulus-presentation-old","2","22956","0.0-2.0","SS1618365658506","","","40","500","4345","null","null","self_paced","","","","","","","","",""
"","4915","sequential-stimulus-presentation-old","3","28386","0.0-3.0","SS1618365658506","","","40","500","5415","null","null","self_paced","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":9098}]","9098","instructions","4","37487","0.0-4.0","SS1618365658506","instructions","","","","","","","","","","","","","","","",""
"","4176","sequential-stimulus-presentation-old","5","46678","0.0-5.0","SS1618365658506","","","40","500","4676","null","null","forced_long","","","","","","","","",""
"","3152","sequential-stimulus-presentation-old","6","49895","0.0-6.0","SS1618365658506","","","40","50","3202","null","null","forced_long","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2735}]","2735","instructions","7","52632","0.0-7.0","SS1618365658506","instructions","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5542},{""page_index"":1,""viewing_time"":6456},{""page_index"":2,""viewing_time"":4536},{""page_index"":3,""viewing_time"":1354},{""page_index"":4,""viewing_time"":1339}]","19227","instructions","8","71859","0.0-8.0","SS1618365658506","instructions","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","72672","0.0-9.0-0.0","SS1618365658506","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","6125","sequential-stimulus-presentation-old","10","78859","0.0-9.0-1.0","SS1618365658506","trial","","40","500","6625","images/stimuli/spore_stims/complex_10_A_b.gif","images/stimuli/spore_stims/complex_06_A_a.gif","forced_short","","0","complex_dissimilar","images/stimuli/spore_stims/complex_06_A_a.gif","","","","",""
"","null","html-keyboard-response","11","80089","0.0-9.0-0.1","SS1618365658506","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","13972","sequential-stimulus-presentation-old","12","94569","0.0-9.0-1.1","SS1618365658506","trial","","40","500","14472","images/stimuli/spore_stims/complex_10_A_b.gif","images/stimuli/spore_stims/complex_06_A_a.gif","forced_short","","0","complex_dissimilar","images/stimuli/spore_stims/complex_06_A_a.gif","","","","",""
"","null","html-keyboard-response","13","95597","0.0-9.0-0.2","SS1618365658506","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","7629","sequential-stimulus-presentation-old","14","103740","0.0-9.0-1.2","SS1618365658506","trial","","40","500","8129","images/stimuli/spore_stims/complex_10_A_b.gif","images/stimuli/spore_stims/complex_06_A_a.gif","forced_short","","0","complex_dissimilar","images/stimuli/spore_stims/complex_06_A_a.gif","","","","",""
"","null","html-keyboard-response","15","104723","0.0-9.0-0.3","SS1618365658506","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
