"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":1461}]","1462","instructions","0","1467","0.0-0.0","SS1618365352220","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":7082},{""page_index"":1,""viewing_time"":4007}]","11090","instructions","1","14561","0.0-1.0","SS1618365352220","instructions","","","","","","","","","","","","","","","",""
"","9779","sequential-stimulus-presentation-old","2","24851","0.0-2.0","SS1618365352220","","","40","500","10279","null","null","self_paced","","","","","","","","",""
"","2308","sequential-stimulus-presentation-old","3","27675","0.0-3.0","SS1618365352220","","","40","500","2808","null","null","self_paced","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":20055}]","20056","instructions","4","47731","0.0-4.0","SS1618365352220","instructions","","","","","","","","","","","","","","","",""
"","1270","sequential-stimulus-presentation-old","5","54003","0.0-5.0","SS1618365352220","","","40","500","1770","null","null","forced_long","","","","","","","","",""
"","2147","sequential-stimulus-presentation-old","6","56211","0.0-6.0","SS1618365352220","","","40","50","2197","null","null","forced_long","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2083}]","2083","instructions","7","58293","0.0-7.0","SS1618365352220","instructions","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3476},{""page_index"":1,""viewing_time"":4919},{""page_index"":2,""viewing_time"":1778},{""page_index"":3,""viewing_time"":1352},{""page_index"":4,""viewing_time"":1230}]","12755","instructions","8","71050","0.0-8.0","SS1618365352220","instructions","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","72135","0.0-9.0-0.0","SS1618365352220","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","7564","sequential-stimulus-presentation-old","10","80210","0.0-9.0-1.0","SS1618365352220","trial","","40","500","8064","images/stimuli/spore_stims/simple_09_A_b.gif","images/stimuli/spore_stims/simple_04_A_a.gif","self_paced","","0","simple_dissimilar","images/stimuli/spore_stims/simple_04_A_a.gif","","","","",""
"","null","html-keyboard-response","11","81351","0.0-9.0-0.1","SS1618365352220","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","1501","sequential-stimulus-presentation-old","12","83364","0.0-9.0-1.1","SS1618365352220","trial","","40","500","2001","images/stimuli/spore_stims/simple_09_A_b.gif","images/stimuli/spore_stims/simple_04_A_a.gif","self_paced","","0","simple_dissimilar","images/stimuli/spore_stims/simple_04_A_a.gif","","","","",""
"","null","html-keyboard-response","13","84651","0.0-9.0-0.2","SS1618365352220","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","4881","sequential-stimulus-presentation-old","14","90035","0.0-9.0-1.2","SS1618365352220","trial","","40","500","5381","images/stimuli/spore_stims/simple_09_A_b.gif","images/stimuli/spore_stims/simple_04_A_a.gif","self_paced","","0","simple_dissimilar","images/stimuli/spore_stims/simple_04_A_a.gif","","","","",""
"","null","html-keyboard-response","15","91055","0.0-9.0-0.3","SS1618365352220","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","13444","sequential-stimulus-presentation-old","16","105011","0.0-9.0-1.3","SS1618365352220","trial","","40","500","13944","images/stimuli/spore_stims/simple_09_A_b.gif","images/stimuli/spore_stims/simple_04_A_a.gif","self_paced","","0","simple_dissimilar","images/stimuli/spore_stims/simple_04_A_a.gif","","","","",""
"","null","html-keyboard-response","17","106089","0.0-9.0-0.4","SS1618365352220","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","37781","sequential-stimulus-presentation-old","18","144379","0.0-9.0-1.4","SS1618365352220","trial","","40","500","38281","images/stimuli/spore_stims/simple_09_A_b.gif","images/stimuli/spore_stims/simple_04_A_a.gif","self_paced","","0","simple_dissimilar","images/stimuli/spore_stims/simple_04_A_a.gif","","","","",""
"","null","html-keyboard-response","19","145650","0.0-9.0-0.5","SS1618365352220","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","2577","sequential-stimulus-presentation-old","20","148740","0.0-9.0-1.5","SS1618365352220","trial","","40","500","3077","images/stimuli/spore_stims/simple_09_A_b.gif","images/stimuli/spore_stims/simple_04_A_a.gif","self_paced","","0","simple_dissimilar","images/stimuli/spore_stims/simple_04_A_a.gif","","","","",""
"","4567","survey-multi-choice","21","153310","0.0-10.0","SS1618365352220","math_question","","","","","","","","","","","","{""Q0"":""14""}","[0]","14","",""
"","null","html-keyboard-response","22","154212","0.0-11.0-0.0","SS1618365352220","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","3414","sequential-stimulus-presentation-old","23","158131","0.0-11.0-1.0","SS1618365352220","trial","","40","500","3914","images/stimuli/spore_stims/complex_11_A_b.gif","images/stimuli/spore_stims/complex_05_A_a.gif","self_paced","","1","complex_dissimilar","images/stimuli/spore_stims/complex_05_A_a.gif","","","","",""
"","null","html-keyboard-response","24","159291","0.0-11.0-0.1","SS1618365352220","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","2514","sequential-stimulus-presentation-old","25","162315","0.0-11.0-1.1","SS1618365352220","trial","","40","500","3014","images/stimuli/spore_stims/complex_11_A_b.gif","images/stimuli/spore_stims/complex_05_A_a.gif","self_paced","","1","complex_dissimilar","images/stimuli/spore_stims/complex_11_A_b.gif","","","","",""
"","null","html-keyboard-response","26","163240","0.0-11.0-0.2","SS1618365352220","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","1276","sequential-stimulus-presentation-old","27","165026","0.0-11.0-1.2","SS1618365352220","trial","","40","500","1776","images/stimuli/spore_stims/complex_11_A_b.gif","images/stimuli/spore_stims/complex_05_A_a.gif","self_paced","","1","complex_dissimilar","images/stimuli/spore_stims/complex_05_A_a.gif","","","","",""
"","null","html-keyboard-response","28","165959","0.0-11.0-0.3","SS1618365352220","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","1532","sequential-stimulus-presentation-old","29","168002","0.0-11.0-1.3","SS1618365352220","trial","","40","500","2032","images/stimuli/spore_stims/complex_11_A_b.gif","images/stimuli/spore_stims/complex_05_A_a.gif","self_paced","","1","complex_dissimilar","images/stimuli/spore_stims/complex_05_A_a.gif","","","","",""
"","null","html-keyboard-response","30","169010","0.0-11.0-0.4","SS1618365352220","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","846","sequential-stimulus-presentation-old","31","170371","0.0-11.0-1.4","SS1618365352220","trial","","40","500","1346","images/stimuli/spore_stims/complex_11_A_b.gif","images/stimuli/spore_stims/complex_05_A_a.gif","self_paced","","1","complex_dissimilar","images/stimuli/spore_stims/complex_05_A_a.gif","","","","",""
"","null","html-keyboard-response","32","171380","0.0-11.0-0.5","SS1618365352220","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","1141","sequential-stimulus-presentation-old","33","173034","0.0-11.0-1.5","SS1618365352220","trial","","40","500","1641","images/stimuli/spore_stims/complex_11_A_b.gif","images/stimuli/spore_stims/complex_05_A_a.gif","self_paced","","1","complex_dissimilar","images/stimuli/spore_stims/complex_11_A_b.gif","","","","",""
"","3378","survey-multi-choice","34","176413","0.0-12.0","SS1618365352220","math_question","","","","","","","","","","","","{""Q0"":""9""}","[0]","9","",""
"","null","html-keyboard-response","35","177448","0.0-13.0-0.0","SS1618365352220","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","4246","sequential-stimulus-presentation-old","36","181746","0.0-13.0-1.0","SS1618365352220","trial","","40","500","4746","images/stimuli/spore_stims/complex_19_A_a.gif","images/stimuli/spore_stims/complex_15_A_b.gif","forced_short","","2","complex_dissimilar","images/stimuli/spore_stims/complex_15_A_b.gif","","","","",""
"","null","html-keyboard-response","37","182658","0.0-13.0-0.1","SS1618365352220","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","5010","sequential-stimulus-presentation-old","38","188178","0.0-13.0-1.1","SS1618365352220","trial","","40","500","5510","images/stimuli/spore_stims/complex_19_A_a.gif","images/stimuli/spore_stims/complex_15_A_b.gif","forced_short","","2","complex_dissimilar","images/stimuli/spore_stims/complex_19_A_a.gif","","","","",""
"","null","html-keyboard-response","39","189093","0.0-13.0-0.2","SS1618365352220","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","4128","sequential-stimulus-presentation-old","40","193730","0.0-13.0-1.2","SS1618365352220","trial","","40","500","4628","images/stimuli/spore_stims/complex_19_A_a.gif","images/stimuli/spore_stims/complex_15_A_b.gif","forced_short","","2","complex_dissimilar","images/stimuli/spore_stims/complex_15_A_b.gif","","","","",""
"","null","html-keyboard-response","41","194581","0.0-13.0-0.3","SS1618365352220","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","305","sequential-stimulus-presentation-old","42","195394","0.0-13.0-1.3","SS1618365352220","trial","","40","500","805","images/stimuli/spore_stims/complex_19_A_a.gif","images/stimuli/spore_stims/complex_15_A_b.gif","forced_short","","2","complex_dissimilar","images/stimuli/spore_stims/complex_15_A_b.gif","","","","",""
"","9692","survey-multi-choice","43","205088","0.0-14.0","SS1618365352220","math_question","","","","","","","","","","","","{""Q0"":""14""}","[0]","14","",""
"","null","html-keyboard-response","44","206398","0.0-15.0-0.0","SS1618365352220","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","3294","sequential-stimulus-presentation-old","45","209755","0.0-15.0-1.0","SS1618365352220","trial","","40","500","3794","images/stimuli/spore_stims/complex_08_A_a.gif","images/stimuli/spore_stims/complex_06_A_b.gif","forced_short","","3","complex_dissimilar","images/stimuli/spore_stims/complex_06_A_b.gif","","","","",""
