"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type"
"[{""page_index"":0,""viewing_time"":4024}]","4024","instructions","0","4025","0.0-0.0","SS1618364852734",""
"[{""page_index"":0,""viewing_time"":3400},{""page_index"":1,""viewing_time"":6785}]","10185","instructions","1","16216","0.0-1.0","SS1618364852734","instructions"
