"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type"
"[{""page_index"":0,""viewing_time"":18532.000000000044}]","18770.600000000006","instructions","0","18812","0.0-0.0","SS1618366096592",""
"[{""page_index"":0,""viewing_time"":21900.899999999987},{""page_index"":1,""viewing_time"":11565.599999999948}]","33483.19999999996","instructions","1","54366","0.0-1.0","SS1618366096592","instructions"
