"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type"
"[{""page_index"":0,""viewing_time"":5232.999999999947}]","5238.200000000006","instructions","0","5242","0.0-0.0","SS1618366231878",""
"[{""page_index"":0,""viewing_time"":3362.300000000003},{""page_index"":1,""viewing_time"":2648.1999999999753}]","6014.299999999934","instructions","1","13290","0.0-1.0","SS1618366231878","instructions"
