"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","trial_stimulus","minimum_viewing_duration","trial_looking_time","condition_num","block_number","block_type","stimulus_displayed","position_displayed"
"","html-keyboard-response","65","575944","0.0-22.0-0.3","SS1619978421239","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","66","581949","0.0-22.0-1.3","SS1619978421239","null","","","null","","trial","","1000","1000","1","3","Std","stimuli/images/spore_stims/simple_08_A.gif","right"
"","html-keyboard-response","67","584382","0.0-22.0-0.4","SS1619978421239","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","68","590390","0.0-22.0-1.4","SS1619978421239","null","","","null","","trial","","1000","1000","1","3","Std","stimuli/images/spore_stims/simple_08_A.gif","right"
"","html-keyboard-response","69","591584","0.0-22.0-0.5","SS1619978421239","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","70","597589","0.0-22.0-1.5","SS1619978421239","null","","","null","","trial","","1000","1000","1","3","Std","stimuli/images/spore_stims/simple_08_A.gif","right"
"","html-keyboard-response","71","598159","0.0-22.0-0.6","SS1619978421239","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","72","604162","0.0-22.0-1.6","SS1619978421239","null","","","null","","trial","","1000","1000","1","3","Std","stimuli/images/spore_stims/simple_08_A.gif","right"
"","html-keyboard-response","73","605962","0.0-22.0-0.7","SS1619978421239","null","","<p><img src=stimuli/images/blank_test.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","74","618498","0.0-22.0-1.7","SS1619978421239","64837.22499999567","","","40","","trial","","1000","65837.22499999567","1","3","Std","stimuli/images/spore_stims/simple_08_A.gif","right"
