prolific_id,rating_type,curiosity_rating,block_number,rating_stimus_type,animacy,number,pose
605da94ba47f45380a1c7d57,background,2,1,animate_pair_left,animate,pair,left
6595be0e8ac3f1327fec5bf8,background,1,1,animate_single_right,animate,single,right
65263de10f1e7475f5b1fc21,background,1,1,animate_single_right,animate,single,right
605da94ba47f45380a1c7d57,background,3,2,animate_single_right,animate,single,right
65263de10f1e7475f5b1fc21,background,1,2,inanimate_single_right,inanimate,single,right
605da94ba47f45380a1c7d57,background,2,3,inanimate_single_right,inanimate,single,right
6595be0e8ac3f1327fec5bf8,background,1,2,inanimate_pair_right,inanimate,pair,right
65263de10f1e7475f5b1fc21,background,2,3,animate_pair_right,animate,pair,right
605da94ba47f45380a1c7d57,background,1,4,inanimate_pair_left,inanimate,pair,left
6595be0e8ac3f1327fec5bf8,background,1,3,animate_pair_left,animate,pair,left
65263de10f1e7475f5b1fc21,background,1,4,animate_single_right,animate,single,right
605da94ba47f45380a1c7d57,background,1,5,animate_pair_right,animate,pair,right
6595be0e8ac3f1327fec5bf8,deviant,1,4,animate_pair_left,inanimate,pair,left
605da94ba47f45380a1c7d57,background,0,6,inanimate_pair_left,inanimate,pair,left
65263de10f1e7475f5b1fc21,deviant,2,5,animate_pair_left,inanimate,pair,left
605da94ba47f45380a1c7d57,background,1,7,animate_single_right,animate,single,right
6595be0e8ac3f1327fec5bf8,background,0,5,inanimate_single_right,inanimate,single,right
65263de10f1e7475f5b1fc21,background,1,6,animate_single_left,animate,single,left
65263de10f1e7475f5b1fc21,background,1,7,animate_pair_right,animate,pair,right
605da94ba47f45380a1c7d57,background,2,8,animate_single_left,animate,single,left
65263de10f1e7475f5b1fc21,background,0,8,inanimate_single_left,inanimate,single,left
605da94ba47f45380a1c7d57,background,0,9,inanimate_single_left,inanimate,single,left
6595be0e8ac3f1327fec5bf8,background,2,6,animate_pair_left,animate,pair,left
65263de10f1e7475f5b1fc21,background,1,9,inanimate_single_right,inanimate,single,right
605da94ba47f45380a1c7d57,deviant,2,10,inanimate_pair_right,animate,pair,right
65263de10f1e7475f5b1fc21,background,2,10,animate_pair_left,animate,pair,left
6595be0e8ac3f1327fec5bf8,deviant,2,7,animate_single_left,animate,single,right
605da94ba47f45380a1c7d57,deviant,2,11,animate_single_left,animate,pair,left
65263de10f1e7475f5b1fc21,background,3,11,inanimate_pair_right,inanimate,pair,right
65263de10f1e7475f5b1fc21,background,1,12,inanimate_pair_right,inanimate,pair,right
605da94ba47f45380a1c7d57,deviant,3,12,animate_pair_left,animate,single,left
6595be0e8ac3f1327fec5bf8,background,0,8,inanimate_pair_left,inanimate,pair,left
65263de10f1e7475f5b1fc21,background,0,13,animate_single_left,animate,single,left
605da94ba47f45380a1c7d57,deviant,3,13,animate_single_left,inanimate,single,left
