success,trial_type,trial_index,time_elapsed,internal_node_id,subject,rt,responses,view_history,stimulus_type,trial_stimulus,key_press,minimum_viewing_duration,trial_looking_time,block_deviant,block_background,exposure_type,forced_exposure_time,stimulus,stimulus_displayed,question_order
NA,survey-likert,51,286892,0.0-69.0-8.0-0.2,SS1651686078829,2524.699999988079,"{""Q0"":5}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_07_A_a.gif,NA,[0]
NA,survey-likert,52,290921,0.0-69.0-8.0-0.3,SS1651686078829,4027,"{""Q0"":4}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_04_A_a.gif,NA,[0]
NA,survey-likert,53,296404,0.0-69.0-8.0-0.4,SS1651686078829,5479.299999952316,"{""Q0"":2}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/complex_09_A_a.gif,NA,[0]
NA,survey-likert,54,299758,0.0-69.0-8.0-0.5,SS1651686078829,3350.899999976158,"{""Q0"":5}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/complex_15_A_a.gif,NA,[0]
NA,survey-likert,55,302462,0.0-69.0-8.0-0.6,SS1651686078829,2701.600000023842,"{""Q0"":5}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/complex_06_A_a.gif,NA,[0]
NA,survey-likert,56,305175,0.0-69.0-8.0-0.7,SS1651686078829,2710.300000011921,"{""Q0"":5}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_03_A_a.gif,NA,[0]
NA,survey-likert,57,309740,0.0-69.0-8.0-0.8,SS1651686078829,4562.5,"{""Q0"":5}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/complex_04_A_a.gif,NA,[0]
NA,survey-likert,58,313889,0.0-69.0-8.0-0.9,SS1651686078829,4146.5,"{""Q0"":5}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/complex_19_A_a.gif,NA,[0]
NA,survey-likert,59,317216,0.0-69.0-8.0-0.10,SS1651686078829,3324.199999988079,"{""Q0"":5}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/complex_01_A_a.gif,NA,[0]
NA,survey-likert,60,319569,0.0-69.0-8.0-0.11,SS1651686078829,2350.099999964237,"{""Q0"":5}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_12_A_a.gif,NA,[0]
NA,survey-likert,61,322034,0.0-69.0-8.0-0.12,SS1651686078829,2461.800000011921,"{""Q0"":5}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_15_A_a.gif,NA,[0]
NA,survey-likert,62,325062,0.0-69.0-8.0-0.13,SS1651686078829,3025.199999988079,"{""Q0"":4}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_01_A_a.gif,NA,[0]
NA,survey-likert,63,327387,0.0-69.0-8.0-0.14,SS1651686078829,2321.600000023842,"{""Q0"":5}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_17_A_a.gif,NA,[0]
NA,survey-likert,64,330262,0.0-69.0-8.0-0.15,SS1651686078829,2873,"{""Q0"":2}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_18_A_a.gif,NA,[0]
NA,survey-likert,65,333464,0.0-69.0-8.0-0.16,SS1651686078829,3198.5,"{""Q0"":3}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_13_A_a.gif,NA,[0]
NA,survey-likert,66,337817,0.0-69.0-8.0-0.17,SS1651686078829,4350.200000047684,"{""Q0"":5}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/complex_17_A_a.gif,NA,[0]
NA,survey-likert,67,340270,0.0-69.0-8.0-0.18,SS1651686078829,2450.300000011921,"{""Q0"":5}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/complex_03_A_a.gif,NA,[0]
NA,survey-likert,68,342980,0.0-69.0-8.0-0.19,SS1651686078829,2707.5,"{""Q0"":5}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_09_A_a.gif,NA,[0]
NA,survey-text,69,384533,0.0-69.0-9.0,SS1651686078829,41549.299999952316,"{""Q0"":""Yes, animation was laggy""}",NA,feedback,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,fullscreen,70,385536,0.0-69.0-10.0,SS1651686078829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,instructions,71,389843,0.0-69.0-11.0,SS1651686078829,4304.5,NA,"[{""page_index"":0,""viewing_time"":4304.099999964237}]",instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,fullscreen,0,37630,0.0-0.0,SS1651686913194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,survey-text,1,45669,0.0-1.0,SS1651686913194,8029.199999988079,"{""p_id"":""6131411246a6bd5f60f51137""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,instructions,2,49766,0.0-18.0-0.0,SS1651686913194,4089.400000035763,NA,"[{""page_index"":0,""viewing_time"":4088.5}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
