subject,bing_id,child_age_group,age_in_months,block_number,trial_number,block_type,trial_type,block_background,block_deviant,deviant_position,stimulus_displayed,trial_looking_time,task_type,task_question_type,task_question_response,participant_type
SS1649106438604,bb580,5,63.96,5,1,complex_dissimilar,background,images/stimuli/complex_02_A_a.gif,images/stimuli/complex_17_A_a.gif,NA,images/stimuli/complex_02_A_a.gif,8630.900000095367,NA,NA,NA,kids
SS1649106438604,bb580,5,63.96,5,2,complex_dissimilar,background,images/stimuli/complex_02_A_a.gif,images/stimuli/complex_17_A_a.gif,NA,images/stimuli/complex_02_A_a.gif,835.1000000238419,NA,NA,NA,kids
SS1649106438604,bb580,5,63.96,5,3,complex_dissimilar,background,images/stimuli/complex_02_A_a.gif,images/stimuli/complex_17_A_a.gif,NA,images/stimuli/complex_02_A_a.gif,621.5,NA,NA,NA,kids
SS1649106438604,bb580,5,63.96,5,4,complex_dissimilar,background,images/stimuli/complex_02_A_a.gif,images/stimuli/complex_17_A_a.gif,NA,images/stimuli/complex_02_A_a.gif,704.6999999284744,NA,NA,NA,kids
SS1649106438604,bb580,5,63.96,5,5,complex_dissimilar,background,images/stimuli/complex_02_A_a.gif,images/stimuli/complex_17_A_a.gif,NA,images/stimuli/complex_02_A_a.gif,737.1000000238419,NA,NA,NA,kids
SS1649106438604,bb580,5,63.96,5,6,complex_dissimilar,background,images/stimuli/complex_02_A_a.gif,images/stimuli/complex_17_A_a.gif,NA,images/stimuli/complex_02_A_a.gif,696.1000000238419,NA,NA,NA,kids
SS1649106438604,bb580,5,63.96,6,1,complex_dissimilar,background,images/stimuli/complex_24_A_a.gif,images/stimuli/complex_07_A_a.gif,2,images/stimuli/complex_24_A_a.gif,1784.600000023842,NA,NA,NA,kids
SS1649106438604,bb580,5,63.96,6,2,complex_dissimilar,deviant,images/stimuli/complex_24_A_a.gif,images/stimuli/complex_07_A_a.gif,2,images/stimuli/complex_07_A_a.gif,1799.899999976158,NA,NA,NA,kids
SS1649106438604,bb580,5,63.96,6,3,complex_dissimilar,background,images/stimuli/complex_24_A_a.gif,images/stimuli/complex_07_A_a.gif,2,images/stimuli/complex_24_A_a.gif,1138.8000000715256,NA,NA,NA,kids
SS1649106438604,bb580,5,63.96,6,4,complex_dissimilar,background,images/stimuli/complex_24_A_a.gif,images/stimuli/complex_07_A_a.gif,2,images/stimuli/complex_24_A_a.gif,710.1000000238419,NA,NA,NA,kids
SS1649106438604,bb580,5,63.96,6,5,complex_dissimilar,background,images/stimuli/complex_24_A_a.gif,images/stimuli/complex_07_A_a.gif,2,images/stimuli/complex_24_A_a.gif,646.1999999284744,NA,NA,NA,kids
SS1649106438604,bb580,5,63.96,6,6,complex_dissimilar,background,images/stimuli/complex_24_A_a.gif,images/stimuli/complex_07_A_a.gif,2,images/stimuli/complex_24_A_a.gif,1676,NA,NA,NA,kids
SS1649106438604,bb580,5,63.96,7,1,complex_dissimilar,background,images/stimuli/complex_12_A_b.gif,images/stimuli/complex_09_A_a.gif,6,images/stimuli/complex_12_A_b.gif,1562.7000000476835,NA,NA,NA,kids
SS1649106438604,bb580,5,63.96,7,2,complex_dissimilar,background,images/stimuli/complex_12_A_b.gif,images/stimuli/complex_09_A_a.gif,6,images/stimuli/complex_12_A_b.gif,640,NA,NA,NA,kids
SS1649106438604,bb580,5,63.96,7,3,complex_dissimilar,background,images/stimuli/complex_12_A_b.gif,images/stimuli/complex_09_A_a.gif,6,images/stimuli/complex_12_A_b.gif,1584.1999999284744,NA,NA,NA,kids
SS1649106438604,bb580,5,63.96,7,4,complex_dissimilar,background,images/stimuli/complex_12_A_b.gif,images/stimuli/complex_09_A_a.gif,6,images/stimuli/complex_12_A_b.gif,554.7000000476837,NA,NA,NA,kids
SS1649106438604,bb580,5,63.96,7,5,complex_dissimilar,background,images/stimuli/complex_12_A_b.gif,images/stimuli/complex_09_A_a.gif,6,images/stimuli/complex_12_A_b.gif,1038.5999999046326,NA,NA,NA,kids
SS1649106438604,bb580,5,63.96,7,6,complex_dissimilar,deviant,images/stimuli/complex_12_A_b.gif,images/stimuli/complex_09_A_a.gif,6,images/stimuli/complex_09_A_a.gif,1750.899999976158,NA,NA,NA,kids
SS1649106438604,bb580,5,63.96,8,1,complex_dissimilar,background,images/stimuli/complex_18_A_b.gif,images/stimuli/complex_21_A_b.gif,6,images/stimuli/complex_18_A_b.gif,1790.2999999523165,NA,NA,NA,kids
SS1649106438604,bb580,5,63.96,8,2,complex_dissimilar,background,images/stimuli/complex_18_A_b.gif,images/stimuli/complex_21_A_b.gif,6,images/stimuli/complex_18_A_b.gif,1006.600000023842,NA,NA,NA,kids
SS1649106438604,bb580,5,63.96,8,3,complex_dissimilar,background,images/stimuli/complex_18_A_b.gif,images/stimuli/complex_21_A_b.gif,6,images/stimuli/complex_18_A_b.gif,554.7000000476837,NA,NA,NA,kids
SS1649106438604,bb580,5,63.96,8,4,complex_dissimilar,background,images/stimuli/complex_18_A_b.gif,images/stimuli/complex_21_A_b.gif,6,images/stimuli/complex_18_A_b.gif,691,NA,NA,NA,kids
SS1649106438604,bb580,5,63.96,8,5,complex_dissimilar,background,images/stimuli/complex_18_A_b.gif,images/stimuli/complex_21_A_b.gif,6,images/stimuli/complex_18_A_b.gif,1269.2999999523165,NA,NA,NA,kids
SS1649106438604,bb580,5,63.96,8,6,complex_dissimilar,deviant,images/stimuli/complex_18_A_b.gif,images/stimuli/complex_21_A_b.gif,6,images/stimuli/complex_21_A_b.gif,1556.2000000476835,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,1,1,complex_dissimilar,background,images/stimuli/complex_20_A_a.gif,images/stimuli/complex_06_A_b.gif,4,images/stimuli/complex_20_A_a.gif,11355.799999952316,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,1,2,complex_dissimilar,background,images/stimuli/complex_20_A_a.gif,images/stimuli/complex_06_A_b.gif,4,images/stimuli/complex_20_A_a.gif,1459.1999999284744,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,1,3,complex_dissimilar,background,images/stimuli/complex_20_A_a.gif,images/stimuli/complex_06_A_b.gif,4,images/stimuli/complex_20_A_a.gif,857.8999999761581,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,1,4,complex_dissimilar,deviant,images/stimuli/complex_20_A_a.gif,images/stimuli/complex_06_A_b.gif,4,images/stimuli/complex_06_A_b.gif,2232.600000023842,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,1,5,complex_dissimilar,background,images/stimuli/complex_20_A_a.gif,images/stimuli/complex_06_A_b.gif,4,images/stimuli/complex_20_A_a.gif,3478.100000023842,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,1,6,complex_dissimilar,background,images/stimuli/complex_20_A_a.gif,images/stimuli/complex_06_A_b.gif,4,images/stimuli/complex_20_A_a.gif,1736.4000000953674,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,2,1,complex_dissimilar,background,images/stimuli/complex_11_A_b.gif,images/stimuli/complex_19_A_a.gif,2,images/stimuli/complex_11_A_b.gif,3569,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,2,2,complex_dissimilar,deviant,images/stimuli/complex_11_A_b.gif,images/stimuli/complex_19_A_a.gif,2,images/stimuli/complex_19_A_a.gif,4780.300000071526,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,2,3,complex_dissimilar,background,images/stimuli/complex_11_A_b.gif,images/stimuli/complex_19_A_a.gif,2,images/stimuli/complex_11_A_b.gif,1631.6999999284744,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,2,4,complex_dissimilar,background,images/stimuli/complex_11_A_b.gif,images/stimuli/complex_19_A_a.gif,2,images/stimuli/complex_11_A_b.gif,1909.100000023842,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,2,5,complex_dissimilar,background,images/stimuli/complex_11_A_b.gif,images/stimuli/complex_19_A_a.gif,2,images/stimuli/complex_11_A_b.gif,833.1000000238419,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,2,6,complex_dissimilar,background,images/stimuli/complex_11_A_b.gif,images/stimuli/complex_19_A_a.gif,2,images/stimuli/complex_11_A_b.gif,1100.2999999523165,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,3,1,complex_dissimilar,background,images/stimuli/complex_04_A_b.gif,images/stimuli/complex_21_A_b.gif,6,images/stimuli/complex_04_A_b.gif,2665.100000023842,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,3,2,complex_dissimilar,background,images/stimuli/complex_04_A_b.gif,images/stimuli/complex_21_A_b.gif,6,images/stimuli/complex_04_A_b.gif,1861.9000000953672,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,3,3,complex_dissimilar,background,images/stimuli/complex_04_A_b.gif,images/stimuli/complex_21_A_b.gif,6,images/stimuli/complex_04_A_b.gif,505,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,3,4,complex_dissimilar,background,images/stimuli/complex_04_A_b.gif,images/stimuli/complex_21_A_b.gif,6,images/stimuli/complex_04_A_b.gif,592.8999999761581,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,3,5,complex_dissimilar,background,images/stimuli/complex_04_A_b.gif,images/stimuli/complex_21_A_b.gif,6,images/stimuli/complex_04_A_b.gif,1680.5999999046326,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,3,6,complex_dissimilar,deviant,images/stimuli/complex_04_A_b.gif,images/stimuli/complex_21_A_b.gif,6,images/stimuli/complex_21_A_b.gif,2004.1999999284744,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,4,1,complex_dissimilar,background,images/stimuli/complex_23_A_a.gif,images/stimuli/complex_14_A_b.gif,4,images/stimuli/complex_23_A_a.gif,3966,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,4,2,complex_dissimilar,background,images/stimuli/complex_23_A_a.gif,images/stimuli/complex_14_A_b.gif,4,images/stimuli/complex_23_A_a.gif,1007.7000000476836,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,4,3,complex_dissimilar,background,images/stimuli/complex_23_A_a.gif,images/stimuli/complex_14_A_b.gif,4,images/stimuli/complex_23_A_a.gif,2827.7999999523163,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,4,4,complex_dissimilar,deviant,images/stimuli/complex_23_A_a.gif,images/stimuli/complex_14_A_b.gif,4,images/stimuli/complex_14_A_b.gif,1075.100000023842,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,4,5,complex_dissimilar,background,images/stimuli/complex_23_A_a.gif,images/stimuli/complex_14_A_b.gif,4,images/stimuli/complex_23_A_a.gif,2310.900000095367,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,4,6,complex_dissimilar,background,images/stimuli/complex_23_A_a.gif,images/stimuli/complex_14_A_b.gif,4,images/stimuli/complex_23_A_a.gif,2289.100000023842,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,5,1,complex_dissimilar,background,images/stimuli/complex_01_A_b.gif,images/stimuli/complex_07_A_b.gif,2,images/stimuli/complex_01_A_b.gif,1939.5,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,5,2,complex_dissimilar,deviant,images/stimuli/complex_01_A_b.gif,images/stimuli/complex_07_A_b.gif,2,images/stimuli/complex_07_A_b.gif,889.5,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,5,3,complex_dissimilar,background,images/stimuli/complex_01_A_b.gif,images/stimuli/complex_07_A_b.gif,2,images/stimuli/complex_01_A_b.gif,755.2999999523163,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,5,4,complex_dissimilar,background,images/stimuli/complex_01_A_b.gif,images/stimuli/complex_07_A_b.gif,2,images/stimuli/complex_01_A_b.gif,1246.399999976158,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,5,5,complex_dissimilar,background,images/stimuli/complex_01_A_b.gif,images/stimuli/complex_07_A_b.gif,2,images/stimuli/complex_01_A_b.gif,1131.600000023842,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,5,6,complex_dissimilar,background,images/stimuli/complex_01_A_b.gif,images/stimuli/complex_07_A_b.gif,2,images/stimuli/complex_01_A_b.gif,1287.600000023842,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,6,1,complex_dissimilar,background,images/stimuli/complex_24_A_a.gif,images/stimuli/complex_08_A_b.gif,NA,images/stimuli/complex_24_A_a.gif,2416.7999999523163,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,6,2,complex_dissimilar,background,images/stimuli/complex_24_A_a.gif,images/stimuli/complex_08_A_b.gif,NA,images/stimuli/complex_24_A_a.gif,1181.2999999523165,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,6,3,complex_dissimilar,background,images/stimuli/complex_24_A_a.gif,images/stimuli/complex_08_A_b.gif,NA,images/stimuli/complex_24_A_a.gif,717,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,6,4,complex_dissimilar,background,images/stimuli/complex_24_A_a.gif,images/stimuli/complex_08_A_b.gif,NA,images/stimuli/complex_24_A_a.gif,604.6000000238419,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,6,5,complex_dissimilar,background,images/stimuli/complex_24_A_a.gif,images/stimuli/complex_08_A_b.gif,NA,images/stimuli/complex_24_A_a.gif,534.2999999523163,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,6,6,complex_dissimilar,background,images/stimuli/complex_24_A_a.gif,images/stimuli/complex_08_A_b.gif,NA,images/stimuli/complex_24_A_a.gif,567.1999999284744,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,7,1,complex_dissimilar,background,images/stimuli/complex_05_A_a.gif,images/stimuli/complex_22_A_a.gif,6,images/stimuli/complex_05_A_a.gif,2126.7000000476837,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,7,2,complex_dissimilar,background,images/stimuli/complex_05_A_a.gif,images/stimuli/complex_22_A_a.gif,6,images/stimuli/complex_05_A_a.gif,950.399999976158,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,7,3,complex_dissimilar,background,images/stimuli/complex_05_A_a.gif,images/stimuli/complex_22_A_a.gif,6,images/stimuli/complex_05_A_a.gif,619.2999999523163,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,7,4,complex_dissimilar,background,images/stimuli/complex_05_A_a.gif,images/stimuli/complex_22_A_a.gif,6,images/stimuli/complex_05_A_a.gif,1254,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,7,5,complex_dissimilar,background,images/stimuli/complex_05_A_a.gif,images/stimuli/complex_22_A_a.gif,6,images/stimuli/complex_05_A_a.gif,704.9000000953674,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,7,6,complex_dissimilar,deviant,images/stimuli/complex_05_A_a.gif,images/stimuli/complex_22_A_a.gif,6,images/stimuli/complex_22_A_a.gif,1362.100000023842,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,8,1,complex_dissimilar,background,images/stimuli/complex_02_A_a.gif,images/stimuli/complex_17_A_a.gif,NA,images/stimuli/complex_02_A_a.gif,1448.5,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,8,2,complex_dissimilar,background,images/stimuli/complex_02_A_a.gif,images/stimuli/complex_17_A_a.gif,NA,images/stimuli/complex_02_A_a.gif,573.0999999046326,NA,NA,NA,kids
