subject,block_number,block_type,trial_number,item_type,trial_type,trial_complexity,item_id,rt,exposure_type,half,block_deviant_number,trial_type_index,first_dev_position,second_dev_position
SS1619113880904,10,simple_dissimilar,1,background,background,simple,simple_18_A,1058.229999995092,forced_short,second half,2,background,5,6
SS1619113880904,10,simple_dissimilar,2,background,background,simple,simple_18_A,1456.8600000056904,forced_short,second half,2,background,5,6
SS1619113880904,10,simple_dissimilar,3,background,background,simple,simple_18_A,617.2250000090571,forced_short,second half,2,background,5,6
SS1619113880904,10,simple_dissimilar,4,background,background,simple,simple_18_A,1282.5750000047265,forced_short,second half,2,background,5,6
SS1619113880904,10,simple_dissimilar,5,dissimilar deviant,deviant,simple,simple_19_A,1639.020000002347,forced_short,second half,2,first_deviant,5,6
SS1619113880904,10,simple_dissimilar,6,dissimilar deviant,deviant,simple,simple_19_A,269.7700000135228,forced_short,second half,2,second_deviant,5,6
SS1619113880904,11,simple_dissimilar,1,background,background,simple,simple_09_A,949.0999999979977,forced_short,second half,0,background,NA,NA
SS1619113880904,11,simple_dissimilar,2,background,background,simple,simple_09_A,1541.5999999968335,forced_short,second half,0,background,NA,NA
SS1619113880904,11,simple_dissimilar,3,background,background,simple,simple_09_A,312.89499999547843,forced_short,second half,0,background,NA,NA
SS1619113880904,11,simple_dissimilar,4,background,background,simple,simple_09_A,269.33999999891967,forced_short,second half,0,background,NA,NA
SS1619113907158,0,complex_dissimilar,1,background,background,complex,complex_19_A,682.8300000051968,self_paced,first half,0,background,NA,NA
SS1619113907158,0,complex_dissimilar,2,background,background,complex,complex_19_A,1248.1849999749102,self_paced,first half,0,background,NA,NA
SS1619113907158,0,complex_dissimilar,3,background,background,complex,complex_19_A,353.33499999251217,self_paced,first half,0,background,NA,NA
SS1619113907158,0,complex_dissimilar,4,background,background,complex,complex_19_A,66.97499996516854,self_paced,first half,0,background,NA,NA
SS1619113907158,1,simple_dissimilar,1,background,background,simple,simple_14_A,498.50500002503395,forced_long,first half,0,background,NA,NA
SS1619113907158,1,simple_dissimilar,2,background,background,simple,simple_14_A,381.3750000554137,forced_long,first half,0,background,NA,NA
SS1619113907158,1,simple_dissimilar,3,background,background,simple,simple_14_A,9471.535000018775,forced_long,first half,0,background,NA,NA
SS1619113907158,1,simple_dissimilar,4,background,background,simple,simple_14_A,520.7400000072084,forced_long,first half,0,background,NA,NA
SS1619113907158,1,simple_dissimilar,5,background,background,simple,simple_14_A,89.80499999597669,forced_long,first half,0,background,NA,NA
SS1619113907158,1,simple_dissimilar,6,background,background,simple,simple_14_A,8.245000033639371,forced_long,first half,0,background,NA,NA
SS1619113907158,2,simple_dissimilar,1,background,background,simple,simple_11_A,2764.499999990221,self_paced,first half,2,background,2,3
SS1619113907158,2,simple_dissimilar,2,dissimilar deviant,deviant,simple,simple_18_A,398.31000001868233,self_paced,first half,2,first_deviant,2,3
SS1619113907158,2,simple_dissimilar,3,dissimilar deviant,deviant,simple,simple_18_A,1216.7550000012852,self_paced,first half,2,second_deviant,2,3
SS1619113907158,2,simple_dissimilar,4,background,background,simple,simple_11_A,4045.3550000092946,self_paced,first half,2,background,2,3
SS1619113907158,3,complex_dissimilar,1,background,background,complex,complex_12_A,1162.015000008978,forced_long,first half,0,background,NA,NA
SS1619113907158,3,complex_dissimilar,2,background,background,complex,complex_12_A,2150.6050000316463,forced_long,first half,0,background,NA,NA
SS1619113907158,3,complex_dissimilar,3,background,background,complex,complex_12_A,567.7150000119582,forced_long,first half,0,background,NA,NA
