"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type"
"[{""page_index"":0,""viewing_time"":1235.8399999975518}]","1236.0499999995227","instructions","0","1237","0.0-0.0","SS1619113983503","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5515.250000000378},{""page_index"":1,""viewing_time"":3703.0500000000757}]","9218.465000001743","instructions","1","12457","0.0-1.0","SS1619113983503","instructions","","","","","","",""
"","4058.6199999997916","sequential-stimulus-presentation-old","2","17018","0.0-2.0","SS1619113983503","","","40","500","4558.619999999792","null","null","self_paced"
"","1083.2449999979872","sequential-stimulus-presentation-old","3","18609","0.0-3.0","SS1619113983503","","","40","500","1583.2449999979872","null","null","self_paced"
"[{""page_index"":0,""viewing_time"":10607.27499999848}]","10607.410000000527","instructions","4","29217","0.0-4.0","SS1619113983503","instructions","","","","","","",""
"","597.8299999987939","sequential-stimulus-presentation-old","5","39816","0.0-5.0","SS1619113983503","","","40","500","1097.829999998794","null","null","forced_long"
"","2533.3599999976286","sequential-stimulus-presentation-old","6","42451","0.0-6.0","SS1619113983503","","","40","500","3033.3599999976286","null","null","forced_long"
"[{""page_index"":0,""viewing_time"":2299.4349999971746}]","2299.569999999221","instructions","7","44751","0.0-7.0","SS1619113983503","instructions","","","","","","",""
