"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer"
"[{""page_index"":0,""viewing_time"":29281.104999943636}]","29281.60999994725","instructions","0","29282","0.0-0.0","SS1619114005726","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":13397.524999920279},{""page_index"":1,""viewing_time"":5778.120000031777}]","19175.835000001825","instructions","1","50460","0.0-1.0","SS1619114005726","instructions","","","","","","","","","","","","","",""
"","6882.455000071786","sequential-stimulus-presentation-old","2","57845","0.0-2.0","SS1619114005726","","","40","500","7382.455000071786","null","null","self_paced","","","","","","",""
"","8744.045000057667","sequential-stimulus-presentation-old","3","67091","0.0-3.0","SS1619114005726","","","40","500","9244.045000057667","null","null","self_paced","","","","","","",""
"[{""page_index"":0,""viewing_time"":19920.97500001546}]","19921.16500006523","instructions","4","87013","0.0-4.0","SS1619114005726","instructions","","","","","","","","","","","","","",""
"","1214.7999999579042","sequential-stimulus-presentation-old","5","98229","0.0-5.0","SS1619114005726","","","40","500","1714.7999999579042","null","null","forced_long","","","","","","",""
"","3430.5350000504404","sequential-stimulus-presentation-old","6","101761","0.0-6.0","SS1619114005726","","","40","500","3930.5350000504404","null","null","forced_long","","","","","","",""
"[{""page_index"":0,""viewing_time"":5341.350000002421}]","5341.505000018515","instructions","7","107103","0.0-7.0","SS1619114005726","instructions","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":9116.260000038892},{""page_index"":1,""viewing_time"":12378.934999927878},{""page_index"":2,""viewing_time"":10131.975000025705},{""page_index"":3,""viewing_time"":1255.005000042729},{""page_index"":4,""viewing_time"":1045.0949999503791}]","33927.484999992885","instructions","8","141031","0.0-8.0","SS1619114005726","instructions","","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","142297","0.0-9.0-0.0","SS1619114005726","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","669.0399999497458","sequential-stimulus-presentation-old","10","152969","0.0-9.0-1.0","SS1619114005726","trial","","40","500","1169.0399999497458","images/stimuli/spore_stims/complex_08_A_b.gif","images/stimuli/spore_stims/complex_04_A_a.gif","forced_long","","0","complex_dissimilar","images/stimuli/spore_stims/complex_04_A_a.gif","","",""
"","null","html-keyboard-response","11","153772","0.0-9.0-0.1","SS1619114005726","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","1860.5100000277162","sequential-stimulus-presentation-old","12","156136","0.0-9.0-1.1","SS1619114005726","trial","","40","500","2360.510000027716","images/stimuli/spore_stims/complex_08_A_b.gif","images/stimuli/spore_stims/complex_04_A_a.gif","forced_long","","0","complex_dissimilar","images/stimuli/spore_stims/complex_04_A_a.gif","","",""
"","null","html-keyboard-response","13","157114","0.0-9.0-0.2","SS1619114005726","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","2907.560000079684","sequential-stimulus-presentation-old","14","160522","0.0-9.0-1.2","SS1619114005726","trial","","40","500","3407.560000079684","images/stimuli/spore_stims/complex_08_A_b.gif","images/stimuli/spore_stims/complex_04_A_a.gif","forced_long","","0","complex_dissimilar","images/stimuli/spore_stims/complex_08_A_b.gif","","",""
"","null","html-keyboard-response","15","161785","0.0-9.0-0.3","SS1619114005726","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","968.4699999634176","sequential-stimulus-presentation-old","16","163258","0.0-9.0-1.3","SS1619114005726","trial","","40","500","1468.4699999634176","images/stimuli/spore_stims/complex_08_A_b.gif","images/stimuli/spore_stims/complex_04_A_a.gif","forced_long","","0","complex_dissimilar","images/stimuli/spore_stims/complex_04_A_a.gif","","",""
"","null","html-keyboard-response","17","164170","0.0-9.0-0.4","SS1619114005726","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","491.660000057891","sequential-stimulus-presentation-old","18","165162","0.0-9.0-1.4","SS1619114005726","trial","","40","500","991.660000057891","images/stimuli/spore_stims/complex_08_A_b.gif","images/stimuli/spore_stims/complex_04_A_a.gif","forced_long","","0","complex_dissimilar","images/stimuli/spore_stims/complex_08_A_b.gif","","",""
"","3379.674999974668","survey-multi-choice","19","168545","0.0-10.0","SS1619114005726","math_question","","","","","","","","","","","","{""Q0"":""5""}","[0]","5"
"","null","html-keyboard-response","20","169777","0.0-11.0-0.0","SS1619114005726","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","621.9449999043718","sequential-stimulus-presentation-old","21","180401","0.0-11.0-1.0","SS1619114005726","trial","","40","500","1121.9449999043718","images/stimuli/spore_stims/complex_18_A_a.gif","images/stimuli/spore_stims/complex_15_A_b.gif","forced_long","","1","complex_dissimilar","images/stimuli/spore_stims/complex_15_A_b.gif","","",""
"","null","html-keyboard-response","22","181339","0.0-11.0-0.1","SS1619114005726","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
