"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","trial_stimulus","minimum_viewing_duration","trial_looking_time","subject_num","block_number","block_type","stimulus_displayed","fam_duration","response","question_order"
"","sequential-stimulus-presentation","65","509975","0.0-21.0-1.3","SS1632936837955","31579.80000000447","","","40","","trial","","1000","32579.80000000447","29","3","Dev","stimuli/images/spore_stims/simple_02_A.gif","3","",""
"","html-keyboard-response","66","521493","0.0-22.0","SS1632936837955","11517.5","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","40","","between_block","","","","","","","","","",""
"","video-keyboard-response","67","526163","0.0-23.0","SS1632936837955","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","","","",""
"","html-keyboard-response","68","528638","0.0-24.0-0.0","SS1632936837955","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","69","534641","0.0-24.0-1.0","SS1632936837955","null","","","null","","trial","","1000","1000","29","4","Dev","stimuli/images/spore_stims/simple_10_A.gif","5","",""
"","html-keyboard-response","70","536649","0.0-24.0-0.1","SS1632936837955","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","71","542657","0.0-24.0-1.1","SS1632936837955","null","","","null","","trial","","1000","1000","29","4","Dev","stimuli/images/spore_stims/simple_10_A.gif","5","",""
"","html-keyboard-response","72","544381","0.0-24.0-0.2","SS1632936837955","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","73","550387","0.0-24.0-1.2","SS1632936837955","null","","","null","","trial","","1000","1000","29","4","Dev","stimuli/images/spore_stims/simple_10_A.gif","5","",""
"","html-keyboard-response","74","552359","0.0-24.0-0.3","SS1632936837955","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","75","558365","0.0-24.0-1.3","SS1632936837955","null","","","null","","trial","","1000","1000","29","4","Dev","stimuli/images/spore_stims/simple_10_A.gif","5","",""
"","html-keyboard-response","76","559320","0.0-24.0-0.4","SS1632936837955","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","77","565325","0.0-24.0-1.4","SS1632936837955","null","","","null","","trial","","1000","1000","29","4","Dev","stimuli/images/spore_stims/simple_10_A.gif","5","",""
"","html-keyboard-response","78","566875","0.0-24.0-0.5","SS1632936837955","null","","<p><img src=stimuli/images/blank_test.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","79","575698","0.0-24.0-1.5","SS1632936837955","46056.70000000298","","","40","","trial","","1000","47056.70000000298","29","4","Dev","stimuli/images/spore_stims/simple_09_A.gif","5","",""
