success,trial_type,trial_index,time_elapsed,internal_node_id,subject,rt,responses,stimulus,key_press,view_history,stimulus_type,trial_stimulus,minimum_viewing_duration,trial_looking_time,subject_num,block_number,block_type,stimulus_displayed,fam_duration,response,question_order
TRUE,fullscreen,0,1854,0.0-0.0,SS1630960522202,,,,,,,,,,,,,,,,
,survey-text,1,6013,0.0-1.0,SS1630960522202,4156.399999976160,"{“Age"":""260"",""Gender"":""M"",""Session"":""2""}",,,,,,,,,,,,,,
,audio-keyboard-response,2,16339,0.0-2.0,SS1630960522202,10324.800000011900,,stimuli/audio/music_intro.wav,40,,,,,,,,,,,,
,html-keyboard-response,3,28984,0.0-3.0,SS1630960522202,12643.5,,<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>,40,,,,,,,,,,,,
,html-keyboard-response,4,40301,0.0-4.0,SS1630960522202,11315.900000035800,,<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>,39,,,,,,,,,,,,
,html-keyboard-response,5,59834,0.0-5.0,SS1630960522202,19532.30000001190,,<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>,40,,,,,,,,,,,,
,html-keyboard-response,6,61361,0.0-6.0,SS1630960522202,1526.3999999761600,,<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>,40,,,,,,,,,,,,
,html-keyboard-response,7,70519,0.0-7.0,SS1630960522202,9156.199999988080,,<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>,40,,,,,,,,,,,,
,html-keyboard-response,8,70881,0.0-8.0,SS1630960522202,361.69999998807900,,<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>,40,,,,,,,,,,,,
,html-keyboard-response,9,120289,0.0-9.0,SS1630960522202,49406.39999997620,,<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>,40,,,,,,,,,,,,
,instructions,10,164856,0.0-10.0,SS1630960522202,44565,,,,"[{""page_index"":0,""viewing_time"":44564.60000002384}]",,,,,,,,,,,
,video-keyboard-response,11,169515,0.0-11.0,SS1630960522202,null,,"[""stimuli/images/attngetter_quiet.mp4""]",null,,attention_getter,,,,,,,,,,
,html-keyboard-response,12,171209,0.0-12.0-0.0,SS1630960522202,null,,"<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>",null,,,,,,,,,,,,
,sequential-stimulus-presentation,13,177215,0.0-12.0-1.0,SS1630960522202,null,,,null,,trial,,1000,1000,1,0,Dev,stimuli/images/spore_stims/simple_07_A.gif,3,,
