"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","trial_stimulus","minimum_viewing_duration","trial_looking_time","subject_num","block_number","block_type","stimulus_displayed","fam_duration","response","question_order"
"true","fullscreen","0","1530038","0.0-0.0","SS1632081520941","","","","","","","","","","","","","","","",""
"","survey-text","1","1546991","0.0-1.0","SS1632081520941","16947.900000095367","{""Age"":""269"",""Gender"":""M"",""Session"":""1""}","","","","","","","","","","","","","",""
"","audio-keyboard-response","2","1566214","0.0-2.0","SS1632081520941","19221","","stimuli/audio/music_intro.wav","39","","","","","","","","","","","",""
"","html-keyboard-response","3","1570670","0.0-3.0","SS1632081520941","4455","","<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","","","",""
"","html-keyboard-response","4","1628244","0.0-4.0","SS1632081520941","57574.299999952316","","<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","","","",""
"","html-keyboard-response","5","1653648","0.0-5.0","SS1632081520941","25403.600000023842","","<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>","40","","","","","","","","","","","",""
"","html-keyboard-response","6","1663164","0.0-6.0","SS1632081520941","9515.200000047684","","<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","","","",""
"","html-keyboard-response","7","1675723","0.0-7.0","SS1632081520941","12558.399999976158","","<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","","","",""
"","html-keyboard-response","8","1698758","0.0-8.0","SS1632081520941","23034.800000071526","","<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","","","",""
"","html-keyboard-response","9","1716083","0.0-9.0","SS1632081520941","17324.300000071526","","<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","","","",""
"","instructions","10","1757232","0.0-10.0","SS1632081520941","41149.200000047684","","","","[{""page_index"":0,""viewing_time"":41148.60000002384}]","","","","","","","","","","",""
