"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","prolific_id","study","session","window_width","window_height","view_history","rt","stimulus_type"
"true","false","[]","[]","[]","preload","0","5","0.0-0.0","SS1678169556815","","","","1920","969","","",""
"","","","","","instructions","1","2910","0.0-1.0","SS1678169556815","","","","1920","969","[{""page_index"":0,""viewing_time"":2904}]","2904",""
"","","","","","instructions","2","5633","0.0-2.0","SS1678169556815","","","","1920","969","[{""page_index"":0,""viewing_time"":718}]","718","instructions"
