"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","prolific_id","study","session","window_width","window_height","view_history","rt","stimulus_type","response","question_order","rating_type","stimulus","target","target_animacy","target_pose","target_number","left","left_animacy","left_pose","left_number","right","right_animacy","right_pose","right_number","comparison_type","rating_stimulus","rating_animacy","rating_number","rating_pose"
"true","false","[]","[]","[]","preload","0","1950","0.0-0.0","SS1678233196629","6294ea611ee4f49421c6b905","6406d7f26dd5b7fc1e3377bd","6407ce5d77d8ae11e607ae00","502","746","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","11828","0.0-1.0","SS1678233196629","6294ea611ee4f49421c6b905","6406d7f26dd5b7fc1e3377bd","6407ce5d77d8ae11e607ae00","502","746","[{""page_index"":0,""viewing_time"":9876}]","9876","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","2","37955","0.0-2.0","SS1678233196629","6294ea611ee4f49421c6b905","6406d7f26dd5b7fc1e3377bd","6407ce5d77d8ae11e607ae00","502","746","[{""page_index"":0,""viewing_time"":24119}]","24119","instructions","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","43253","0.0-3.0","SS1678233196629","6294ea611ee4f49421c6b905","6406d7f26dd5b7fc1e3377bd","6407ce5d77d8ae11e607ae00","502","746","[{""page_index"":0,""viewing_time"":5296}]","5297","instructions","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-likert","4","53671","0.0-4.0","SS1678233196629","6294ea611ee4f49421c6b905","6406d7f26dd5b7fc1e3377bd","6407ce5d77d8ae11e607ae00","502","746","","10416","","{""Q0"":5}","[0]","anchoring","","","","","","","","","","","","","","","","","",""
"","","","","","survey-likert","5","67674","0.0-5.0","SS1678233196629","6294ea611ee4f49421c6b905","6406d7f26dd5b7fc1e3377bd","6407ce5d77d8ae11e607ae00","502","746","","14000","","{""Q0"":1}","[0]","anchoring","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","6","69081","0.0-6.0","SS1678233196629","6294ea611ee4f49421c6b905","6406d7f26dd5b7fc1e3377bd","6407ce5d77d8ae11e607ae00","502","746","[{""page_index"":0,""viewing_time"":1405}]","1405","instructions","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","7","80968","0.0-7.0","SS1678233196629","6294ea611ee4f49421c6b905","6406d7f26dd5b7fc1e3377bd","6407ce5d77d8ae11e607ae00","502","746","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","88871","0.0-8.0","SS1678233196629","6294ea611ee4f49421c6b905","6406d7f26dd5b7fc1e3377bd","6407ce5d77d8ae11e607ae00","502","746","","7902","","j","","","<img src=""media/stimuli/animate_007_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:48%""></img><img src=""media/stimuli/inanimate_007_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:38%""></img><img src=""media/stimuli/animate_007_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:58%""></img><img src=""media/f.png""style = ""width:30px x; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:40%""></img><img src=""media/j.png""style = ""width:30px; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:60%""></img>","media/stimuli/animate_007_left.png","animate","left","single","media/stimuli/inanimate_007_right.png","inanimate","right","single","media/stimuli/animate_007_left.png","animate","left","single","animacy_pose","","","",""
"","","","","","html-keyboard-response","9","90829","0.0-9.0","SS1678233196629","6294ea611ee4f49421c6b905","6406d7f26dd5b7fc1e3377bd","6407ce5d77d8ae11e607ae00","502","746","","1957","","f","","","<img src=""media/stimuli/inanimate_007_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:44.5%""></img><img src=""media/stimuli/inanimate_007_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:51.5%""></img><img src=""media/stimuli/inanimate_007_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:38%""></img><img src=""media/stimuli/animate_009_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:54.5%""></img><img src=""media/stimuli/animate_009_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:61.5%""></img><img src=""media/f.png""style = ""width:30px x; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:40%""></img><img src=""media/j.png""style = ""width:30px; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:60%""></img>","media/stimuli/inanimate_007_right.png","inanimate","right","pair","media/stimuli/inanimate_007_right.png","inanimate","right","single","media/stimuli/animate_009_right.png","animate","right","pair","number_animacy","","","",""
