"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","prolific_id","study","session","window_width","window_height","view_history","rt","stimulus_type","response","question_order","rating_type","rating_stimulus","rating_animacy","rating_number","rating_pose","stimulus"
"true","false","[]","[]","[]","preload","0","2816","0.0-0.0","SS1678233715142","5af2f93fe1b5b8000148c0c7","6406d7f26dd5b7fc1e3377bd","6407ce7b83ce372f71d49a1c","1296","841","","","","","","","","","","",""
"","","","","","instructions","1","10739","0.0-1.0","SS1678233715142","5af2f93fe1b5b8000148c0c7","6406d7f26dd5b7fc1e3377bd","6407ce7b83ce372f71d49a1c","1296","841","[{""page_index"":0,""viewing_time"":7916}]","7916","","","","","","","","",""
"","","","","","instructions","2","27074","0.0-2.0","SS1678233715142","5af2f93fe1b5b8000148c0c7","6406d7f26dd5b7fc1e3377bd","6407ce7b83ce372f71d49a1c","1296","841","[{""page_index"":0,""viewing_time"":14324}]","14325","instructions","","","","","","","",""
"","","","","","instructions","3","29393","0.0-3.0","SS1678233715142","5af2f93fe1b5b8000148c0c7","6406d7f26dd5b7fc1e3377bd","6407ce7b83ce372f71d49a1c","1296","841","[{""page_index"":0,""viewing_time"":2318}]","2318","instructions","","","","","","","",""
"","","","","","survey-likert","4","40426","0.0-4.0","SS1678233715142","5af2f93fe1b5b8000148c0c7","6406d7f26dd5b7fc1e3377bd","6407ce7b83ce372f71d49a1c","1296","841","","11030","","{""Q0"":5}","[0]","anchoring","","","","",""
"","","","","","survey-likert","5","45795","0.0-5.0","SS1678233715142","5af2f93fe1b5b8000148c0c7","6406d7f26dd5b7fc1e3377bd","6407ce7b83ce372f71d49a1c","1296","841","","5365","","{""Q0"":1}","[0]","anchoring","","","","",""
"","","","","","instructions","6","47302","0.0-6.0","SS1678233715142","5af2f93fe1b5b8000148c0c7","6406d7f26dd5b7fc1e3377bd","6407ce7b83ce372f71d49a1c","1296","841","[{""page_index"":0,""viewing_time"":1502}]","1503","instructions","","","","","","","",""
"true","","","","","fullscreen","7","50817","0.0-7.0","SS1678233715142","5af2f93fe1b5b8000148c0c7","6406d7f26dd5b7fc1e3377bd","6407ce7b83ce372f71d49a1c","1296","841","","","","","","","","","","",""
"","","","","","survey-likert","8","66168","0.0-8.0","SS1678233715142","5af2f93fe1b5b8000148c0c7","6406d7f26dd5b7fc1e3377bd","6407ce7b83ce372f71d49a1c","1296","841","","15343","","{""Q0"":3}","[0]","complexity","media/stimuli/animate_003_right.png","animate","single","right",""
"","","","","","survey-likert","9","73414","0.0-9.0","SS1678233715142","5af2f93fe1b5b8000148c0c7","6406d7f26dd5b7fc1e3377bd","6407ce7b83ce372f71d49a1c","1296","841","","7240","","{""Q0"":3}","[0]","complexity","media/stimuli/animate_005_left.png","animate","single","left",""
"","","","","","survey-likert","10","77238","0.0-10.0","SS1678233715142","5af2f93fe1b5b8000148c0c7","6406d7f26dd5b7fc1e3377bd","6407ce7b83ce372f71d49a1c","1296","841","","3819","","{""Q0"":3}","[0]","complexity","media/stimuli/animate_003_left.png","animate","single","left",""
"","","","","","survey-likert","11","80501","0.0-11.0","SS1678233715142","5af2f93fe1b5b8000148c0c7","6406d7f26dd5b7fc1e3377bd","6407ce7b83ce372f71d49a1c","1296","841","","3258","","{""Q0"":3}","[0]","complexity","media/stimuli/inanimate_011_right.png","inanimate","single","right",""
"","","","","","survey-likert","12","85361","0.0-12.0","SS1678233715142","5af2f93fe1b5b8000148c0c7","6406d7f26dd5b7fc1e3377bd","6407ce7b83ce372f71d49a1c","1296","841","","4855","","{""Q0"":4}","[0]","complexity","media/stimuli/inanimate_011_left.png","inanimate","pair","left",""
"","","","","","survey-likert","13","87150","0.0-13.0","SS1678233715142","5af2f93fe1b5b8000148c0c7","6406d7f26dd5b7fc1e3377bd","6407ce7b83ce372f71d49a1c","1296","841","","1784","","{""Q0"":3}","[0]","complexity","media/stimuli/inanimate_004_left.png","inanimate","single","left",""
"","","","","","survey-likert","14","89255","0.0-14.0","SS1678233715142","5af2f93fe1b5b8000148c0c7","6406d7f26dd5b7fc1e3377bd","6407ce7b83ce372f71d49a1c","1296","841","","2098","","{""Q0"":4}","[0]","complexity","media/stimuli/inanimate_004_right.png","inanimate","pair","right",""
"","","","","","survey-likert","15","91494","0.0-15.0","SS1678233715142","5af2f93fe1b5b8000148c0c7","6406d7f26dd5b7fc1e3377bd","6407ce7b83ce372f71d49a1c","1296","841","","2234","","{""Q0"":3}","[0]","complexity","media/stimuli/animate_011_right.png","animate","single","right",""
"","","","","","survey-likert","16","93462","0.0-16.0","SS1678233715142","5af2f93fe1b5b8000148c0c7","6406d7f26dd5b7fc1e3377bd","6407ce7b83ce372f71d49a1c","1296","841","","1963","","{""Q0"":3}","[0]","complexity","media/stimuli/inanimate_005_right.png","inanimate","single","right",""
"","","","","","survey-likert","17","95183","0.0-17.0","SS1678233715142","5af2f93fe1b5b8000148c0c7","6406d7f26dd5b7fc1e3377bd","6407ce7b83ce372f71d49a1c","1296","841","","1715","","{""Q0"":4}","[0]","complexity","media/stimuli/inanimate_008_right.png","inanimate","pair","right",""
"","","","","","survey-likert","18","96861","0.0-18.0","SS1678233715142","5af2f93fe1b5b8000148c0c7","6406d7f26dd5b7fc1e3377bd","6407ce7b83ce372f71d49a1c","1296","841","","1673","","{""Q0"":3}","[0]","complexity","media/stimuli/animate_004_left.png","animate","single","left",""
"","","","","","survey-likert","19","98456","0.0-19.0","SS1678233715142","5af2f93fe1b5b8000148c0c7","6406d7f26dd5b7fc1e3377bd","6407ce7b83ce372f71d49a1c","1296","841","","1591","","{""Q0"":4}","[0]","complexity","media/stimuli/inanimate_003_left.png","inanimate","pair","left",""
"","","","","","html-keyboard-response","20","102615","0.0-20.0","SS1678233715142","5af2f93fe1b5b8000148c0c7","6406d7f26dd5b7fc1e3377bd","6407ce7b83ce372f71d49a1c","1296","841","","4152",""," ","","","","","","",""
