"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","prolific_id","study","session","window_width","window_height","view_history","rt","stimulus_type","response","question_order","rating_type","stimulus","target","target_animacy","target_pose","target_number","left","left_animacy","left_pose","left_number","right","right_animacy","right_pose","right_number","comparison_type","rating_stimulus","rating_animacy","rating_number","rating_pose"
"","","","","","html-keyboard-response","200","477022","0.0-200.0","SS1678233222045","5dc483cf74939e34e55c3619","6406d7f26dd5b7fc1e3377bd","6407ce80178c7aa321e4527e","1053","727","","1295","","f","","","<img src=""media/stimuli/animate_010_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:44.5%""></img><img src=""media/stimuli/animate_010_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:51.5%""></img><img src=""media/stimuli/animate_010_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:34.5%""></img><img src=""media/stimuli/animate_010_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:41.5%""></img><img src=""media/stimuli/animate_010_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:58%""></img><img src=""media/f.png""style = ""width:30px x; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:40%""></img><img src=""media/j.png""style = ""width:30px; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:60%""></img>","media/stimuli/animate_010_right.png","animate","right","pair","media/stimuli/animate_010_right.png","animate","right","pair","media/stimuli/animate_010_right.png","animate","right","single","filler_number","","","",""
"","","","","","html-keyboard-response","201","478331","0.0-201.0","SS1678233222045","5dc483cf74939e34e55c3619","6406d7f26dd5b7fc1e3377bd","6407ce80178c7aa321e4527e","1053","727","","1300","","f","","","<img src=""media/stimuli/animate_010_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:48%""></img><img src=""media/stimuli/animate_010_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:38%""></img><img src=""media/stimuli/animate_010_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:54.5%""></img><img src=""media/stimuli/animate_010_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:61.5%""></img><img src=""media/f.png""style = ""width:30px x; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:40%""></img><img src=""media/j.png""style = ""width:30px; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:60%""></img>","media/stimuli/animate_010_right.png","animate","right","single","media/stimuli/animate_010_left.png","animate","left","single","media/stimuli/animate_010_right.png","animate","right","pair","pose_number","","","",""
"","","","","","html-keyboard-response","202","479589","0.0-202.0","SS1678233222045","5dc483cf74939e34e55c3619","6406d7f26dd5b7fc1e3377bd","6407ce80178c7aa321e4527e","1053","727","","1248",""," ","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-likert","203","488482","0.0-203.0","SS1678233222045","5dc483cf74939e34e55c3619","6406d7f26dd5b7fc1e3377bd","6407ce80178c7aa321e4527e","1053","727","","8881","","{""Q0"":3}","[0]","complexity","","","","","","","","","","","","","","","media/stimuli/animate_007_right.png","animate","pair","right"
"","","","","","survey-likert","204","491781","0.0-204.0","SS1678233222045","5dc483cf74939e34e55c3619","6406d7f26dd5b7fc1e3377bd","6407ce80178c7aa321e4527e","1053","727","","3284","","{""Q0"":3}","[0]","complexity","","","","","","","","","","","","","","","media/stimuli/animate_009_right.png","animate","pair","right"
"","","","","","survey-likert","205","494252","0.0-205.0","SS1678233222045","5dc483cf74939e34e55c3619","6406d7f26dd5b7fc1e3377bd","6407ce80178c7aa321e4527e","1053","727","","2456","","{""Q0"":2}","[0]","complexity","","","","","","","","","","","","","","","media/stimuli/animate_001_left.png","animate","single","left"
"","","","","","survey-likert","206","496715","0.0-206.0","SS1678233222045","5dc483cf74939e34e55c3619","6406d7f26dd5b7fc1e3377bd","6407ce80178c7aa321e4527e","1053","727","","2446","","{""Q0"":3}","[0]","complexity","","","","","","","","","","","","","","","media/stimuli/animate_010_right.png","animate","pair","right"
"","","","","","survey-likert","207","499343","0.0-207.0","SS1678233222045","5dc483cf74939e34e55c3619","6406d7f26dd5b7fc1e3377bd","6407ce80178c7aa321e4527e","1053","727","","2606","","{""Q0"":2}","[0]","complexity","","","","","","","","","","","","","","","media/stimuli/animate_009_left.png","animate","single","left"
"","","","","","survey-likert","208","501719","0.0-208.0","SS1678233222045","5dc483cf74939e34e55c3619","6406d7f26dd5b7fc1e3377bd","6407ce80178c7aa321e4527e","1053","727","","2360","","{""Q0"":2}","[0]","complexity","","","","","","","","","","","","","","","media/stimuli/animate_009_right.png","animate","single","right"
"","","","","","survey-likert","209","504649","0.0-209.0","SS1678233222045","5dc483cf74939e34e55c3619","6406d7f26dd5b7fc1e3377bd","6407ce80178c7aa321e4527e","1053","727","","2917","","{""Q0"":2}","[0]","complexity","","","","","","","","","","","","","","","media/stimuli/inanimate_001_left.png","inanimate","pair","left"
