"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","prolific_id","study","session","window_width","window_height","view_history","rt","stimulus_type","response","question_order","rating_type","stimulus","target","target_animacy","target_pose","target_number","left","left_animacy","left_pose","left_number","right","right_animacy","right_pose","right_number","comparison_type","rating_stimulus","rating_animacy","rating_number","rating_pose"
"true","false","[]","[]","[]","preload","0","2674","0.0-0.0","SS1678233178911","5c2a92b4b8e5f900015b3f58","6406d7f26dd5b7fc1e3377bd","6407ce5063e39bd20c8e7fcd","1280","520","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","5232","0.0-1.0","SS1678233178911","5c2a92b4b8e5f900015b3f58","6406d7f26dd5b7fc1e3377bd","6407ce5063e39bd20c8e7fcd","1280","520","[{""page_index"":0,""viewing_time"":2556}]","2556","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","2","37443","0.0-2.0","SS1678233178911","5c2a92b4b8e5f900015b3f58","6406d7f26dd5b7fc1e3377bd","6407ce5063e39bd20c8e7fcd","1280","520","[{""page_index"":0,""viewing_time"":30195}]","30196","instructions","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","39961","0.0-3.0","SS1678233178911","5c2a92b4b8e5f900015b3f58","6406d7f26dd5b7fc1e3377bd","6407ce5063e39bd20c8e7fcd","1280","520","[{""page_index"":0,""viewing_time"":2517}]","2517","instructions","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-likert","4","43874","0.0-4.0","SS1678233178911","5c2a92b4b8e5f900015b3f58","6406d7f26dd5b7fc1e3377bd","6407ce5063e39bd20c8e7fcd","1280","520","","3910","","{""Q0"":4}","[0]","anchoring","","","","","","","","","","","","","","","","","",""
"","","","","","survey-likert","5","46589","0.0-5.0","SS1678233178911","5c2a92b4b8e5f900015b3f58","6406d7f26dd5b7fc1e3377bd","6407ce5063e39bd20c8e7fcd","1280","520","","2712","","{""Q0"":2}","[0]","anchoring","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","6","47837","0.0-6.0","SS1678233178911","5c2a92b4b8e5f900015b3f58","6406d7f26dd5b7fc1e3377bd","6407ce5063e39bd20c8e7fcd","1280","520","[{""page_index"":0,""viewing_time"":1246}]","1246","instructions","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","7","63240","0.0-7.0","SS1678233178911","5c2a92b4b8e5f900015b3f58","6406d7f26dd5b7fc1e3377bd","6407ce5063e39bd20c8e7fcd","1280","520","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","72559","0.0-8.0","SS1678233178911","5c2a92b4b8e5f900015b3f58","6406d7f26dd5b7fc1e3377bd","6407ce5063e39bd20c8e7fcd","1280","520","","9317","","j","","","<img src=""media/stimuli/animate_005_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:44.5%""></img><img src=""media/stimuli/animate_005_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:51.5%""></img><img src=""media/stimuli/animate_002_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:34.5%""></img><img src=""media/stimuli/animate_002_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:41.5%""></img><img src=""media/stimuli/animate_005_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:58%""></img><img src=""media/f.png""style = ""width:30px x; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:40%""></img><img src=""media/j.png""style = ""width:30px; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:60%""></img>","media/stimuli/animate_005_right.png","animate","right","pair","media/stimuli/animate_002_right.png","animate","right","pair","media/stimuli/animate_005_right.png","animate","right","single","identity_number","","","",""
"","","","","","html-keyboard-response","9","74549","0.0-9.0","SS1678233178911","5c2a92b4b8e5f900015b3f58","6406d7f26dd5b7fc1e3377bd","6407ce5063e39bd20c8e7fcd","1280","520","","1989","","j","","","<img src=""media/stimuli/animate_001_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:48%""></img><img src=""media/stimuli/inanimate_003_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:38%""></img><img src=""media/stimuli/animate_001_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:54.5%""></img><img src=""media/stimuli/animate_001_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:61.5%""></img><img src=""media/f.png""style = ""width:30px x; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:40%""></img><img src=""media/j.png""style = ""width:30px; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:60%""></img>","media/stimuli/animate_001_left.png","animate","left","single","media/stimuli/inanimate_003_left.png","inanimate","left","single","media/stimuli/animate_001_left.png","animate","left","pair","animacy_number","","","",""
