"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","prolific_id","study","session","window_width","window_height","view_history","rt","stimulus_type","response","question_order","rating_type"
"true","false","[]","[]","[]","preload","0","5569","0.0-0.0","SS1678233179086","63ecff02bcdeca87a411e0a2","6406d7f26dd5b7fc1e3377bd","6407ce4df90b413eefc4c6f3","980","618","","","","","",""
"","","","","","instructions","1","7773","0.0-1.0","SS1678233179086","63ecff02bcdeca87a411e0a2","6406d7f26dd5b7fc1e3377bd","6407ce4df90b413eefc4c6f3","980","618","[{""page_index"":0,""viewing_time"":2200}]","2201","","","",""
"","","","","","instructions","2","27551","0.0-2.0","SS1678233179086","63ecff02bcdeca87a411e0a2","6406d7f26dd5b7fc1e3377bd","6407ce4df90b413eefc4c6f3","980","618","[{""page_index"":0,""viewing_time"":17763}]","17764","instructions","","",""
"","","","","","instructions","3","31236","0.0-3.0","SS1678233179086","63ecff02bcdeca87a411e0a2","6406d7f26dd5b7fc1e3377bd","6407ce4df90b413eefc4c6f3","980","618","[{""page_index"":0,""viewing_time"":3679}]","3680","instructions","","",""
"","","","","","survey-likert","4","45627","0.0-4.0","SS1678233179086","63ecff02bcdeca87a411e0a2","6406d7f26dd5b7fc1e3377bd","6407ce4df90b413eefc4c6f3","980","618","","14385","","{""Q0"":5}","[0]","anchoring"
"","","","","","survey-likert","5","53196","0.0-5.0","SS1678233179086","63ecff02bcdeca87a411e0a2","6406d7f26dd5b7fc1e3377bd","6407ce4df90b413eefc4c6f3","980","618","","7562","","{""Q0"":1}","[0]","anchoring"
"","","","","","instructions","6","55219","0.0-6.0","SS1678233179086","63ecff02bcdeca87a411e0a2","6406d7f26dd5b7fc1e3377bd","6407ce4df90b413eefc4c6f3","980","618","[{""page_index"":0,""viewing_time"":2014}]","2015","instructions","","",""
"true","","","","","fullscreen","7","59119","0.0-7.0","SS1678233179086","63ecff02bcdeca87a411e0a2","6406d7f26dd5b7fc1e3377bd","6407ce4df90b413eefc4c6f3","980","618","","","","","",""
