"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","prolific_id","study","session","window_width","window_height","view_history","rt","stimulus_type","response","question_order","rating_type"
"true","false","[]","[]","[]","preload","0","15644","0.0-0.0","SS1678233216306","634856da5284e75ca6f56756","6406d7f26dd5b7fc1e3377bd","6407ce78d06d496f0e792b54","980","1557","","","","","",""
"","","","","","instructions","1","19136","0.0-1.0","SS1678233216306","634856da5284e75ca6f56756","6406d7f26dd5b7fc1e3377bd","6407ce78d06d496f0e792b54","980","1557","[{""page_index"":0,""viewing_time"":3475}]","3477","","","",""
"","","","","","instructions","2","32899","0.0-2.0","SS1678233216306","634856da5284e75ca6f56756","6406d7f26dd5b7fc1e3377bd","6407ce78d06d496f0e792b54","980","1557","[{""page_index"":0,""viewing_time"":11753}]","11755","instructions","","",""
"","","","","","instructions","3","42368","0.0-3.0","SS1678233216306","634856da5284e75ca6f56756","6406d7f26dd5b7fc1e3377bd","6407ce78d06d496f0e792b54","980","1557","[{""page_index"":0,""viewing_time"":9460}]","9462","instructions","","",""
"","","","","","survey-likert","4","55600","0.0-4.0","SS1678233216306","634856da5284e75ca6f56756","6406d7f26dd5b7fc1e3377bd","6407ce78d06d496f0e792b54","980","1557","","13180","","{""Q0"":4}","[0]","anchoring"
"","","","","","survey-likert","5","60710","0.0-5.0","SS1678233216306","634856da5284e75ca6f56756","6406d7f26dd5b7fc1e3377bd","6407ce78d06d496f0e792b54","980","1557","","5084","","{""Q0"":1}","[0]","anchoring"
"","","","","","instructions","6","63964","0.0-6.0","SS1678233216306","634856da5284e75ca6f56756","6406d7f26dd5b7fc1e3377bd","6407ce78d06d496f0e792b54","980","1557","[{""page_index"":0,""viewing_time"":3233}]","3235","instructions","","",""
"true","","","","","fullscreen","7","188201","0.0-7.0","SS1678233216306","634856da5284e75ca6f56756","6406d7f26dd5b7fc1e3377bd","6407ce78d06d496f0e792b54","980","1557","","","","","",""
