"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","prolific_id","study","session","window_width","window_height","view_history","rt"
"true","false","[]","[]","[]","preload","0","12050","0.0-0.0","SS1678234366935","5d4a41890e604c00011ade8b","6406d7f26dd5b7fc1e3377bd","6407ce5f8201bf2cf1767941","1920","969","",""
"","","","","","instructions","1","67900","0.0-1.0","SS1678234366935","5d4a41890e604c00011ade8b","6406d7f26dd5b7fc1e3377bd","6407ce5f8201bf2cf1767941","1920","969","[{""page_index"":0,""viewing_time"":55847}]","55848"
