"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","prolific_id","study","session","window_width","window_height","view_history","rt","stimulus_type","response","question_order","rating_type","stimulus","target","target_animacy","target_pose","target_number","left","left_animacy","left_pose","left_number","right","right_animacy","right_pose","right_number","comparison_type"
"true","false","[]","[]","[]","preload","0","2533","0.0-0.0","SS1678170158003","5dfdc45e617219a8e2e05c26","6406d7f26dd5b7fc1e3377bd","6406d81b07bf5880ee596641","1440","706","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","5293","0.0-1.0","SS1678170158003","5dfdc45e617219a8e2e05c26","6406d7f26dd5b7fc1e3377bd","6406d81b07bf5880ee596641","1440","706","[{""page_index"":0,""viewing_time"":2758}]","2758","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","2","19294","0.0-2.0","SS1678170158003","5dfdc45e617219a8e2e05c26","6406d7f26dd5b7fc1e3377bd","6406d81b07bf5880ee596641","1440","706","[{""page_index"":0,""viewing_time"":11996}]","11996","instructions","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","22360","0.0-3.0","SS1678170158003","5dfdc45e617219a8e2e05c26","6406d7f26dd5b7fc1e3377bd","6406d81b07bf5880ee596641","1440","706","[{""page_index"":0,""viewing_time"":3060}]","3060","instructions","","","","","","","","","","","","","","","","",""
"","","","","","survey-likert","4","30524","0.0-4.0","SS1678170158003","5dfdc45e617219a8e2e05c26","6406d7f26dd5b7fc1e3377bd","6406d81b07bf5880ee596641","1440","706","","8159","","{""Q0"":5}","[0]","anchoring","","","","","","","","","","","","","",""
"","","","","","survey-likert","5","37862","0.0-5.0","SS1678170158003","5dfdc45e617219a8e2e05c26","6406d7f26dd5b7fc1e3377bd","6406d81b07bf5880ee596641","1440","706","","7335","","{""Q0"":1}","[0]","anchoring","","","","","","","","","","","","","",""
"","","","","","instructions","6","39443","0.0-6.0","SS1678170158003","5dfdc45e617219a8e2e05c26","6406d7f26dd5b7fc1e3377bd","6406d81b07bf5880ee596641","1440","706","[{""page_index"":0,""viewing_time"":1578}]","1579","instructions","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","7","41966","0.0-7.0","SS1678170158003","5dfdc45e617219a8e2e05c26","6406d7f26dd5b7fc1e3377bd","6406d81b07bf5880ee596641","1440","706","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","48904","0.0-8.0","SS1678170158003","5dfdc45e617219a8e2e05c26","6406d7f26dd5b7fc1e3377bd","6406d81b07bf5880ee596641","1440","706","","6931","","j","","","<img src=""media/stimuli/inanimate_001_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:48%""></img><img src=""media/stimuli/inanimate_006_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:38%""></img><img src=""media/stimuli/inanimate_001_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:58%""></img><img src=""media/f.png""style = ""width:30px x; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:40%""></img><img src=""media/j.png""style = ""width:30px; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:60%""></img>","media/stimuli/inanimate_001_left.png","inanimate","left","single","media/stimuli/inanimate_006_left.png","inanimate","left","single","media/stimuli/inanimate_001_right.png","inanimate","right","single","identity_pose"
"","","","","","html-keyboard-response","9","51343","0.0-9.0","SS1678170158003","5dfdc45e617219a8e2e05c26","6406d7f26dd5b7fc1e3377bd","6406d81b07bf5880ee596641","1440","706","","2437","","j","","","<img src=""media/stimuli/inanimate_001_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:44.5%""></img><img src=""media/stimuli/inanimate_001_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:51.5%""></img><img src=""media/stimuli/animate_008_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:34.5%""></img><img src=""media/stimuli/animate_008_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:41.5%""></img><img src=""media/stimuli/inanimate_001_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:58%""></img><img src=""media/f.png""style = ""width:30px x; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:40%""></img><img src=""media/j.png""style = ""width:30px; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:60%""></img>","media/stimuli/inanimate_001_right.png","inanimate","right","pair","media/stimuli/animate_008_right.png","animate","right","pair","media/stimuli/inanimate_001_right.png","inanimate","right","single","animacy_number"
