"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","prolific_id","study","session","window_width","window_height","view_history","rt"
"true","false","[]","[]","[]","preload","0","1418","0.0-0.0","SS1678235804005","63d83a4301d86333a75c1738","6406d7f26dd5b7fc1e3377bd","6407ce6ebd9e3fb95f83a09d","960","940","",""
"","","","","","instructions","1","4253","0.0-1.0","SS1678235804005","63d83a4301d86333a75c1738","6406d7f26dd5b7fc1e3377bd","6407ce6ebd9e3fb95f83a09d","960","940","[{""page_index"":0,""viewing_time"":2834}]","2834"
