"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","prolific_id","study","session","window_width","window_height","view_history","rt","stimulus_type","response","question_order","rating_type","stimulus","target","target_animacy","target_pose","target_number","left","left_animacy","left_pose","left_number","right","right_animacy","right_pose","right_number","comparison_type"
"true","false","[]","[]","[]","preload","0","7741","0.0-0.0","SS1678233237333","636163eb7b737cd22cb33f0f","6406d7f26dd5b7fc1e3377bd","6407ce7efec2b6bdbb07aded","1234","610","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","14798","0.0-1.0","SS1678233237333","636163eb7b737cd22cb33f0f","6406d7f26dd5b7fc1e3377bd","6407ce7efec2b6bdbb07aded","1234","610","[{""page_index"":0,""viewing_time"":7051}]","7051","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","2","25788","0.0-2.0","SS1678233237333","636163eb7b737cd22cb33f0f","6406d7f26dd5b7fc1e3377bd","6407ce7efec2b6bdbb07aded","1234","610","[{""page_index"":0,""viewing_time"":8987}]","8987","instructions","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","28614","0.0-3.0","SS1678233237333","636163eb7b737cd22cb33f0f","6406d7f26dd5b7fc1e3377bd","6407ce7efec2b6bdbb07aded","1234","610","[{""page_index"":0,""viewing_time"":2824}]","2824","instructions","","","","","","","","","","","","","","","","",""
"","","","","","survey-likert","4","41018","0.0-4.0","SS1678233237333","636163eb7b737cd22cb33f0f","6406d7f26dd5b7fc1e3377bd","6407ce7efec2b6bdbb07aded","1234","610","","12399","","{""Q0"":4}","[0]","anchoring","","","","","","","","","","","","","",""
"","","","","","survey-likert","5","47712","0.0-5.0","SS1678233237333","636163eb7b737cd22cb33f0f","6406d7f26dd5b7fc1e3377bd","6407ce7efec2b6bdbb07aded","1234","610","","6687","","{""Q0"":2}","[0]","anchoring","","","","","","","","","","","","","",""
"","","","","","instructions","6","50363","0.0-6.0","SS1678233237333","636163eb7b737cd22cb33f0f","6406d7f26dd5b7fc1e3377bd","6407ce7efec2b6bdbb07aded","1234","610","[{""page_index"":0,""viewing_time"":2648}]","2649","instructions","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","7","54041","0.0-7.0","SS1678233237333","636163eb7b737cd22cb33f0f","6406d7f26dd5b7fc1e3377bd","6407ce7efec2b6bdbb07aded","1234","610","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","69067","0.0-8.0","SS1678233237333","636163eb7b737cd22cb33f0f","6406d7f26dd5b7fc1e3377bd","6407ce7efec2b6bdbb07aded","1234","610","","15021","","j","","","<img src=""media/stimuli/inanimate_009_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:44.5%""></img><img src=""media/stimuli/inanimate_009_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:51.5%""></img><img src=""media/stimuli/inanimate_001_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:34.5%""></img><img src=""media/stimuli/inanimate_001_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:41.5%""></img><img src=""media/stimuli/inanimate_009_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:58%""></img><img src=""media/f.png""style = ""width:30px x; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:40%""></img><img src=""media/j.png""style = ""width:30px; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:60%""></img>","media/stimuli/inanimate_009_right.png","inanimate","right","pair","media/stimuli/inanimate_001_right.png","inanimate","right","pair","media/stimuli/inanimate_009_right.png","inanimate","right","single","identity_number"
"","","","","","html-keyboard-response","9","74059","0.0-9.0","SS1678233237333","636163eb7b737cd22cb33f0f","6406d7f26dd5b7fc1e3377bd","6407ce7efec2b6bdbb07aded","1234","610","","4988","","f","","","<img src=""media/stimuli/animate_006_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:48%""></img><img src=""media/stimuli/animate_006_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:34.5%""></img><img src=""media/stimuli/animate_006_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:41.5%""></img><img src=""media/stimuli/inanimate_004_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:58%""></img><img src=""media/f.png""style = ""width:30px x; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:40%""></img><img src=""media/j.png""style = ""width:30px; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:60%""></img>","media/stimuli/animate_006_left.png","animate","left","single","media/stimuli/animate_006_left.png","animate","left","pair","media/stimuli/inanimate_004_left.png","inanimate","left","single","number_animacy"
