"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","prolific_id","study","session","window_width","window_height","view_history","rt","stimulus_type","response","question_order","rating_type","stimulus","target","target_animacy","target_pose","target_number","left","left_animacy","left_pose","left_number","right","right_animacy","right_pose","right_number","comparison_type","rating_stimulus","rating_animacy","rating_number","rating_pose"
"true","false","[]","[]","[]","preload","0","5052","0.0-0.0","SS1678233184090","63e64959bf1cb4617fa269e5","6406d7f26dd5b7fc1e3377bd","6407ce5430ef0dd231e64f75","1360","625","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","12239","0.0-1.0","SS1678233184090","63e64959bf1cb4617fa269e5","6406d7f26dd5b7fc1e3377bd","6407ce5430ef0dd231e64f75","1360","625","[{""page_index"":0,""viewing_time"":7185}]","7186","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","2","28439","0.0-2.0","SS1678233184090","63e64959bf1cb4617fa269e5","6406d7f26dd5b7fc1e3377bd","6407ce5430ef0dd231e64f75","1360","625","[{""page_index"":0,""viewing_time"":14195}]","14195","instructions","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","32183","0.0-3.0","SS1678233184090","63e64959bf1cb4617fa269e5","6406d7f26dd5b7fc1e3377bd","6407ce5430ef0dd231e64f75","1360","625","[{""page_index"":0,""viewing_time"":3743}]","3743","instructions","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-likert","4","42344","0.0-4.0","SS1678233184090","63e64959bf1cb4617fa269e5","6406d7f26dd5b7fc1e3377bd","6407ce5430ef0dd231e64f75","1360","625","","10159","","{""Q0"":5}","[0]","anchoring","","","","","","","","","","","","","","","","","",""
"","","","","","survey-likert","5","47743","0.0-5.0","SS1678233184090","63e64959bf1cb4617fa269e5","6406d7f26dd5b7fc1e3377bd","6407ce5430ef0dd231e64f75","1360","625","","5395","","{""Q0"":1}","[0]","anchoring","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","6","49871","0.0-6.0","SS1678233184090","63e64959bf1cb4617fa269e5","6406d7f26dd5b7fc1e3377bd","6407ce5430ef0dd231e64f75","1360","625","[{""page_index"":0,""viewing_time"":2124}]","2124","instructions","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","7","53319","0.0-7.0","SS1678233184090","63e64959bf1cb4617fa269e5","6406d7f26dd5b7fc1e3377bd","6407ce5430ef0dd231e64f75","1360","625","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","69458","0.0-8.0","SS1678233184090","63e64959bf1cb4617fa269e5","6406d7f26dd5b7fc1e3377bd","6407ce5430ef0dd231e64f75","1360","625","","16134","","j","","","<img src=""media/stimuli/inanimate_006_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:44.5%""></img><img src=""media/stimuli/inanimate_006_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:51.5%""></img><img src=""media/stimuli/animate_008_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:34.5%""></img><img src=""media/stimuli/animate_008_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:41.5%""></img><img src=""media/stimuli/inanimate_011_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:54.5%""></img><img src=""media/stimuli/inanimate_011_right.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:61.5%""></img><img src=""media/f.png""style = ""width:30px x; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:40%""></img><img src=""media/j.png""style = ""width:30px; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:60%""></img>","media/stimuli/inanimate_006_right.png","inanimate","right","pair","media/stimuli/animate_008_right.png","animate","right","pair","media/stimuli/inanimate_011_right.png","inanimate","right","pair","animacy_identity","","","",""
"","","","","","html-keyboard-response","9","70951","0.0-9.0","SS1678233184090","63e64959bf1cb4617fa269e5","6406d7f26dd5b7fc1e3377bd","6407ce5430ef0dd231e64f75","1360","625","","1489","","j","","","<img src=""media/stimuli/animate_007_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px; position:fixed; top:10%;    transform: translate(-50%, -50%);left:48%""></img><img src=""media/stimuli/inanimate_005_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:38%""></img><img src=""media/stimuli/animate_007_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:54.5%""></img><img src=""media/stimuli/animate_007_left.png"" class=""coveredImage test"" style = ""width:100px; height:100px;position:fixed; top:25%;        transform: translate(-50%, -50%);left:61.5%""></img><img src=""media/f.png""style = ""width:30px x; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:40%""></img><img src=""media/j.png""style = ""width:30px; height:30px;position:fixed; top:43%;    transform: translate(-50%, -50%);left:60%""></img>","media/stimuli/animate_007_left.png","animate","left","single","media/stimuli/inanimate_005_left.png","inanimate","left","single","media/stimuli/animate_007_left.png","animate","left","pair","animacy_number","","","",""
