,prolific_id,trial_type,rt,background,deviant,block_type,trial_index,fam_trial,total_rt,response,question_order,rating_type,response
78,613aa9ee188e0f9351987678,instructions,12281.0,,,,2,,,,,,
79,605d880baff3193baf90c875,curtain-display,,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_right_1.gif,deviant,14,8.0,,,,,
80,651659b4017f7a6da9b60ded,instructions,2005.0,,,,2,,,,,,
81,5d6d82acab68f90001f53194,fullscreen,,,,,1,,,,,,
82,61491ef3328d677fb0a59699,instructions,66292.0,,,,3,,,,,,
83,5d6d82acab68f90001f53194,instructions,1876.0,,,,2,,,,,,
84,60476ecfdd72a724ee081741,curtain-display,,,,,5,,,,,,
85,605d880baff3193baf90c875,curtain-display,,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_right_1.gif,deviant,15,8.0,,,,,
86,5c431f3db00b3300018f3ce5,instructions,13633.0,,,,2,,,,,,
87,5e8df4ff41edd907ccc32428,fullscreen,,,,,1,,,,,,
88,61491ef3328d677fb0a59699,curtain-display,,,,,4,,,,,,
89,603b0cceef3baf7b6df2d475,instructions,7818.0,,,,3,,,,,,
90,605d880baff3193baf90c875,curtain-display,956.0,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_right_1.gif,deviant,16,8.0,1456.0,,,,
91,60c1889edf71db16c09529fc,preload,,,,,0,,,,,,
92,60c1889edf71db16c09529fc,preload,,,,,0,,,,,,
93,61491ef3328d677fb0a59699,curtain-display,,,,,5,,,,,,
94,603b0cceef3baf7b6df2d475,curtain-display,,,,,4,,,,,,
95,605d880baff3193baf90c875,survey-likert,4011.0,,,,17,,,{'Q0': 3},[0],background,{'Q0': 3}
96,60476ecfdd72a724ee081741,curtain-display,5833.0,,,,6,,6333.0,,,,
97,61491ef3328d677fb0a59699,curtain-display,1272.0,,,,6,,1772.0,,,,
98,603b0cceef3baf7b6df2d475,curtain-display,,,,,5,,,,,,
99,605d880baff3193baf90c875,curtain-display,,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_right_1.gif,all_background,18,8.0,,,,,
100,60c1889edf71db16c09529fc,fullscreen,,,,,1,,,,,,
101,645518d454a9276752174fd6,fullscreen,,,,,1,,,,,,
102,5e89dda1762f3c66d9b9ca68,preload,,,,,0,,,,,,
103,5e89dda1762f3c66d9b9ca68,preload,,,,,0,,,,,,
104,603b0cceef3baf7b6df2d475,curtain-display,2481.0,,,,6,,2981.0,,,,
105,645518d454a9276752174fd6,instructions,1839.0,,,,2,,,,,,
106,5e8df4ff41edd907ccc32428,instructions,11729.0,,,,2,,,,,,
107,605d880baff3193baf90c875,curtain-display,,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_right_1.gif,all_background,19,8.0,,,,,
108,5eb544fbef7dae3ce4d05d89,instructions,25275.0,,,,3,,,,,,
109,60f2893b3b82491a793d2085,instructions,21374.0,,,,3,,,,,,
110,651659b4017f7a6da9b60ded,instructions,16290.0,,,,3,,,,,,
111,612e780e6c97ea0e89274e66,preload,,,,,0,,,,,,
112,612e780e6c97ea0e89274e66,preload,,,,,0,,,,,,
113,60c1889edf71db16c09529fc,instructions,6006.0,,,,2,,,,,,
114,605d880baff3193baf90c875,curtain-display,,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_right_1.gif,all_background,20,8.0,,,,,
115,645518d454a9276752174fd6,instructions,2268.0,,,,3,,,,,,
116,5eb544fbef7dae3ce4d05d89,curtain-display,,,,,4,,,,,,
117,60f2893b3b82491a793d2085,curtain-display,,,,,4,,,,,,
118,651659b4017f7a6da9b60ded,curtain-display,,,,,4,,,,,,
119,605d880baff3193baf90c875,curtain-display,,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_right_1.gif,all_background,21,8.0,,,,,
120,5eb544fbef7dae3ce4d05d89,curtain-display,,,,,5,,,,,,
121,645518d454a9276752174fd6,curtain-display,,,,,4,,,,,,
122,612e780e6c97ea0e89274e66,fullscreen,,,,,1,,,,,,
123,60f2893b3b82491a793d2085,curtain-display,,,,,5,,,,,,
124,651659b4017f7a6da9b60ded,curtain-display,,,,,5,,,,,,
125,60f1afe91e1121676c67ebf5,preload,,,,,0,,,,,,
126,60f1afe91e1121676c67ebf5,preload,,,,,0,,,,,,
127,605d880baff3193baf90c875,curtain-display,,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_right_1.gif,all_background,22,8.0,,,,,
128,60f2893b3b82491a793d2085,curtain-display,1545.0,,,,6,,2045.0,,,,
129,645518d454a9276752174fd6,curtain-display,,,,,5,,,,,,
130,5eb544fbef7dae3ce4d05d89,curtain-display,4415.0,,,,6,,4915.0,,,,
131,605d880baff3193baf90c875,curtain-display,,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_right_1.gif,all_background,23,8.0,,,,,
132,614bb4f23c6700d9c9675b7f,fullscreen,,,,,1,,,,,,
133,6154b3a7e4bc93e1ce93c6bc,preload,,,,,0,,,,,,
134,6154b3a7e4bc93e1ce93c6bc,preload,,,,,0,,,,,,
135,651659b4017f7a6da9b60ded,curtain-display,5220.0,,,,6,,5720.0,,,,
136,5fa4721c8826280efc7ea386,preload,,,,,0,,,,,,
137,5fa4721c8826280efc7ea386,preload,,,,,0,,,,,,
138,605d880baff3193baf90c875,curtain-display,,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_right_1.gif,all_background,24,8.0,,,,,
139,645518d454a9276752174fd6,curtain-display,5526.0,,,,6,,6026.0,,,,
140,613aa9ee188e0f9351987678,instructions,33425.0,,,,3,,,,,,
141,612e780e6c97ea0e89274e66,instructions,12405.0,,,,2,,,,,,
142,605cfe0825d0e0494ad7dc58,preload,,,,,0,,,,,,
143,605cfe0825d0e0494ad7dc58,preload,,,,,0,,,,,,
144,605d880baff3193baf90c875,curtain-display,,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_right_1.gif,all_background,25,8.0,,,,,
145,613aa9ee188e0f9351987678,curtain-display,,,,,4,,,,,,
146,605d880baff3193baf90c875,curtain-display,735.0,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_right_1.gif,all_background,26,8.0,1235.0,,,,
147,5e847ca988ac1c018e653765,instructions,42351.0,,,,3,,,,,,
148,61019aaf0ae83dd2c1f7a889,preload,,,,,0,,,,,,
149,61019aaf0ae83dd2c1f7a889,preload,,,,,0,,,,,,
150,5fbd6522ba05ae1194aa9cba,preload,,,,,0,,,,,,
151,5fbd6522ba05ae1194aa9cba,preload,,,,,0,,,,,,
152,60c1889edf71db16c09529fc,instructions,19622.0,,,,3,,,,,,
153,5fc3e4692ee48e75801407f2,preload,,,,,0,,,,,,
154,5fc3e4692ee48e75801407f2,preload,,,,,0,,,,,,
155,5e8df4ff41edd907ccc32428,instructions,24176.0,,,,3,,,,,,
156,613aa9ee188e0f9351987678,curtain-display,,,,,5,,,,,,
157,645518d454a9276752174fd6,instructions,8535.0,,,,7,,,,,,
158,5e847ca988ac1c018e653765,curtain-display,,,,,4,,,,,,
159,605d880baff3193baf90c875,survey-likert,4148.0,,,,27,,,{'Q0': 3},[0],background,{'Q0': 3}
160,5fbd6522ba05ae1194aa9cba,fullscreen,,,,,1,,,,,,
161,61019aaf0ae83dd2c1f7a889,fullscreen,,,,,1,,,,,,
162,6154b3a7e4bc93e1ce93c6bc,fullscreen,,,,,1,,,,,,
163,60c1889edf71db16c09529fc,curtain-display,,,,,4,,,,,,
164,5d6d82acab68f90001f53194,instructions,41030.0,,,,3,,,,,,
165,60f2893b3b82491a793d2085,instructions,18023.0,,,,7,,,,,,
166,613aa9ee188e0f9351987678,curtain-display,2317.0,,,,6,,2817.0,,,,
167,5e8df4ff41edd907ccc32428,curtain-display,,,,,4,,,,,,
168,645518d454a9276752174fd6,curtain-display,,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_left_1.gif,deviant,8,8.0,,,,,
169,5e847ca988ac1c018e653765,curtain-display,,,,,5,,,,,,
170,61019aaf0ae83dd2c1f7a889,instructions,2358.0,,,,2,,,,,,
171,605d880baff3193baf90c875,curtain-display,,media/animal_stim/whitened/005_right_1.gif,media/animal_stim/whitened/005_left_2.gif,all_background,28,4.0,,,,,
172,614bb4f23c6700d9c9675b7f,instructions,16362.0,,,,2,,,,,,
173,5fbd6522ba05ae1194aa9cba,instructions,3265.0,,,,2,,,,,,
174,603b0cceef3baf7b6df2d475,instructions,32010.0,,,,7,,,,,,
175,60c1889edf71db16c09529fc,curtain-display,,,,,5,,,,,,
176,5d6d82acab68f90001f53194,curtain-display,,,,,4,,,,,,
177,6154b3a7e4bc93e1ce93c6bc,instructions,4226.0,,,,2,,,,,,
178,60f2893b3b82491a793d2085,curtain-display,2684.0,media/animal_stim/whitened/004_left_1.gif,media/animal_stim/whitened/004_left_2.gif,deviant,8,0.0,3184.0,,,,
179,603b0cceef3baf7b6df2d475,curtain-display,425.0,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_right_1.gif,deviant,8,0.0,925.0,,,,
180,5c431f3db00b3300018f3ce5,instructions,43879.0,,,,3,,,,,,
181,5e8df4ff41edd907ccc32428,curtain-display,,,,,5,,,,,,
182,645518d454a9276752174fd6,curtain-display,,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_left_1.gif,deviant,9,8.0,,,,,
183,605d880baff3193baf90c875,curtain-display,,media/animal_stim/whitened/005_right_1.gif,media/animal_stim/whitened/005_left_2.gif,all_background,29,4.0,,,,,
184,5e847ca988ac1c018e653765,curtain-display,3367.0,,,,6,,3867.0,,,,
185,651659b4017f7a6da9b60ded,instructions,19277.0,,,,7,,,,,,
186,60476ecfdd72a724ee081741,instructions,41271.0,,,,7,,,,,,
187,5d6d82acab68f90001f53194,curtain-display,,,,,5,,,,,,
188,5c431f3db00b3300018f3ce5,curtain-display,,,,,4,,,,,,
189,645518d454a9276752174fd6,curtain-display,,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_left_1.gif,deviant,10,8.0,,,,,
190,60c1889edf71db16c09529fc,curtain-display,4314.0,,,,6,,4814.0,,,,
191,605d880baff3193baf90c875,curtain-display,,media/animal_stim/whitened/005_right_1.gif,media/animal_stim/whitened/005_left_2.gif,all_background,30,4.0,,,,,
192,647896fae4473728c2db49cb,preload,,,,,0,,,,,,
193,647896fae4473728c2db49cb,preload,,,,,0,,,,,,
194,60f2893b3b82491a793d2085,survey-likert,5300.0,,,,9,,,{'Q0': 3},[0],background,{'Q0': 3}
195,5eb544fbef7dae3ce4d05d89,instructions,25569.0,,,,7,,,,,,
