Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
652df94e9ea603912937da45,5e5956901ab66d03b4388a9a,TIMED-OUT,2023-10-17T03:02:38.975000Z,,,,44320.0,,233,22,Male,White,Poland,Poland,Poland,Polish,Yes,Other
652df9521c4c4b16137c21d1,60327d95fb5e6823d96d15a0,TIMED-OUT,2023-10-17T03:02:53.240000Z,,,,44306.0,,426,35,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,Full-Time
652df988b5d850ebf79defd9,614ce90c61ea707afb50806a,RETURNED,2023-10-17T03:03:36.647000Z,,,,,,251,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
652df9a32c94536d1d60892b,605bb95e25fb0eb3edfe7c73,RETURNED,2023-10-17T03:04:03.546000Z,,,,,,272,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
652df9bb3c7af9c94b06e5f0,613a99fb5887bdf05a6f900a,RETURNED,2023-10-17T03:15:00.061000Z,,,,,,230,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
652df9de54443a5428add7d7,61544c72236c88d054490ea6,RETURNED,2023-10-17T03:05:02.319000Z,,,,,,183,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
652dfa0637f9abf73a6a454b,60fe5a35ce5c84613e7482c1,RETURNED,2023-10-17T03:08:08.477000Z,,,,,,44,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
652dfa4a96885869240ebd14,601e1cae7d6414276e39e5db,RETURNED,2023-10-17T03:06:50.798000Z,,,,,,166,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
652dfa5537f9abf73a6a455e,6099b7a4f107fa3e924a7620,RETURNED,2023-10-17T03:07:04.998000Z,,,,,,201,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
652dfa5796885869240ebd17,652cf2a2695970b0d0224bed,RETURNED,2023-10-17T03:07:11.747000Z,,,,,,0,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
652dfa7d571b3422cccf521a,6174ecffb39d40681e51eca2,RETURNED,2023-10-17T03:07:41.335000Z,,,,,,212,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
652dfafb49fa117ecc230f4b,64f39d42154e0d6b24f590d5,RETURNED,2023-10-17T03:10:06.395000Z,,,,,,9,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
652dfb00d86e80d24cba2928,650067ff123e31cc624280be,RETURNED,2023-10-17T03:09:52.485000Z,,,,,,12,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
652dfb07695c824cd43b9975,5dd73f496ca7e76e32b1aa16,RETURNED,2023-10-17T03:09:59.751000Z,,,,,,1475,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
652dfb5450e17001e5e292cb,64847582d222606dc6560f62,TIMED-OUT,2023-10-17T03:11:25.547000Z,,,,43794.0,,120,51,Female,White,Canada,Canada,Canada,English,No,DATA_EXPIRED
652dfb5b2f6523dc5a3b9b94,5b9839702f5e8a0001020601,TIMED-OUT,2023-10-17T03:11:33.421000Z,,,,43786.0,,343,24,Male,White,Greece,Greece,Greece,Greek,No,Unemployed (and job seeking)
652dfb83a720424a4ccac0b8,5ec5a55832a7515e8324a8a8,RETURNED,2023-10-17T03:12:08.849000Z,,,,,,614,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
652dfb88a1d6fa42b74e9140,605f2177e837737f7377844d,RETURNED,2023-10-17T03:12:13.799000Z,,,,,,462,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
652dfbc12aa3b5f2d028214b,616133983bf4f75ede943bf3,RETURNED,2023-10-17T03:13:11.176000Z,,,,,,271,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
652dfbcf695c824cd43b998d,652d34605630890dc87573a2,RETURNED,2023-10-17T03:13:27.408000Z,2023-10-17T03:16:19.887000Z,,2023-10-17T03:16:20.583000Z,,NOCODE,2,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
652dfbd3a1d6fa42b74e9149,585eb4cfc34844000174d807,RETURNED,2023-10-17T03:13:29.368000Z,,,,,,3180,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
652e02e7f601b9b7bd4e97a8,60087e9189ddb34b79b08be5,TIMED-OUT,2023-10-17T03:43:35.093000Z,,,,41864.0,,719,28,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
652e0a4ac687f2309554be73,5f6214a59413141f7cb2508c,TIMED-OUT,2023-10-17T04:15:06.148000Z,,,,39973.0,,548,21,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
652e0a4e23d23c34ce1e7218,650de189b6f20e6ef24e8578,TIMED-OUT,2023-10-17T04:15:10.617000Z,,,,39969.0,,34,47,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
652e1859c687f2309554c04d,6501c0a2e788b5556c24569d,RETURNED,2023-10-17T05:26:00.049000Z,,,,,,74,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
