prolific_id,rt,block_type,fam_trial,background,deviant,block_id
5fc3e4692ee48e75801407f2,1479,deviant,0,media/animal_stim/whitened/003_right_2.gif,media/animal_stim/whitened/003_right_1.gif,1
6154b3a7e4bc93e1ce93c6bc,121,all_background,8,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_right_1.gif,1
645518d454a9276752174fd6,806,deviant,4,media/animal_stim/whitened/001_right_2.gif,media/animal_stim/whitened/001_right_1.gif,3
5eb544fbef7dae3ce4d05d89,5890,deviant,4,media/animal_stim/whitened/004_right_1.gif,media/animal_stim/whitened/004_left_2.gif,4
5e847ca988ac1c018e653765,5390,all_background,8,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_left_1.gif,3
647896fae4473728c2db49cb,3420,all_background,4,media/animal_stim/whitened/006_right_1.gif,media/animal_stim/whitened/006_left_2.gif,1
60f2893b3b82491a793d2085,1349,deviant,4,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_left_2.gif,5
5c431f3db00b3300018f3ce5,1142,all_background,4,media/animal_stim/whitened/006_right_1.gif,media/animal_stim/whitened/006_right_2.gif,4
648251f5f13f3cab9a86e5cc,581,all_background,8,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_right_1.gif,2
60c1889edf71db16c09529fc,7065,all_background,4,media/animal_stim/whitened/003_right_2.gif,media/animal_stim/whitened/003_right_1.gif,5
60f2893b3b82491a793d2085,2670,all_background,0,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_right_1.gif,6
5c19da4c5ead950001bdbe86,2450,all_background,4,media/animal_stim/whitened/006_left_1.gif,media/animal_stim/whitened/006_right_2.gif,1
61491ef3328d677fb0a59699,861,deviant,8,media/animal_stim/whitened/003_left_2.gif,media/animal_stim/whitened/003_left_1.gif,4
648251f5f13f3cab9a86e5cc,2949,deviant,0,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_right_2.gif,3
5fc3e4692ee48e75801407f2,3226,deviant,4,media/animal_stim/whitened/001_right_2.gif,media/animal_stim/whitened/001_left_1.gif,2
651659b4017f7a6da9b60ded,3875,all_background,8,media/animal_stim/whitened/001_left_1.gif,media/animal_stim/whitened/001_left_2.gif,5
613aa9ee188e0f9351987678,1247,all_background,8,media/animal_stim/whitened/004_left_1.gif,media/animal_stim/whitened/004_left_2.gif,3
5d6d82acab68f90001f53194,134,deviant,8,media/animal_stim/whitened/004_right_2.gif,media/animal_stim/whitened/004_right_1.gif,3
60ee4a789df895b03c75495b,3033,deviant,8,media/animal_stim/whitened/002_right_1.gif,media/animal_stim/whitened/002_right_2.gif,2
5c431f3db00b3300018f3ce5,935,deviant,4,media/animal_stim/whitened/001_left_1.gif,media/animal_stim/whitened/001_right_2.gif,5
60476ecfdd72a724ee081741,970,all_background,4,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_left_2.gif,4
5eb544fbef7dae3ce4d05d89,779,all_background,8,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_right_1.gif,5
645518d454a9276752174fd6,4691,all_background,8,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_right_1.gif,4
5ea37cd0e9fb242ff94ccbc3,4985,all_background,0,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_right_2.gif,1
5e847ca988ac1c018e653765,2523,deviant,8,media/animal_stim/whitened/006_right_1.gif,media/animal_stim/whitened/006_left_2.gif,4
648251f5f13f3cab9a86e5cc,247,all_background,4,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_left_1.gif,4
614bb4f23c6700d9c9675b7f,2737,all_background,8,media/animal_stim/whitened/002_left_1.gif,media/animal_stim/whitened/002_left_2.gif,1
5d34d232468585001a1ea5f3,1588,all_background,8,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_right_2.gif,1
5fc3e4692ee48e75801407f2,1561,all_background,4,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_right_1.gif,3
5eb544fbef7dae3ce4d05d89,9743,all_background,0,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_left_2.gif,6
6154b3a7e4bc93e1ce93c6bc,11611,deviant,8,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_right_2.gif,2
5c19da4c5ead950001bdbe86,5167,deviant,4,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_right_1.gif,2
60ee4a789df895b03c75495b,1066,all_background,4,media/animal_stim/whitened/005_left_1.gif,media/animal_stim/whitened/005_left_2.gif,3
651659b4017f7a6da9b60ded,6626,all_background,4,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_right_1.gif,6
5d34d232468585001a1ea5f3,3804,all_background,0,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_left_1.gif,2
5e847ca988ac1c018e653765,6954,all_background,0,media/animal_stim/whitened/001_right_2.gif,media/animal_stim/whitened/001_left_1.gif,5
60c1889edf71db16c09529fc,3597,all_background,8,media/animal_stim/whitened/006_left_1.gif,media/animal_stim/whitened/006_left_2.gif,6
61491ef3328d677fb0a59699,908,all_background,8,media/animal_stim/whitened/004_right_2.gif,media/animal_stim/whitened/004_right_1.gif,5
60ee4a789df895b03c75495b,2201,deviant,0,media/animal_stim/whitened/003_right_2.gif,media/animal_stim/whitened/003_right_1.gif,4
5c19da4c5ead950001bdbe86,4730,all_background,0,media/animal_stim/whitened/002_right_2.gif,media/animal_stim/whitened/002_right_1.gif,3
61491ef3328d677fb0a59699,1846,deviant,0,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_right_1.gif,6
5d6d82acab68f90001f53194,10680,deviant,4,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_left_1.gif,4
6154b3a7e4bc93e1ce93c6bc,8027,all_background,0,media/animal_stim/whitened/006_left_1.gif,media/animal_stim/whitened/006_right_2.gif,3
5c19da4c5ead950001bdbe86,4380,deviant,0,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_left_1.gif,4
5c431f3db00b3300018f3ce5,1440,all_background,8,media/animal_stim/whitened/004_right_2.gif,media/animal_stim/whitened/004_left_1.gif,6
648251f5f13f3cab9a86e5cc,12479,deviant,4,media/animal_stim/whitened/003_left_2.gif,media/animal_stim/whitened/003_left_1.gif,5
5d34d232468585001a1ea5f3,1386,deviant,4,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_left_1.gif,3
614bb4f23c6700d9c9675b7f,4858,all_background,4,media/animal_stim/whitened/003_left_2.gif,media/animal_stim/whitened/003_left_1.gif,2
5ea37cd0e9fb242ff94ccbc3,1772,all_background,4,media/animal_stim/whitened/006_right_1.gif,media/animal_stim/whitened/006_left_2.gif,2
5e8348450e128b0539d77ddc,4779,deviant,0,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_left_2.gif,1
5e847ca988ac1c018e653765,9364,all_background,4,media/animal_stim/whitened/002_left_1.gif,media/animal_stim/whitened/002_right_2.gif,6
5fbaee508e8e9695f06fe52e,526,all_background,4,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_right_1.gif,1
60ee4a789df895b03c75495b,904,all_background,8,media/animal_stim/whitened/006_right_1.gif,media/animal_stim/whitened/006_right_2.gif,5
5d34d232468585001a1ea5f3,619,all_background,4,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_right_1.gif,4
6154b3a7e4bc93e1ce93c6bc,10801,all_background,4,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_right_2.gif,4
5c60c298af517e0001a00b00,1045,all_background,8,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_right_2.gif,1
5fbaee508e8e9695f06fe52e,1195,all_background,0,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_left_2.gif,2
5d34d232468585001a1ea5f3,1075,deviant,0,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_left_1.gif,5
5d6d82acab68f90001f53194,2426,all_background,8,media/animal_stim/whitened/002_left_1.gif,media/animal_stim/whitened/002_right_2.gif,5
5ea37cd0e9fb242ff94ccbc3,7888,deviant,4,media/animal_stim/whitened/003_left_2.gif,media/animal_stim/whitened/003_right_1.gif,3
5c19da4c5ead950001bdbe86,978,all_background,8,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_left_2.gif,5
5ee942381a22491bbb7170f8,1218,all_background,8,media/animal_stim/whitened/002_left_1.gif,media/animal_stim/whitened/002_right_2.gif,1
60ee4a789df895b03c75495b,1221,deviant,4,media/animal_stim/whitened/004_right_1.gif,media/animal_stim/whitened/004_right_2.gif,6
614bb4f23c6700d9c9675b7f,7031,deviant,8,media/animal_stim/whitened/001_right_2.gif,media/animal_stim/whitened/001_left_1.gif,3
647896fae4473728c2db49cb,2213,all_background,8,media/animal_stim/whitened/001_right_2.gif,media/animal_stim/whitened/001_right_1.gif,2
5ea37cd0e9fb242ff94ccbc3,9659,deviant,0,media/animal_stim/whitened/002_right_1.gif,media/animal_stim/whitened/002_left_2.gif,4
601584d717cbb906851646b7,8524,deviant,0,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_right_1.gif,1
6154b3a7e4bc93e1ce93c6bc,6231,deviant,4,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_right_1.gif,5
5e8348450e128b0539d77ddc,1571,all_background,8,media/animal_stim/whitened/005_right_1.gif,media/animal_stim/whitened/005_left_2.gif,2
614bb4f23c6700d9c9675b7f,8311,all_background,0,media/animal_stim/whitened/004_left_2.gif,media/animal_stim/whitened/004_left_1.gif,4
5fb7ba6eddba6439e8717276,3691,deviant,8,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_right_2.gif,1
5a0e34c4087f2e0001eaeb47,11067,all_background,0,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_left_1.gif,1
5f8dc5a637ef2911ed0450c0,2168,all_background,8,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_right_1.gif,1
5c60c298af517e0001a00b00,11124,deviant,4,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_right_1.gif,2
6455acfdaa3afdee4d88e231,13054,all_background,0,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_left_2.gif,1
5d34d232468585001a1ea5f3,1129,deviant,8,media/animal_stim/whitened/004_right_1.gif,media/animal_stim/whitened/004_right_2.gif,6
5fbaee508e8e9695f06fe52e,2220,all_background,8,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_right_1.gif,3
5ec31cab8be41217405324fc,5050,deviant,8,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_left_2.gif,1
5ee942381a22491bbb7170f8,7956,all_background,4,media/animal_stim/whitened/001_right_2.gif,media/animal_stim/whitened/001_right_1.gif,2
5c19da4c5ead950001bdbe86,5214,deviant,8,media/animal_stim/whitened/004_right_1.gif,media/animal_stim/whitened/004_left_2.gif,6
5f8dc5a637ef2911ed0450c0,9218,all_background,0,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_right_2.gif,2
5ec31cab8be41217405324fc,2367,all_background,0,media/animal_stim/whitened/004_left_2.gif,media/animal_stim/whitened/004_left_1.gif,2
601584d717cbb906851646b7,1891,all_background,4,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_right_1.gif,2
614bb4f23c6700d9c9675b7f,3922,deviant,4,media/animal_stim/whitened/006_left_1.gif,media/animal_stim/whitened/006_left_2.gif,5
647896fae4473728c2db49cb,8104,deviant,4,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_right_2.gif,3
60309a142458094108f37f73,1917,all_background,8,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_left_1.gif,1
