prolific_id,rt,block_type,fam_trial,background,deviant,block_id
613d2a7208f243bb8693418e,6663,all_background,5,media/animal_stim/whitened/003_right_2.gif,media/animal_stim/whitened/003_left_1.gif,1
651829bea42b62b2aef0d41c,1371,all_background,6,media/animal_stim/whitened/003_left_2.gif,media/animal_stim/whitened/003_left_1.gif,1
613d2a7208f243bb8693418e,7903,deviant,2,media/animal_stim/whitened/005_right_1.gif,media/animal_stim/whitened/005_left_2.gif,2
64eebd7fddf76c686ac9e56d,452,all_background,2,media/animal_stim/whitened/004_left_1.gif,media/animal_stim/whitened/004_left_2.gif,1
613d2a7208f243bb8693418e,9352,deviant,6,media/animal_stim/whitened/002_right_1.gif,media/animal_stim/whitened/002_right_2.gif,3
613d2a7208f243bb8693418e,2130,all_background,2,media/animal_stim/whitened/004_left_1.gif,media/animal_stim/whitened/004_right_2.gif,4
64eebd7fddf76c686ac9e56d,470,all_background,5,media/animal_stim/whitened/005_left_1.gif,media/animal_stim/whitened/005_right_2.gif,2
613d2a7208f243bb8693418e,5105,deviant,5,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_right_2.gif,5
64eebd7fddf76c686ac9e56d,149,all_background,6,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_right_1.gif,3
63f148d5e42992d5bd3a2d61,253,deviant,2,media/animal_stim/whitened/006_left_1.gif,media/animal_stim/whitened/006_left_2.gif,1
613d2a7208f243bb8693418e,1295,all_background,6,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_left_1.gif,6
64eebd7fddf76c686ac9e56d,1775,deviant,5,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_right_2.gif,4
63f148d5e42992d5bd3a2d61,3282,all_background,5,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_left_1.gif,2
64eebd7fddf76c686ac9e56d,370,deviant,6,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_left_2.gif,5
64eebd7fddf76c686ac9e56d,3779,deviant,2,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_right_1.gif,6
63f148d5e42992d5bd3a2d61,10321,deviant,6,media/animal_stim/whitened/004_left_1.gif,media/animal_stim/whitened/004_right_2.gif,3
63f148d5e42992d5bd3a2d61,765,all_background,6,media/animal_stim/whitened/003_left_2.gif,media/animal_stim/whitened/003_left_1.gif,4
5c935050c719fc00147defbc,4823,deviant,2,media/animal_stim/whitened/006_right_1.gif,media/animal_stim/whitened/006_right_2.gif,1
5db5fa693d2b8e01654d351c,420,all_background,6,media/animal_stim/whitened/004_left_1.gif,media/animal_stim/whitened/004_right_2.gif,1
651829bea42b62b2aef0d41c,11701,all_background,5,media/animal_stim/whitened/002_right_2.gif,media/animal_stim/whitened/002_left_1.gif,2
607760884d66833ee83aa987,5860,deviant,2,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_right_2.gif,1
