subject,block_number,block_type,forced_exposure_time,trial_number,item_type,trial_type,trial_complexity,item_id,rt,exposure_type,half,block_deviant_number,trial_type_index,first_dev_position,second_dev_position,memory_false_stimulus,memory_true_stimulus
SS1627326507755,3,complex_dissimilar,100,2,background,background,complex,NA,4284.700000286102,forced_short,first half,1,background,3,NA,TRUE,TRUE
SS1627326507755,3,complex_dissimilar,100,3,dissimilar deviant,deviant,complex,NA,4321.5,forced_short,first half,1,first_deviant,3,NA,TRUE,TRUE
SS1627326507755,3,complex_dissimilar,100,4,background,background,complex,NA,8880.800000190735,forced_short,first half,1,background,3,NA,TRUE,TRUE
SS1627326507755,3,complex_dissimilar,100,5,background,background,complex,NA,1726.4000000953674,forced_short,first half,1,background,3,NA,TRUE,TRUE
SS1627326507755,3,complex_dissimilar,100,6,background,background,complex,NA,2825.0999999046326,forced_short,first half,1,background,3,NA,TRUE,TRUE
SS1627326507755,3,complex_dissimilar,100,7,background,background,complex,NA,1559.5999999046326,forced_short,first half,1,background,3,NA,TRUE,TRUE
SS1627326507755,4,complex_dissimilar,460,1,background,background,complex,NA,4929.900000095367,forced_short,second half,2,background,3,5,TRUE,TRUE
SS1627326507755,4,complex_dissimilar,460,2,background,background,complex,NA,2807.300000190735,forced_short,second half,2,background,3,5,TRUE,TRUE
SS1627326507755,4,complex_dissimilar,460,3,dissimilar deviant,deviant,complex,NA,2862.300000190735,forced_short,second half,2,first_deviant,3,5,TRUE,TRUE
SS1627326507755,4,complex_dissimilar,460,4,background,background,complex,NA,2329.7000002861023,forced_short,second half,2,background,3,5,TRUE,TRUE
SS1627326507755,4,complex_dissimilar,460,5,dissimilar deviant,deviant,complex,NA,3110.5999999046326,forced_short,second half,2,second_deviant,3,5,TRUE,TRUE
SS1627326507755,4,complex_dissimilar,460,6,background,background,complex,NA,1521.3999996185303,forced_short,second half,2,background,3,5,TRUE,TRUE
SS1627326507755,4,complex_dissimilar,460,7,background,background,complex,NA,930.1999998092651,forced_short,second half,2,background,3,5,TRUE,TRUE
SS1627326507755,5,complex_dissimilar,580,1,background,background,complex,NA,2314.5999999046326,forced_short,second half,1,background,2,NA,TRUE,TRUE
SS1627326507755,5,complex_dissimilar,580,2,dissimilar deviant,deviant,complex,NA,3093,forced_short,second half,1,first_deviant,2,NA,TRUE,TRUE
SS1627326507755,5,complex_dissimilar,580,3,background,background,complex,NA,3729.4000000953674,forced_short,second half,1,background,2,NA,TRUE,TRUE
SS1627326507755,5,complex_dissimilar,580,4,background,background,complex,NA,368.5,forced_short,second half,1,background,2,NA,TRUE,TRUE
SS1627326507755,5,complex_dissimilar,580,5,background,background,complex,NA,1596.9000000953674,forced_short,second half,1,background,2,NA,TRUE,TRUE
SS1627326507755,5,complex_dissimilar,580,6,background,background,complex,NA,644.5999999046326,forced_short,second half,1,background,2,NA,TRUE,TRUE
SS1627326507755,6,complex_dissimilar,820,1,background,background,complex,NA,4093.6000003814697,forced_short,second half,2,background,3,6,TRUE,TRUE
SS1627326507755,6,complex_dissimilar,820,2,background,background,complex,NA,5440.099999904633,forced_short,second half,2,background,3,6,TRUE,TRUE
SS1627326507755,6,complex_dissimilar,820,3,dissimilar deviant,deviant,complex,NA,5204.200000286102,forced_short,second half,2,first_deviant,3,6,TRUE,TRUE
SS1627326507755,6,complex_dissimilar,820,4,background,background,complex,NA,2686.1000003814697,forced_short,second half,2,background,3,6,TRUE,TRUE
SS1627326507755,6,complex_dissimilar,820,5,background,background,complex,NA,3108.9000000953674,forced_short,second half,2,background,3,6,TRUE,TRUE
SS1627326507755,6,complex_dissimilar,820,6,dissimilar deviant,deviant,complex,NA,3437.8999996185303,forced_short,second half,2,second_deviant,3,6,TRUE,TRUE
SS1627326507755,6,complex_dissimilar,820,7,background,background,complex,NA,3123.8999996185303,forced_short,second half,2,background,3,6,TRUE,TRUE
SS1627326507755,6,complex_dissimilar,820,8,background,background,complex,NA,1889.7999997138977,forced_short,second half,2,background,3,6,TRUE,TRUE
SS1627326507755,7,complex_dissimilar,680,1,background,background,complex,NA,4550,forced_short,second half,0,background,NA,NA,TRUE,TRUE
SS1627326507755,7,complex_dissimilar,680,2,background,background,complex,NA,3412.699999809265,forced_short,second half,0,background,NA,NA,TRUE,TRUE
SS1627326507755,7,complex_dissimilar,680,3,background,background,complex,NA,158.5,forced_short,second half,0,background,NA,NA,TRUE,TRUE
SS1627326507755,7,complex_dissimilar,680,4,background,background,complex,NA,1245.1999998092651,forced_short,second half,0,background,NA,NA,TRUE,TRUE
SS1627326507755,7,complex_dissimilar,680,5,background,background,complex,NA,3269.5,forced_short,second half,0,background,NA,NA,TRUE,TRUE
SS1627326507755,7,complex_dissimilar,680,6,background,background,complex,NA,3374.0999999046326,forced_short,second half,0,background,NA,NA,TRUE,TRUE
SS1627326507755,7,complex_dissimilar,680,7,background,background,complex,NA,1388,forced_short,second half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,0,complex_dissimilar,190,1,background,background,complex,NA,523.9000000953674,forced_short,first half,1,background,6,NA,TRUE,TRUE
SS1627326509722,0,complex_dissimilar,190,2,background,background,complex,NA,3882.300000190735,forced_short,first half,1,background,6,NA,TRUE,TRUE
SS1627326509722,0,complex_dissimilar,190,3,background,background,complex,NA,2367.2000002861023,forced_short,first half,1,background,6,NA,TRUE,TRUE
SS1627326509722,0,complex_dissimilar,190,4,background,background,complex,NA,3934.4000000953674,forced_short,first half,1,background,6,NA,TRUE,TRUE
SS1627326509722,0,complex_dissimilar,190,5,background,background,complex,NA,2301.300000190735,forced_short,first half,1,background,6,NA,TRUE,TRUE
SS1627326509722,0,complex_dissimilar,190,6,dissimilar deviant,deviant,complex,NA,7607.800000190735,forced_short,first half,1,first_deviant,6,NA,TRUE,TRUE
SS1627326509722,0,complex_dissimilar,190,7,background,background,complex,NA,3006.4000000953674,forced_short,first half,1,background,6,NA,TRUE,TRUE
SS1627326509722,1,complex_dissimilar,630,1,background,background,complex,NA,3574.2000002861023,forced_short,first half,2,background,2,8,TRUE,TRUE
SS1627326509722,1,complex_dissimilar,630,2,dissimilar deviant,deviant,complex,NA,3705.800000190735,forced_short,first half,2,first_deviant,2,8,TRUE,TRUE
SS1627326509722,1,complex_dissimilar,630,3,background,background,complex,NA,2372.199999809265,forced_short,first half,2,background,2,8,TRUE,TRUE
SS1627326509722,1,complex_dissimilar,630,4,background,background,complex,NA,1660.5,forced_short,first half,2,background,2,8,TRUE,TRUE
SS1627326509722,1,complex_dissimilar,630,5,background,background,complex,NA,1168.6999998092651,forced_short,first half,2,background,2,8,TRUE,TRUE
SS1627326509722,1,complex_dissimilar,630,6,background,background,complex,NA,899,forced_short,first half,2,background,2,8,TRUE,TRUE
SS1627326509722,1,complex_dissimilar,630,7,background,background,complex,NA,1093.7999997138977,forced_short,first half,2,background,2,8,TRUE,TRUE
SS1627326509722,1,complex_dissimilar,630,8,dissimilar deviant,deviant,complex,NA,1767.0999999046326,forced_short,first half,2,second_deviant,2,8,TRUE,TRUE
SS1627326509722,2,complex_dissimilar,770,1,background,background,complex,NA,1328.5999999046326,forced_short,first half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,2,complex_dissimilar,770,2,background,background,complex,NA,2267.199999809265,forced_short,first half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,2,complex_dissimilar,770,3,background,background,complex,NA,1378.5999999046326,forced_short,first half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,2,complex_dissimilar,770,4,background,background,complex,NA,3303.8999996185303,forced_short,first half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,2,complex_dissimilar,770,5,background,background,complex,NA,1144.1000003814697,forced_short,first half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,2,complex_dissimilar,770,6,background,background,complex,NA,1202.8000001907349,forced_short,first half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,2,complex_dissimilar,770,7,background,background,complex,NA,426.59999990463257,forced_short,first half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,2,complex_dissimilar,770,8,background,background,complex,NA,685.1999998092651,forced_short,first half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,3,complex_dissimilar,870,1,background,background,complex,NA,1201.1000003814697,forced_short,first half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,3,complex_dissimilar,870,2,background,background,complex,NA,2693.5999999046326,forced_short,first half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,3,complex_dissimilar,870,3,background,background,complex,NA,1136.9000000953674,forced_short,first half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,3,complex_dissimilar,870,4,background,background,complex,NA,1050.6999998092651,forced_short,first half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,3,complex_dissimilar,870,5,background,background,complex,NA,680.7999997138977,forced_short,first half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,3,complex_dissimilar,870,6,background,background,complex,NA,986,forced_short,first half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,3,complex_dissimilar,870,7,background,background,complex,NA,824.0999999046326,forced_short,first half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,4,complex_dissimilar,320,1,background,background,complex,NA,1019.8000001907349,forced_short,second half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,4,complex_dissimilar,320,2,background,background,complex,NA,2066.300000190735,forced_short,second half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,4,complex_dissimilar,320,3,background,background,complex,NA,1133.5,forced_short,second half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,4,complex_dissimilar,320,4,background,background,complex,NA,1510.0999999046326,forced_short,second half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,4,complex_dissimilar,320,5,background,background,complex,NA,1258.9000000953674,forced_short,second half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,4,complex_dissimilar,320,6,background,background,complex,NA,2150.800000190735,forced_short,second half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,5,complex_dissimilar,440,1,background,background,complex,NA,769.5,forced_short,second half,1,background,5,NA,TRUE,TRUE
SS1627326509722,5,complex_dissimilar,440,2,background,background,complex,NA,2392.5999999046326,forced_short,second half,1,background,5,NA,TRUE,TRUE
SS1627326509722,5,complex_dissimilar,440,3,background,background,complex,NA,764.8000001907349,forced_short,second half,1,background,5,NA,TRUE,TRUE
SS1627326509722,5,complex_dissimilar,440,4,background,background,complex,NA,543.8000001907349,forced_short,second half,1,background,5,NA,TRUE,TRUE
SS1627326509722,5,complex_dissimilar,440,5,dissimilar deviant,deviant,complex,NA,2949.7999997138977,forced_short,second half,1,first_deviant,5,NA,TRUE,TRUE
SS1627326509722,5,complex_dissimilar,440,6,background,background,complex,NA,2588,forced_short,second half,1,background,5,NA,TRUE,TRUE
SS1627326509722,5,complex_dissimilar,440,7,background,background,complex,NA,1803.1000003814697,forced_short,second half,1,background,5,NA,TRUE,TRUE
SS1627326509722,6,complex_dissimilar,730,1,background,background,complex,NA,789.1000003814697,forced_short,second half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,6,complex_dissimilar,730,2,background,background,complex,NA,2432.7000002861023,forced_short,second half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,6,complex_dissimilar,730,3,background,background,complex,NA,1357.6999998092651,forced_short,second half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,6,complex_dissimilar,730,4,background,background,complex,NA,1030.5,forced_short,second half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,6,complex_dissimilar,730,5,background,background,complex,NA,1084,forced_short,second half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,6,complex_dissimilar,730,6,background,background,complex,NA,755.5999999046326,forced_short,second half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,6,complex_dissimilar,730,7,background,background,complex,NA,1131.6000003814697,forced_short,second half,0,background,NA,NA,TRUE,TRUE
SS1627326509722,7,complex_dissimilar,860,1,background,background,complex,NA,652.4000000953674,forced_short,second half,2,background,4,6,TRUE,TRUE
SS1627326509722,7,complex_dissimilar,860,2,background,background,complex,NA,1731.0999999046326,forced_short,second half,2,background,4,6,TRUE,TRUE
SS1627326509722,7,complex_dissimilar,860,3,background,background,complex,NA,1585.8000001907349,forced_short,second half,2,background,4,6,TRUE,TRUE
SS1627326509722,7,complex_dissimilar,860,4,dissimilar deviant,deviant,complex,NA,2961.5,forced_short,second half,2,first_deviant,4,6,TRUE,TRUE
SS1627326509722,7,complex_dissimilar,860,5,background,background,complex,NA,1497.5,forced_short,second half,2,background,4,6,TRUE,TRUE
SS1627326509722,7,complex_dissimilar,860,6,dissimilar deviant,deviant,complex,NA,1439.5,forced_short,second half,2,second_deviant,4,6,TRUE,TRUE
SS1627326509722,7,complex_dissimilar,860,7,background,background,complex,NA,1754.3999996185303,forced_short,second half,2,background,4,6,TRUE,TRUE
SS1627326510942,0,complex_dissimilar,800,1,background,background,complex,NA,2642.599999964237,forced_short,first half,1,background,7,NA,TRUE,TRUE
SS1627326510942,0,complex_dissimilar,800,2,background,background,complex,NA,6199.100000023842,forced_short,first half,1,background,7,NA,TRUE,TRUE
SS1627326510942,0,complex_dissimilar,800,3,background,background,complex,NA,5729.800000011921,forced_short,first half,1,background,7,NA,TRUE,TRUE
SS1627326510942,0,complex_dissimilar,800,4,background,background,complex,NA,2798.199999988079,forced_short,first half,1,background,7,NA,TRUE,TRUE
SS1627326510942,0,complex_dissimilar,800,5,background,background,complex,NA,419.69999998807907,forced_short,first half,1,background,7,NA,TRUE,TRUE
SS1627326510942,0,complex_dissimilar,800,6,background,background,complex,NA,325.5,forced_short,first half,1,background,7,NA,TRUE,TRUE
SS1627326510942,0,complex_dissimilar,800,7,dissimilar deviant,deviant,complex,NA,8823.900000035763,forced_short,first half,1,first_deviant,7,NA,TRUE,TRUE
SS1627326510942,1,complex_dissimilar,510,1,background,background,complex,NA,2384.599999964237,forced_short,first half,2,background,5,6,TRUE,TRUE
SS1627326510942,1,complex_dissimilar,510,2,background,background,complex,NA,2673.899999976158,forced_short,first half,2,background,5,6,TRUE,TRUE
SS1627326510942,1,complex_dissimilar,510,3,background,background,complex,NA,2799.2999999523163,forced_short,first half,2,background,5,6,TRUE,TRUE
SS1627326510942,1,complex_dissimilar,510,4,background,background,complex,NA,1885.0999999642372,forced_short,first half,2,background,5,6,TRUE,TRUE
SS1627326510942,1,complex_dissimilar,510,5,dissimilar deviant,deviant,complex,NA,4136.5,forced_short,first half,2,first_deviant,5,6,TRUE,TRUE
