"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected"
"[{""page_index"":0,""viewing_time"":9391}]","9393","instructions","0","9438","0.0-0.0","SS1612928718866","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6722},{""page_index"":1,""viewing_time"":8247}]","14969","instructions","1","26423","0.0-1.0","SS1612928718866","instructions","","","","","","","","","","","","",""
"","12099","sequential-stimulus-presentation","2","39562","0.0-2.0","SS1612928718866","","","40","800","12899","","","","","","","","",""
"","4852","sequential-stimulus-presentation","3","45232","0.0-3.0","SS1612928718866","","","40","800","5652","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4333}]","4333","instructions","4","49571","0.0-4.0","SS1612928718866","instructions","","","","","","","","","","","","",""
"","8336","html-keyboard-response","5","57922","0.0-5.0","SS1612928718866","instructions","","49","","","<video width ='960' height = '540' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","1","left","25%","","","","",""
"","3326","sequential-stimulus-presentation","6","62074","0.0-6.0","SS1612928718866","pref_reveal","","40","800","4126","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":9800},{""page_index"":1,""viewing_time"":18029},{""page_index"":2,""viewing_time"":1046},{""page_index"":3,""viewing_time"":1154}]","30030","instructions","7","92109","0.0-7.0","SS1612928718866","instructions","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","93089","0.0-8.0-0.0","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","3949","sequential-stimulus-presentation","9","97911","0.0-8.0-1.0","SS1612928718866","trial","","40","800","4749","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_03_B_c.gif","middle",""
"","null","html-keyboard-response","10","98939","0.0-8.0-0.1","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","3362","sequential-stimulus-presentation","11","103123","0.0-8.0-1.1","SS1612928718866","trial","","40","800","4162","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_03_B_c.gif","middle",""
"","null","html-keyboard-response","12","104069","0.0-8.0-0.2","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1226","sequential-stimulus-presentation","13","106118","0.0-8.0-1.2","SS1612928718866","trial","","40","800","2026","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_03_B_c.gif","middle",""
"","null","html-keyboard-response","14","107239","0.0-8.0-0.3","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1041","sequential-stimulus-presentation","15","109101","0.0-8.0-1.3","SS1612928718866","trial","","40","800","1841","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_03_B_c.gif","middle",""
"","null","html-keyboard-response","16","110330","0.0-8.0-0.4","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","754","sequential-stimulus-presentation","17","111895","0.0-8.0-1.4","SS1612928718866","trial","","40","800","1554","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_03_B_c.gif","middle",""
"","null","html-keyboard-response","18","113100","0.0-8.0-0.5","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","4347","sequential-stimulus-presentation","19","118308","0.0-8.0-1.5","SS1612928718866","trial","","40","800","5147","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_10_A_a.gif","left",""
"","null","html-keyboard-response","20","119379","0.0-8.0-0.6","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","461","sequential-stimulus-presentation","21","120651","0.0-8.0-1.6","SS1612928718866","trial","","40","800","1261","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_03_B_c.gif","middle",""
"","null","html-keyboard-response","22","121580","0.0-8.0-0.7","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","556","sequential-stimulus-presentation","23","122957","0.0-8.0-1.7","SS1612928718866","trial","","40","800","1356","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_03_B_c.gif","middle",""
