"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected"
"","4487","html-keyboard-response","24","127453","0.0-9.0","SS1612928718866","pref_question","","51","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","3","right","66%","0","","","",""
"","4532","sequential-stimulus-presentation","25","132803","0.0-10.0","SS1612928718866","pref_reveal","","40","800","5332","","","","","0","","","","novel"
"","null","html-keyboard-response","26","133929","0.0-11.0-0.0","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1807","sequential-stimulus-presentation","27","136548","0.0-11.0-1.0","SS1612928718866","trial","","40","800","2607","","","","","1","complex_dissimilar","images/stimuli/spore_stims/complex_09_A_a.gif","middle",""
"","null","html-keyboard-response","28","137789","0.0-11.0-0.1","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1622","sequential-stimulus-presentation","29","140222","0.0-11.0-1.1","SS1612928718866","trial","","40","800","2422","","","","","1","complex_dissimilar","images/stimuli/spore_stims/complex_09_A_a.gif","middle",""
"","null","html-keyboard-response","30","141109","0.0-11.0-0.2","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1255","sequential-stimulus-presentation","31","143185","0.0-11.0-1.2","SS1612928718866","trial","","40","800","2055","","","","","1","complex_dissimilar","images/stimuli/spore_stims/complex_09_A_a.gif","middle",""
"","null","html-keyboard-response","32","144399","0.0-11.0-0.3","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","2383","sequential-stimulus-presentation","33","147602","0.0-11.0-1.3","SS1612928718866","trial","","40","800","3183","","","","","1","complex_dissimilar","images/stimuli/spore_stims/complex_09_A_a.gif","middle",""
"","null","html-keyboard-response","34","148648","0.0-11.0-0.4","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","3000","sequential-stimulus-presentation","35","152471","0.0-11.0-1.4","SS1612928718866","trial","","40","800","3800","","","","","1","complex_dissimilar","images/stimuli/spore_stims/complex_11_A_c.gif","left",""
"","null","html-keyboard-response","36","153408","0.0-11.0-0.5","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","956","sequential-stimulus-presentation","37","155176","0.0-11.0-1.5","SS1612928718866","trial","","40","800","1756","","","","","1","complex_dissimilar","images/stimuli/spore_stims/complex_09_A_a.gif","middle",""
"","null","html-keyboard-response","38","156138","0.0-11.0-0.6","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1166","sequential-stimulus-presentation","39","158126","0.0-11.0-1.6","SS1612928718866","trial","","40","800","1966","","","","","1","complex_dissimilar","images/stimuli/spore_stims/complex_09_A_a.gif","middle",""
"","null","html-keyboard-response","40","159188","0.0-11.0-0.7","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","2451","sequential-stimulus-presentation","41","162450","0.0-11.0-1.7","SS1612928718866","trial","","40","800","3251","","","","","1","complex_dissimilar","images/stimuli/spore_stims/complex_09_A_a.gif","middle",""
"","2621","html-keyboard-response","42","165085","0.0-12.0","SS1612928718866","pref_question","","49","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","1","left","25%","1","","","",""
"","2616","sequential-stimulus-presentation","43","168525","0.0-13.0","SS1612928718866","pref_reveal","","40","800","3416","","","","","1","","","","deviant"
"","null","html-keyboard-response","44","169537","0.0-14.0-0.0","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","2470","sequential-stimulus-presentation","45","172819","0.0-14.0-1.0","SS1612928718866","trial","","40","800","3270","","","","","2","complex_similar","images/stimuli/spore_stims/complex_02_A_a.gif","right",""
"","null","html-keyboard-response","46","174128","0.0-14.0-0.1","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1202","sequential-stimulus-presentation","47","176150","0.0-14.0-1.1","SS1612928718866","trial","","40","800","2002","","","","","2","complex_similar","images/stimuli/spore_stims/complex_02_A_a.gif","right",""
"","null","html-keyboard-response","48","177297","0.0-14.0-0.2","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","2079","sequential-stimulus-presentation","49","180187","0.0-14.0-1.2","SS1612928718866","trial","","40","800","2879","","","","","2","complex_similar","images/stimuli/spore_stims/complex_02_B_a.gif","left",""
"","null","html-keyboard-response","50","181038","0.0-14.0-0.3","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1585","sequential-stimulus-presentation","51","183444","0.0-14.0-1.3","SS1612928718866","trial","","40","800","2385","","","","","2","complex_similar","images/stimuli/spore_stims/complex_02_A_a.gif","right",""
"","null","html-keyboard-response","52","184417","0.0-14.0-0.4","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1464","sequential-stimulus-presentation","53","186692","0.0-14.0-1.4","SS1612928718866","trial","","40","800","2264","","","","","2","complex_similar","images/stimuli/spore_stims/complex_02_A_a.gif","right",""
"","null","html-keyboard-response","54","187748","0.0-14.0-0.5","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1787","sequential-stimulus-presentation","55","190356","0.0-14.0-1.5","SS1612928718866","trial","","40","800","2587","","","","","2","complex_similar","images/stimuli/spore_stims/complex_02_A_a.gif","right",""
"","null","html-keyboard-response","56","191468","0.0-14.0-0.6","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1937","sequential-stimulus-presentation","57","194225","0.0-14.0-1.6","SS1612928718866","trial","","40","800","2737","","","","","2","complex_similar","images/stimuli/spore_stims/complex_02_A_a.gif","right",""
"","null","html-keyboard-response","58","195287","0.0-14.0-0.7","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","2089","sequential-stimulus-presentation","59","198198","0.0-14.0-1.7","SS1612928718866","trial","","40","800","2889","","","","","2","complex_similar","images/stimuli/spore_stims/complex_02_A_a.gif","right",""
"","1768","html-keyboard-response","60","199974","0.0-15.0","SS1612928718866","pref_question","","50","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","2","middle","45%","2","","","",""
"","5453","sequential-stimulus-presentation","61","206290","0.0-16.0","SS1612928718866","pref_reveal","","40","800","6253","","","","","2","","","","novel"
"","null","html-keyboard-response","62","207417","0.0-17.0-0.0","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","3079","sequential-stimulus-presentation","63","211318","0.0-17.0-1.0","SS1612928718866","trial","","40","800","3879","","","","","3","complex_dissimilar","images/stimuli/spore_stims/complex_05_A_c.gif","right",""
"","null","html-keyboard-response","64","212207","0.0-17.0-0.1","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1458","sequential-stimulus-presentation","65","214475","0.0-17.0-1.1","SS1612928718866","trial","","40","800","2258","","","","","3","complex_dissimilar","images/stimuli/spore_stims/complex_05_A_c.gif","right",""
"","null","html-keyboard-response","66","215667","0.0-17.0-0.2","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","2315","sequential-stimulus-presentation","67","218803","0.0-17.0-1.2","SS1612928718866","trial","","40","800","3115","","","","","3","complex_dissimilar","images/stimuli/spore_stims/complex_05_A_c.gif","right",""
"","null","html-keyboard-response","68","220027","0.0-17.0-0.3","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1718","sequential-stimulus-presentation","69","222566","0.0-17.0-1.3","SS1612928718866","trial","","40","800","2518","","","","","3","complex_dissimilar","images/stimuli/spore_stims/complex_05_A_c.gif","right",""
"","null","html-keyboard-response","70","223507","0.0-17.0-0.4","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","2444","sequential-stimulus-presentation","71","226771","0.0-17.0-1.4","SS1612928718866","trial","","40","800","3244","","","","","3","complex_dissimilar","images/stimuli/spore_stims/complex_05_A_c.gif","right",""
"","null","html-keyboard-response","72","227839","0.0-17.0-0.5","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","3749","sequential-stimulus-presentation","73","232418","0.0-17.0-1.5","SS1612928718866","trial","","40","800","4549","","","","","3","complex_dissimilar","images/stimuli/spore_stims/complex_11_B_b.gif","middle",""
"","null","html-keyboard-response","74","233309","0.0-17.0-0.6","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","2621","sequential-stimulus-presentation","75","236750","0.0-17.0-1.6","SS1612928718866","trial","","40","800","3421","","","","","3","complex_dissimilar","images/stimuli/spore_stims/complex_05_A_c.gif","right",""
"","null","html-keyboard-response","76","237638","0.0-17.0-0.7","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","2276","sequential-stimulus-presentation","77","240736","0.0-17.0-1.7","SS1612928718866","trial","","40","800","3076","","","","","3","complex_dissimilar","images/stimuli/spore_stims/complex_05_A_c.gif","right",""
"","6186","html-keyboard-response","78","246936","0.0-18.0","SS1612928718866","pref_question","","49","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","1","left","25%","3","","","",""
"","3997","sequential-stimulus-presentation","79","251746","0.0-19.0","SS1612928718866","pref_reveal","","40","800","4797","","","","","3","","","","novel"
"","null","html-keyboard-response","80","253019","0.0-20.0-0.0","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","3104","sequential-stimulus-presentation","81","256945","0.0-20.0-1.0","SS1612928718866","trial","","40","800","3904","","","","","4","simple_similar","images/stimuli/spore_stims/simple_18_A_a.gif","middle",""
"","null","html-keyboard-response","82","258179","0.0-20.0-0.1","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","2514","sequential-stimulus-presentation","83","261515","0.0-20.0-1.1","SS1612928718866","trial","","40","800","3314","","","","","4","simple_similar","images/stimuli/spore_stims/simple_18_A_a.gif","middle",""
"","null","html-keyboard-response","84","262373","0.0-20.0-0.2","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1564","sequential-stimulus-presentation","85","264759","0.0-20.0-1.2","SS1612928718866","trial","","40","800","2364","","","","","4","simple_similar","images/stimuli/spore_stims/simple_18_A_a.gif","middle",""
"","null","html-keyboard-response","86","266064","0.0-20.0-0.3","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1274","sequential-stimulus-presentation","87","268158","0.0-20.0-1.3","SS1612928718866","trial","","40","800","2074","","","","","4","simple_similar","images/stimuli/spore_stims/simple_18_A_a.gif","middle",""
"","null","html-keyboard-response","88","269086","0.0-20.0-0.4","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","2326","sequential-stimulus-presentation","89","272243","0.0-20.0-1.4","SS1612928718866","trial","","40","800","3126","","","","","4","simple_similar","images/stimuli/spore_stims/simple_18_A_a.gif","middle",""
"","null","html-keyboard-response","90","273505","0.0-20.0-0.5","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","4968","sequential-stimulus-presentation","91","279344","0.0-20.0-1.5","SS1612928718866","trial","","40","800","5768","","","","","4","simple_similar","images/stimuli/spore_stims/simple_18_A_a.gif","middle",""
"","null","html-keyboard-response","92","280265","0.0-20.0-0.6","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","4441","sequential-stimulus-presentation","93","285597","0.0-20.0-1.6","SS1612928718866","trial","","40","800","5241","","","","","4","simple_similar","images/stimuli/spore_stims/simple_18_B_a.gif","right",""
"","null","html-keyboard-response","94","286474","0.0-20.0-0.7","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","4242","sequential-stimulus-presentation","95","291578","0.0-20.0-1.7","SS1612928718866","trial","","40","800","5042","","","","","4","simple_similar","images/stimuli/spore_stims/simple_18_A_a.gif","middle",""
"","9659","html-keyboard-response","96","301297","0.0-21.0","SS1612928718866","pref_question","","49","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","1","left","25%","4","","","",""
"","4055","sequential-stimulus-presentation","97","306260","0.0-22.0","SS1612928718866","pref_reveal","","40","800","4855","","","","","4","","","","novel"
"","null","html-keyboard-response","98","307074","0.0-23.0-0.0","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","4385","sequential-stimulus-presentation","99","312392","0.0-23.0-1.0","SS1612928718866","trial","","40","800","5185","","","","","5","complex_similar","images/stimuli/spore_stims/complex_06_B_d.gif","middle",""
"","null","html-keyboard-response","100","313634","0.0-23.0-0.1","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","4485","sequential-stimulus-presentation","101","319016","0.0-23.0-1.1","SS1612928718866","trial","","40","800","5285","","","","","5","complex_similar","images/stimuli/spore_stims/complex_06_B_d.gif","middle",""
"","null","html-keyboard-response","102","319924","0.0-23.0-0.2","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","4523","sequential-stimulus-presentation","103","325346","0.0-23.0-1.2","SS1612928718866","trial","","40","800","5323","","","","","5","complex_similar","images/stimuli/spore_stims/complex_06_B_d.gif","middle",""
"","null","html-keyboard-response","104","326353","0.0-23.0-0.3","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","30868","sequential-stimulus-presentation","105","358053","0.0-23.0-1.3","SS1612928718866","trial","","40","800","31668","","","","","5","complex_similar","images/stimuli/spore_stims/complex_06_B_d.gif","middle",""
"","null","html-keyboard-response","106","361189","0.0-23.0-0.4","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","2124","sequential-stimulus-presentation","107","364237","0.0-23.0-1.4","SS1612928718866","trial","","40","800","2924","","","","","5","complex_similar","images/stimuli/spore_stims/complex_06_A_d.gif","right",""
"","null","html-keyboard-response","108","365332","0.0-23.0-0.5","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","2572","sequential-stimulus-presentation","109","368715","0.0-23.0-1.5","SS1612928718866","trial","","40","800","3372","","","","","5","complex_similar","images/stimuli/spore_stims/complex_06_B_d.gif","middle",""
"","null","html-keyboard-response","110","369712","0.0-23.0-0.6","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1372","sequential-stimulus-presentation","111","371905","0.0-23.0-1.6","SS1612928718866","trial","","40","800","2172","","","","","5","complex_similar","images/stimuli/spore_stims/complex_06_B_d.gif","middle",""
"","null","html-keyboard-response","112","373182","0.0-23.0-0.7","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","961","sequential-stimulus-presentation","113","375155","0.0-23.0-1.7","SS1612928718866","trial","","40","800","1761","","","","","5","complex_similar","images/stimuli/spore_stims/complex_06_B_d.gif","middle",""
"","8044","html-keyboard-response","114","383683","0.0-24.0","SS1612928718866","pref_question","","49","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","1","left","25%","5","","","",""
"","2850","sequential-stimulus-presentation","115","387502","0.0-25.0","SS1612928718866","pref_reveal","","40","800","3650","","","","","5","","","","novel"
"","null","html-keyboard-response","116","388541","0.0-26.0-0.0","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","4269","sequential-stimulus-presentation","117","393681","0.0-26.0-1.0","SS1612928718866","trial","","40","800","5069","","","","","6","simple_similar","images/stimuli/spore_stims/simple_17_A_c.gif","middle",""
"","null","html-keyboard-response","118","394761","0.0-26.0-0.1","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","2087","sequential-stimulus-presentation","119","397679","0.0-26.0-1.1","SS1612928718866","trial","","40","800","2887","","","","","6","simple_similar","images/stimuli/spore_stims/simple_17_A_c.gif","middle",""
"","null","html-keyboard-response","120","398921","0.0-26.0-0.2","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","637","sequential-stimulus-presentation","121","400379","0.0-26.0-1.2","SS1612928718866","trial","","40","800","1437","","","","","6","simple_similar","images/stimuli/spore_stims/simple_17_A_c.gif","middle",""
"","null","html-keyboard-response","122","401621","0.0-26.0-0.3","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","2982","sequential-stimulus-presentation","123","405474","0.0-26.0-1.3","SS1612928718866","trial","","40","800","3782","","","","","6","simple_similar","images/stimuli/spore_stims/simple_17_A_c.gif","middle",""
"","null","html-keyboard-response","124","406631","0.0-26.0-0.4","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","941","sequential-stimulus-presentation","125","408454","0.0-26.0-1.4","SS1612928718866","trial","","40","800","1741","","","","","6","simple_similar","images/stimuli/spore_stims/simple_17_A_c.gif","middle",""
"","null","html-keyboard-response","126","409420","0.0-26.0-0.5","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","6815","sequential-stimulus-presentation","127","417076","0.0-26.0-1.5","SS1612928718866","trial","","40","800","7615","","","","","6","simple_similar","images/stimuli/spore_stims/simple_17_B_c.gif","left",""
"","null","html-keyboard-response","128","418300","0.0-26.0-0.6","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","824","sequential-stimulus-presentation","129","419935","0.0-26.0-1.6","SS1612928718866","trial","","40","800","1624","","","","","6","simple_similar","images/stimuli/spore_stims/simple_17_A_c.gif","middle",""
"","null","html-keyboard-response","130","421061","0.0-26.0-0.7","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1409","sequential-stimulus-presentation","131","423394","0.0-26.0-1.7","SS1612928718866","trial","","40","800","2209","","","","","6","simple_similar","images/stimuli/spore_stims/simple_17_A_c.gif","middle",""
