rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,subject,success,view_history,stimulus_type,trial_stimulus,key_press,minimum_viewing_duration,trial_looking_time,block_deviant,block_background,exposure_type,forced_exposure_time,stimulus,block_number,block_type,stimulus_displayed,question_order,question_stimuli,block_index,stimulus_left,stimulus_right,math_correct_answer
31.200000047683716,NA,stimuli-presentation,17,35131,0.0-8.0-1.4,SS1630642817043,NA,NA,trial,NA,40,500,531.2000000476837,images/stimuli/complex_15_A_a.gif,images/stimuli/complex_07_A_a.gif,self_paced,260,NA,0,complex_dissimilar,images/stimuli/complex_07_A_a.gif,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,18,36369,0.0-8.0-0.5,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
167.70000004768372,NA,stimuli-presentation,19,37041,0.0-8.0-1.5,SS1630642817043,NA,NA,trial,NA,40,500,667.7000000476837,images/stimuli/complex_15_A_a.gif,images/stimuli/complex_07_A_a.gif,self_paced,260,NA,0,complex_dissimilar,images/stimuli/complex_15_A_a.gif,NA,NA,NA,NA,NA,NA
3883.8000000715256,"{""Q0"":3}",survey-likert,20,40927,0.0-9.0,SS1630642817043,NA,NA,curiousity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0],images/stimuli/complex_07_A_a.gif,0,NA,NA,NA
null,NA,html-keyboard-response,21,42000,0.0-10.0-0.0,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
137.30000007152557,NA,stimuli-presentation,22,42646,0.0-10.0-1.0,SS1630642817043,NA,NA,trial,NA,40,500,637.3000000715256,images/stimuli/simple_02_A_a.gif,images/stimuli/simple_06_A_a.gif,self_paced,180,NA,1,simple_dissimilar,images/stimuli/simple_06_A_a.gif,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,23,43910,0.0-10.0-0.1,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
150.20000004768372,NA,stimuli-presentation,24,44568,0.0-10.0-1.1,SS1630642817043,NA,NA,trial,NA,40,500,650.2000000476837,images/stimuli/simple_02_A_a.gif,images/stimuli/simple_06_A_a.gif,self_paced,180,NA,1,simple_dissimilar,images/stimuli/simple_06_A_a.gif,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,25,45692,0.0-10.0-0.2,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
41694,NA,stimuli-presentation,26,87891,0.0-10.0-1.2,SS1630642817043,NA,NA,trial,NA,40,500,42194,images/stimuli/simple_02_A_a.gif,images/stimuli/simple_06_A_a.gif,self_paced,180,NA,1,simple_dissimilar,images/stimuli/simple_06_A_a.gif,NA,NA,NA,NA,NA,NA
