,prolific_id,trial_type,rt,background,deviant,block_type,trial_index,fam_trial,total_rt,response,question_order,rating_type,response
0,,preload,,,,,0,,,,,,
1,,preload,,,,,0,,,,,,
2,,fullscreen,,,,,1,,,,,,
3,,instructions,2825.0,,,,2,,,,,,
4,,curtain-display,,media/animal_stim/whitened/006_left_1.gif,media/animal_stim/whitened/006_right_2.gif,all_background,3,1.0,,,,,
5,,curtain-display,1950.0,media/animal_stim/whitened/006_left_1.gif,media/animal_stim/whitened/006_right_2.gif,all_background,4,1.0,2450.0,,,,
6,,survey-likert,7441.0,,,,5,,,{'Q0': 2},[0],background,{'Q0': 2}
7,,curtain-display,,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_right_1.gif,all_background,6,3.0,,,,,
8,,curtain-display,,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_right_1.gif,all_background,7,3.0,,,,,
9,,curtain-display,,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_right_1.gif,all_background,8,3.0,,,,,
10,,curtain-display,1800.0,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_right_1.gif,all_background,9,3.0,2300.0,,,,
11,,survey-likert,1676.0,,,,10,,,{'Q0': 3},[0],background,{'Q0': 3}
12,,curtain-display,,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_right_1.gif,all_background,11,9.0,,,,,
13,,curtain-display,,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_right_1.gif,all_background,12,9.0,,,,,
14,,curtain-display,,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_right_1.gif,all_background,13,9.0,,,,,
15,,curtain-display,,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_right_1.gif,all_background,14,9.0,,,,,
16,,preload,,,,,0,,,,,,
17,,preload,,,,,0,,,,,,
18,,fullscreen,,,,,1,,,,,,
19,,instructions,1205.0,,,,2,,,,,,
20,,preload,,,,,0,,,,,,
21,,preload,,,,,0,,,,,,
22,,fullscreen,,,,,1,,,,,,
23,,curtain-display,850109.0,media/animal_stim/whitened/006_right_1.gif,media/animal_stim/whitened/006_left_2.gif,all_background,4,1.0,850609.0,,,,
24,,preload,,,,,0,,,,,,
25,,preload,,,,,0,,,,,,
26,,preload,,,,,0,,,,,,
27,,preload,,,,,0,,,,,,
28,,preload,,,,,0,,,,,,
29,,preload,,,,,0,,,,,,
30,,preload,,,,,0,,,,,,
31,,preload,,,,,0,,,,,,
32,,preload,,,,,0,,,,,,
33,,preload,,,,,0,,,,,,
34,,preload,,,,,0,,,,,,
35,,preload,,,,,0,,,,,,
36,,preload,,,,,0,,,,,,
37,,preload,,,,,0,,,,,,
38,,preload,,,,,0,,,,,,
39,,preload,,,,,0,,,,,,
40,,preload,,,,,0,,,,,,
41,,preload,,,,,0,,,,,,
42,,preload,,,,,0,,,,,,
43,,preload,,,,,0,,,,,,
44,,preload,,,,,0,,,,,,
45,,preload,,,,,0,,,,,,
46,,preload,,,,,0,,,,,,
47,,preload,,,,,0,,,,,,
48,,fullscreen,,,,,1,,,,,,
49,,instructions,3168.0,,,,2,,,,,,
50,,curtain-display,,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_left_1.gif,all_background,3,1.0,,,,,
51,,curtain-display,338.0,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_left_1.gif,all_background,4,1.0,838.0,,,,
52,,survey-likert,1961.0,,,,5,,,{'Q0': 2},[0],background,{'Q0': 2}
53,,curtain-display,,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_right_2.gif,all_background,6,3.0,,,,,
54,,curtain-display,,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_right_2.gif,all_background,7,3.0,,,,,
55,,curtain-display,,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_right_2.gif,all_background,8,3.0,,,,,
56,,curtain-display,1173.0,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_right_2.gif,all_background,9,3.0,1673.0,,,,
57,,survey-likert,107384.0,,,,10,,,{'Q0': 2},[0],background,{'Q0': 2}
