experiment,subject_num,fam_duration,age,sex,SubjectInfo.sessionNumber,fam_or_test,test_type,Trials.ordinal,Looks.confidence,Trials.duration,Trials.excludeTrial,Trials.excludeReason,LT,block_num,exclude,animal_pair,orientation,pair_counterbalancing,animal,age_category,log_LT
3,1,0,312,F,1,test,baseline,0,0.8433528197179189,27.617,False,,25.38,1,FALSE,1,Right,1,1,old,3.2339614622862416
3,1,0,312,F,1,test,baseline,3,0.7465114686223066,36.237,False,,12.483999999999998,3,FALSE,5,Left,2,10,old,2.524447824408533
3,1,4,312,F,1,fam,fam,1,0.7514778085793049,19.999,False,,19.999,2,FALSE,2,Left,2,4,old,2.995682272303949
3,1,4,312,F,1,test,fam,2,0.7239282449294578,42.352,False,,36.593,2,FALSE,2,Left,2,4,old,3.5998569652847996
3,1,4,312,F,1,fam,nov,4,0.7968210808932781,19.999,False,,19.999,4,FALSE,4,Right,2,8,old,2.995682272303949
3,1,4,312,F,1,test,nov,5,0.8319625896604166,21.243,False,,9.134,4,FALSE,4,Right,2,7,old,2.2120037147628073
3,1,8,312,F,1,fam,nov,6,0.8093894681220553,39.999,False,,23.95300000000001,5,FALSE,6,Left,1,11,old,3.1760935769727596
3,1,8,312,F,1,test,nov,7,0.6706610769033432,9.798,False,,5.763999999999998,5,FALSE,6,Left,1,12,old,1.7516316781372752
3,1,8,312,F,1,fam,fam,8,0.6841058789128783,31.876,False,,22.733,6,FALSE,3,Right,1,5,old,3.1238176133172093
3,1,8,312,F,1,test,fam,9,NA,0.05,True,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0.05,6,TRUE,3,Right,1,5,old,-2.995732273553991
3,2,0,316,F,1,test,baseline,4,0.4418403258173138,48.236,False,,7.955999999999987,3,FALSE,3,Right,1,5,old,2.0739263609917242
3,2,0,316,F,1,test,baseline,7,0.048125792708661824,30.955,False,,4.721,5,FALSE,1,Right,1,1,old,1.5520206415641498
3,2,4,316,F,1,fam,fam,0,0.6852924805727505,19.999,False,,18.68,1,FALSE,6,Left,2,12,old,2.9274534328006965
3,2,4,316,F,1,test,fam,1,0.3475356621199815,40.341,False,,32.633,1,FALSE,6,Left,2,12,old,3.48532404631159
