prolific_id,total_rt,block_type,background_stimulus,deviant_stimulus,background_type,deviant_type,violation_type,total_trial_number,trial_number,block_number,animacy,number,pose,trial_type,background_id,background_animacy,background_pose,background_number,deviant_id,deviant_animacy,deviant_pose,deviant_number,same_animacy,same_number,same_pose,same_id
5b19a8072767e20001e4eaaf,1551,deviant_block,media/padded_stims/animate_011_right.png,media/padded_stims/animate_011_right.png,animate_pair_right,animate_single_right,number,6,4,10,animate,pair,right,background,011,animate,right,pair,011,animate,right,single,TRUE,FALSE,TRUE,TRUE
605da94ba47f45380a1c7d57,1868,deviant_block,media/padded_stims/animate_009_left.png,media/padded_stims/animate_009_left.png,animate_single_left,animate_pair_left,number,6,6,13,animate,single,left,deviant,009,animate,left,single,009,animate,left,pair,TRUE,FALSE,TRUE,TRUE
5b19a8072767e20001e4eaaf,1257,deviant_block,media/padded_stims/animate_011_right.png,media/padded_stims/animate_011_right.png,animate_pair_right,animate_single_right,number,6,5,10,animate,pair,right,background,011,animate,right,pair,011,animate,right,single,TRUE,FALSE,TRUE,TRUE
6595be0e8ac3f1327fec5bf8,2262,background_block,media/padded_stims/inanimate_003_left.png,,inanimate_pair_left,,background,4,4,9,inanimate,pair,left,background,003,inanimate,left,pair,NA,animate,right,single,FALSE,FALSE,FALSE,NA
65263de10f1e7475f5b1fc21,1547,deviant_block,media/padded_stims/animate_005_left.png,media/padded_stims/animate_005_left.png,animate_single_left,animate_pair_left,number,2,1,14,animate,single,left,background,005,animate,left,single,005,animate,left,pair,TRUE,FALSE,TRUE,TRUE
5b19a8072767e20001e4eaaf,1194,deviant_block,media/padded_stims/animate_011_right.png,media/padded_stims/animate_011_right.png,animate_pair_right,animate_single_right,number,6,6,10,animate,pair,right,deviant,011,animate,right,pair,011,animate,right,single,TRUE,FALSE,TRUE,TRUE
65263de10f1e7475f5b1fc21,792,deviant_block,media/padded_stims/animate_005_left.png,media/padded_stims/animate_005_left.png,animate_single_left,animate_pair_left,number,2,2,14,animate,single,left,deviant,005,animate,left,single,005,animate,left,pair,TRUE,FALSE,TRUE,TRUE
605da94ba47f45380a1c7d57,916,deviant_block,media/padded_stims/inanimate_010_left.png,media/padded_stims/animate_005_left.png,inanimate_single_left,animate_single_left,animacy,4,1,14,inanimate,single,left,background,010,inanimate,left,single,005,animate,left,single,FALSE,TRUE,TRUE,FALSE
5b19a8072767e20001e4eaaf,940,deviant_block,media/padded_stims/inanimate_008_right.png,media/padded_stims/inanimate_008_left.png,inanimate_pair_right,inanimate_pair_left,pose,6,1,11,inanimate,pair,right,background,008,inanimate,right,pair,008,inanimate,left,pair,TRUE,TRUE,FALSE,TRUE
605da94ba47f45380a1c7d57,1322,deviant_block,media/padded_stims/inanimate_010_left.png,media/padded_stims/animate_005_left.png,inanimate_single_left,animate_single_left,animacy,4,2,14,inanimate,single,left,background,010,inanimate,left,single,005,animate,left,single,FALSE,TRUE,TRUE,FALSE
5b19a8072767e20001e4eaaf,967,deviant_block,media/padded_stims/inanimate_008_right.png,media/padded_stims/inanimate_008_left.png,inanimate_pair_right,inanimate_pair_left,pose,6,2,11,inanimate,pair,right,background,008,inanimate,right,pair,008,inanimate,left,pair,TRUE,TRUE,FALSE,TRUE
6595be0e8ac3f1327fec5bf8,3193,deviant_block,media/padded_stims/inanimate_008_right.png,media/padded_stims/animate_002_right.png,inanimate_single_right,animate_single_right,animacy,6,1,10,inanimate,single,right,background,008,inanimate,right,single,002,animate,right,single,FALSE,TRUE,TRUE,FALSE
65263de10f1e7475f5b1fc21,1252,deviant_block,media/padded_stims/inanimate_001_left.png,media/padded_stims/inanimate_001_right.png,inanimate_single_left,inanimate_single_right,pose,6,1,15,inanimate,single,left,background,001,inanimate,left,single,001,inanimate,right,single,TRUE,TRUE,FALSE,TRUE
605da94ba47f45380a1c7d57,1399,deviant_block,media/padded_stims/inanimate_010_left.png,media/padded_stims/animate_005_left.png,inanimate_single_left,animate_single_left,animacy,4,3,14,inanimate,single,left,background,010,inanimate,left,single,005,animate,left,single,FALSE,TRUE,TRUE,FALSE
5b19a8072767e20001e4eaaf,1401,deviant_block,media/padded_stims/inanimate_008_right.png,media/padded_stims/inanimate_008_left.png,inanimate_pair_right,inanimate_pair_left,pose,6,3,11,inanimate,pair,right,background,008,inanimate,right,pair,008,inanimate,left,pair,TRUE,TRUE,FALSE,TRUE
