SubjectInfo.subjID,SubjectInfo.testAge,SubjectInfo.gender,SubjectInfo.sessionNumber,Trials.trialType,Trials.ordinal,Looks.confidence,Trials.duration,Trials.excludeTrial,Trials.excludeReason,Looks.duration_onLooks
PKBB_05,277.0,F,1,fam-9-background-5,2,0.6302250528507816,44.999,False,,43.84200000000001
PKBB_05,277.0,F,1,test-9-background-5,3,0.7756058916166175,25.452,False,,25.452
PKBB_05,277.0,F,1,fam-9-animacy-3,4,0.7551345313633342,44.999,False,,2.8220000000000027
PKBB_05,277.0,F,1,test-9-animacy-3,5,0.7870017065979495,58.054,False,,43.18899999999997
PKBB_05,277.0,F,1,fam-8-pose-1,6,0.7259417213406977,39.999,False,,30.745000000000008
PKBB_05,277.0,F,1,test-8-pose-1,7,0.722840017557874,22.32,False,,10.442999999999998
PKBB_06,303.0,F,1,fam-9-background-1,0,0.6937698792550404,44.998999999999995,False,,12.243999999999993
PKBB_06,303.0,F,1,test-9-background-1,1,0.6677161055284039,40.733000000000004,False,,19.558999999999987
PKBB_06,303.0,F,1,fam-8-pose-5,2,0.5530989028336036,39.999,False,,4.214000000000007
PKBB_06,303.0,F,1,test-8-pose-5,3,0.2287675506031973,51.553000000000004,False,,8.494
PKBB_06,303.0,F,1,fam-9-number-3,4,0.2606013618370213,44.998999999999995,False,,7.222000000000001
PKBB_06,303.0,F,1,test-9-number-3,5,0.24724723522518746,47.665,False,,27.14899999999999
PKBB_06,303.0,F,1,fam-8-animacy-2,6,0.5121863402132351,39.999,False,,4.244999999999993
PKBB_06,303.0,F,1,test-8-animacy-2,7,0.7306829427082374,25.910999999999998,False,,23.936999999999998
PKBB_07,259.0,M,1,fam-9-pose-6,0,0.5840895884762013,44.999,True,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0.9230000000000018
PKBB_07,259.0,M,1,test-9-pose-6,1,0.6723110626141229,8.228,False,,4.271
PKBB_07,259.0,M,1,fam-8-number-4,2,0.7777292555292198,39.999,False,,37.96100000000001
PKBB_07,259.0,M,1,test-8-number-4,3,0.9025812928493206,9.673,False,,9.075
PKBB_07,259.0,M,1,fam-9-background-5,4,0.7386098166306813,44.999,False,,9.557000000000002
PKBB_07,259.0,M,1,test-9-background-5,5,0.8159247602025668,12.172,False,,3.5560000000000014
PKBB_07,259.0,M,1,fam-8-animacy-2,6,0.6885674021863218,39.999,False,,11.176000000000002
PKBB_07,259.0,M,1,test-8-animacy-2,7,0.6401266537615714,27.101,False,,3.616
PKBB_08,280.0,F,1,fam-8-number-2,0,0.6478825898088464,39.999,False,,12.311
PKBB_08,280.0,F,1,test-8-number-2,1,0.7071825761561296,60.0,True,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),1.7909999999999968
PKBB_08,280.0,F,1,fam-9-background-3,2,0.7120097775611441,44.998999999999995,False,,3.3210000000000046
PKBB_08,280.0,F,1,test-9-background-3,3,0.7367395979991848,51.495,False,,5.527000000000001
PKBB_08,280.0,F,1,fam-8-animacy-6,4,0.7582986405324025,39.999,False,,39.041
PKBB_08,280.0,F,1,test-8-animacy-6,5,0.9021917310531372,25.656999999999996,False,,24.381
PKBB_08,280.0,F,1,fam-9-identity-5,6,0.9174180822060468,44.998999999999995,False,,40.724000000000004
PKBB_08,280.0,F,1,test-9-identity-5,7,0.8199270287270338,60.0,False,,55.324
PKBB_09,270.0,F,1,fam-9-background-4,0,0.5879612068066128,44.999,False,,2.0300000000000007
PKBB_09,270.0,F,1,test-9-background-4,1,0.47520319997675703,31.033,True,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0.91
PKBB_09,270.0,F,1,fam-9-identity-5,2,0.7644736016328688,44.999,False,,10.041999999999994
PKBB_09,270.0,F,1,test-9-identity-5,3,0.7351259264272519,39.911,False,,17.553
PKBB_09,270.0,F,1,fam-8-pose-6,4,0.8033776634962005,39.999,False,,9.617000000000008
PKBB_09,270.0,F,1,test-8-pose-6,5,0.8054906698759474,21.221,False,,6.0539999999999985
PKBB_09,270.0,F,1,fam-8-animacy-1,6,0.5604604129189685,39.999,False,,14.694000000000004
PKBB_09,270.0,F,1,test-8-animacy-1,7,0.6169619756864536,38.075,False,,15.093000000000005
PKBB_10,244.0,M,1,fam-8-pose-2,0,0.9469403406812464,39.999,False,,33.351
PKBB_10,244.0,M,1,test-8-pose-2,1,0.9049131486039136,20.877,False,,2.840999999999997
PKBB_10,244.0,M,1,fam-9-animacy-3,2,0.9242680815662274,44.998999999999995,False,,10.320999999999998
PKBB_10,244.0,M,1,test-9-animacy-3,3,0.9537879263049782,43.526,False,,4.513000000000004
PKBB_10,244.0,M,1,fam-8-identity-6,4,0.9241100577597632,39.999,False,,13.656000000000002
PKBB_10,244.0,M,1,test-8-identity-6,5,0.9249570766070272,58.816,True,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0.5350000000000037
PKBB_10,244.0,M,1,fam-9-background-4,6,0.9141337500385416,44.998999999999995,False,,5.643000000000009
PKBB_10,244.0,M,1,test-9-background-4,7,0.762823064163676,37.561,False,,3.183999999999997
PKBB_11,280.0,M,1,fam-9-number-4,0,,44.999,False,,44.999
PKBB_11,280.0,M,1,test-9-number-4,1,,59.731,False,,59.731
PKBB_11,280.0,M,1,fam-9-pose-5,2,,44.999,False,,44.999
PKBB_11,280.0,M,1,test-9-pose-5,3,,5.4,False,,5.4
PKBB_11,280.0,M,1,fam-8-background-6,4,,39.999,False,,39.999
PKBB_11,280.0,M,1,test-8-background-6,5,,11.084,False,,11.084
PKBB_11,280.0,M,1,fam-8-identity-1,6,,39.999,False,,39.999
PKBB_11,280.0,M,1,test-8-identity-1,7,,8.515,False,,8.515
