"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","subject_num","condition_num","block_number","block_type","fam_duration","stimulus_displayed","response","question_order"
"true","fullscreen","0","572462","0.0-0.0","SS1668965202884","","","","","","","","","","","","","",""
"","survey-text","1","585493","0.0-1.0","SS1668965202884","13021.099999999977","{""Age"":""333"",""Gender"":""F""}","","","","","","","","","","","",""
"","audio-keyboard-response","2","591240","0.0-2.0","SS1668965202884","5741.099999999977","","stimuli/audio/music_intro.wav","39","","","","","","","","","",""
"","html-keyboard-response","3","594991","0.0-3.0","SS1668965202884","3749.6999999999534","","<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","4","675058","0.0-4.0","SS1668965202884","80065.70000000007","","<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","5","693077","0.0-5.0","SS1668965202884","18017.5","","<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","6","699472","0.0-6.0","SS1668965202884","6394.5","","<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","7","706540","0.0-7.0","SS1668965202884","7066.599999999977","","<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","8","714109","0.0-8.0","SS1668965202884","7567.800000000047","","<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","9","729493","0.0-9.0","SS1668965202884","15382.900000000023","","<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","instructions","10","743882","0.0-10.0","SS1668965202884","14389.29999999993","","","","[{""page_index"":0,""viewing_time"":14388.79999999993}]","","","","","","","","",""
"","video-keyboard-response","11","762150","0.0-11.0","SS1668965202884","null","","[""stimuli/images/calibration.mp4""]","null","","calibration","","","","","","","",""
"","video-keyboard-response","12","766811","0.0-12.0","SS1668965202884","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","13","841951","0.0-13.0","SS1668965202884","null","","[""stimuli/images/unity_stims/unitystims_003_Right_3fam_deviant_2_new.mp4""]","null","","trial","4","3","1","deviant","3","stimuli/images/unity_stims/unitystims_003_Right_3fam_deviant_2_new.mp4","",""
"","html-keyboard-response","14","843553","0.0-14.0","SS1668965202884","1601.5","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","15","848181","0.0-15.0","SS1668965202884","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","16","906082","0.0-16.0","SS1668965202884","57897.59999999998","","[""stimuli/images/unity_stims/unitystims_004_Left_1fam_deviant_1_new.mp4""]","39","","trial","4","3","2","deviant","1","stimuli/images/unity_stims/unitystims_004_Left_1fam_deviant_1_new.mp4","",""
"","html-keyboard-response","17","907204","0.0-17.0","SS1668965202884","1121.7000000000698","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","18","911841","0.0-18.0","SS1668965202884","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","19","989205","0.0-19.0","SS1668965202884","77362.19999999995","","[""stimuli/images/unity_stims/unitystims_005_Left_9fam_background_2_new.mp4""]","39","","trial","4","3","3","background","9","stimuli/images/unity_stims/unitystims_005_Left_9fam_background_2_new.mp4","",""
"","html-keyboard-response","20","1001015","0.0-20.0","SS1668965202884","11808.899999999907","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","21","1005667","0.0-21.0","SS1668965202884","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","22","1054700","0.0-22.0","SS1668965202884","49031.69999999995","","[""stimuli/images/unity_stims/unitystims_006_Right_1fam_background_1_new.mp4""]","39","","trial","4","3","4","background","1","stimuli/images/unity_stims/unitystims_006_Right_1fam_background_1_new.mp4","",""
"","html-keyboard-response","23","1055643","0.0-23.0","SS1668965202884","942.3000000000466","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
