"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","subject_num","condition_num","block_number","block_type","fam_duration","stimulus_displayed","response","question_order"
"true","fullscreen","0","1840","0.0-0.0","SS1671145627212","","","","","","","","","","","","","",""
"","survey-text","1","4054","0.0-1.0","SS1671145627212","2211.300000011921","{""Age"":""280"",""Gender"":""F""}","","","","","","","","","","","",""
"","audio-keyboard-response","2","14261","0.0-2.0","SS1671145627212","10206.399999976158","","stimuli/audio/music_intro.wav","39","","","","","","","","","",""
"","html-keyboard-response","3","17548","0.0-3.0","SS1671145627212","3286.5","","<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","4","95725","0.0-4.0","SS1671145627212","78175.40000000596","","<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","5","137605","0.0-5.0","SS1671145627212","41879.40000000596","","<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","6","148454","0.0-6.0","SS1671145627212","10848.200000017881","","<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","7","153891","0.0-7.0","SS1671145627212","5437.300000011921","","<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","8","165820","0.0-8.0","SS1671145627212","11927.90000000596","","<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","9","200369","0.0-9.0","SS1671145627212","34549","","<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","instructions","10","200927","0.0-10.0","SS1671145627212","557.4000000059605","","","","[{""page_index"":0,""viewing_time"":557.2000000178814}]","","","","","","","","",""
"","video-keyboard-response","11","219219","0.0-11.0","SS1671145627212","null","","[""stimuli/images/calibration.mp4""]","null","","calibration","","","","","","","",""
"","video-keyboard-response","12","223917","0.0-12.0","SS1671145627212","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","13","285249","0.0-13.0","SS1671145627212","61328.90000000596","","[""stimuli/images/unity_stims/unitystims_001_Right_9fam_background_1_new.mp4""]","39","","trial","17","5","1","background","9","stimuli/images/unity_stims/unitystims_001_Right_9fam_background_1_new.mp4","",""
"","html-keyboard-response","14","286111","0.0-14.0","SS1671145627212","862.1999999880791","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","15","290776","0.0-15.0","SS1671145627212","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","16","343832","0.0-16.0","SS1671145627212","53053.30000001192","","[""stimuli/images/unity_stims/unitystims_004_Right_9fam_deviant_2_new.mp4""]","39","","trial","17","5","2","deviant","9","stimuli/images/unity_stims/unitystims_004_Right_9fam_deviant_2_new.mp4","",""
"","html-keyboard-response","17","344934","0.0-17.0","SS1671145627212","1102","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","18","349570","0.0-18.0","SS1671145627212","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","19","391205","0.0-19.0","SS1671145627212","41628.10000002384","","[""stimuli/images/unity_stims/unitystims_006_Left_3fam_deviant_1_new.mp4""]","39","","trial","17","5","3","deviant","3","stimuli/images/unity_stims/unitystims_006_Left_3fam_deviant_1_new.mp4","",""
"","html-keyboard-response","20","395406","0.0-20.0","SS1671145627212","4200.199999988079","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","21","400065","0.0-21.0","SS1671145627212","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","22","414359","0.0-22.0","SS1671145627212","14292.59999999404","","[""stimuli/images/unity_stims/unitystims_002_Right_1fam_background_1_new.mp4""]","39","","trial","17","5","4","background","1","stimuli/images/unity_stims/unitystims_002_Right_1fam_background_1_new.mp4","",""
"","html-keyboard-response","23","415064","0.0-23.0","SS1671145627212","703","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","24","419729","0.0-24.0","SS1671145627212","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","25","443316","0.0-25.0","SS1671145627212","23585.20000001788","","[""stimuli/images/unity_stims/unitystims_003_Left_3fam_background_2_new.mp4""]","39","","trial","17","5","5","background","3","stimuli/images/unity_stims/unitystims_003_Left_3fam_background_2_new.mp4","",""
"","html-keyboard-response","26","447118","0.0-26.0","SS1671145627212","3801.5999999940395","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","27","451758","0.0-27.0","SS1671145627212","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
