"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer","stimulus_left","stimulus_right"
"","5781.764999999781","sequential-stimulus-presentation","72","321214","0.0-18.0-1.2","SS1617819279925","trial","","40","1000","6781.764999999781","images/stimuli/spore_stims/complex_20_A_a.gif","images/stimuli/spore_stims/complex_05_A_b.gif","","5","complex_dissimilar","images/stimuli/spore_stims/complex_20_A_a.gif","","","","",""
"","null","html-keyboard-response","73","322026","0.0-18.0-0.3","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","5464.820000001055","sequential-stimulus-presentation","74","328496","0.0-18.0-1.3","SS1617819279925","trial","","40","1000","6464.820000001055","images/stimuli/spore_stims/complex_20_A_a.gif","images/stimuli/spore_stims/complex_05_A_b.gif","","5","complex_dissimilar","images/stimuli/spore_stims/complex_05_A_b.gif","","","","",""
"","null","html-keyboard-response","75","329711","0.0-18.0-0.4","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","3678.4200000002165","sequential-stimulus-presentation","76","334394","0.0-18.0-1.4","SS1617819279925","trial","","40","1000","4678.4200000002165","images/stimuli/spore_stims/complex_20_A_a.gif","images/stimuli/spore_stims/complex_05_A_b.gif","","5","complex_dissimilar","images/stimuli/spore_stims/complex_05_A_b.gif","","","","",""
"","5794.59499999939","survey-multi-choice","77","340191","0.0-19.0","SS1617819279925","math_question","","","","","","","","","","","{""Q0"":""11""}","[0]","11","",""
"","null","html-keyboard-response","78","341165","0.0-20.0-0.0","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","5197.280000000377","sequential-stimulus-presentation","79","347367","0.0-20.0-1.0","SS1617819279925","trial","","40","1000","6197.280000000377","images/stimuli/spore_stims/simple_07_A_b.gif","images/stimuli/spore_stims/simple_11_A_a.gif","","6","simple_dissimilar","images/stimuli/spore_stims/simple_11_A_a.gif","","","","",""
"","null","html-keyboard-response","80","348635","0.0-20.0-0.1","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","2649.395000000368","sequential-stimulus-presentation","81","352288","0.0-20.0-1.1","SS1617819279925","trial","","40","1000","3649.395000000368","images/stimuli/spore_stims/simple_07_A_b.gif","images/stimuli/spore_stims/simple_11_A_a.gif","","6","simple_dissimilar","images/stimuli/spore_stims/simple_07_A_b.gif","","","","",""
"","null","html-keyboard-response","82","353377","0.0-20.0-0.2","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","4340.649999998277","sequential-stimulus-presentation","83","358721","0.0-20.0-1.2","SS1617819279925","trial","","40","1000","5340.649999998277","images/stimuli/spore_stims/simple_07_A_b.gif","images/stimuli/spore_stims/simple_11_A_a.gif","","6","simple_dissimilar","images/stimuli/spore_stims/simple_11_A_a.gif","","","","",""
"","null","html-keyboard-response","84","359839","0.0-20.0-0.3","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","1931.980000001262","sequential-stimulus-presentation","85","363352","0.0-20.0-1.3","SS1617819279925","trial","","40","1000","2931.980000001262","images/stimuli/spore_stims/simple_07_A_b.gif","images/stimuli/spore_stims/simple_11_A_a.gif","","6","simple_dissimilar","images/stimuli/spore_stims/simple_11_A_a.gif","","","","",""
"","null","html-keyboard-response","86","364156","0.0-20.0-0.4","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","1255.2299999988172","sequential-stimulus-presentation","87","366417","0.0-20.0-1.4","SS1617819279925","trial","","40","1000","2255.229999998817","images/stimuli/spore_stims/simple_07_A_b.gif","images/stimuli/spore_stims/simple_11_A_a.gif","","6","simple_dissimilar","images/stimuli/spore_stims/simple_07_A_b.gif","","","","",""
"","3163.5150000001886","survey-multi-choice","88","369583","0.0-21.0","SS1617819279925","math_question","","","","","","","","","","","{""Q0"":""2""}","[0]","2","",""
"","null","html-keyboard-response","89","370466","0.0-22.0-0.0","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","5012.904999999562","sequential-stimulus-presentation","90","376485","0.0-22.0-1.0","SS1617819279925","trial","","40","1000","6012.904999999562","images/stimuli/spore_stims/complex_08_A_a.gif","images/stimuli/spore_stims/complex_14_A_b.gif","","7","complex_dissimilar","images/stimuli/spore_stims/complex_14_A_b.gif","","","","",""
"","null","html-keyboard-response","91","377734","0.0-22.0-0.1","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","6963.144999997923","sequential-stimulus-presentation","92","385703","0.0-22.0-1.1","SS1617819279925","trial","","40","1000","7963.144999997923","images/stimuli/spore_stims/complex_08_A_a.gif","images/stimuli/spore_stims/complex_14_A_b.gif","","7","complex_dissimilar","images/stimuli/spore_stims/complex_08_A_a.gif","","","","",""
"","null","html-keyboard-response","93","386533","0.0-22.0-0.2","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","2346.3450000017765","sequential-stimulus-presentation","94","389886","0.0-22.0-1.2","SS1617819279925","trial","","40","1000","3346.3450000017765","images/stimuli/spore_stims/complex_08_A_a.gif","images/stimuli/spore_stims/complex_14_A_b.gif","","7","complex_dissimilar","images/stimuli/spore_stims/complex_14_A_b.gif","","","","",""
"","null","html-keyboard-response","95","391090","0.0-22.0-0.3","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","1987.345000001369","sequential-stimulus-presentation","96","394083","0.0-22.0-1.3","SS1617819279925","trial","","40","1000","2987.345000001369","images/stimuli/spore_stims/complex_08_A_a.gif","images/stimuli/spore_stims/complex_14_A_b.gif","","7","complex_dissimilar","images/stimuli/spore_stims/complex_14_A_b.gif","","","","",""
"","null","html-keyboard-response","97","395162","0.0-22.0-0.4","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","1888.07000000088","sequential-stimulus-presentation","98","398056","0.0-22.0-1.4","SS1617819279925","trial","","40","1000","2888.07000000088","images/stimuli/spore_stims/complex_08_A_a.gif","images/stimuli/spore_stims/complex_14_A_b.gif","","7","complex_dissimilar","images/stimuli/spore_stims/complex_14_A_b.gif","","","","",""
"","null","html-keyboard-response","99","398969","0.0-22.0-0.5","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","4405.3600000006845","sequential-stimulus-presentation","100","404380","0.0-22.0-1.5","SS1617819279925","trial","","40","1000","5405.3600000006845","images/stimuli/spore_stims/complex_08_A_a.gif","images/stimuli/spore_stims/complex_14_A_b.gif","","7","complex_dissimilar","images/stimuli/spore_stims/complex_08_A_a.gif","","","","",""
"","8664.520000002114","survey-multi-choice","101","413047","0.0-23.0","SS1617819279925","math_question","","","","","","","","","","","{""Q0"":""17""}","[0]","17","",""
"","null","html-keyboard-response","102","414310","0.0-24.0-0.0","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","3220.5099999991944","sequential-stimulus-presentation","103","418536","0.0-24.0-1.0","SS1617819279925","trial","","40","1000","4220.509999999194","images/stimuli/spore_stims/simple_13_A_a.gif","images/stimuli/spore_stims/simple_17_A_b.gif","","8","simple_dissimilar","images/stimuli/spore_stims/simple_17_A_b.gif","","","","",""
"","null","html-keyboard-response","104","419358","0.0-24.0-0.1","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
