"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":3841.565000009723}]","3842.995000013616","instructions","0","3848","0.0-0.0","SS1617819495716","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":17462.35000001616},{""page_index"":1,""viewing_time"":36803.8499999966}]","54266.63500000723","instructions","1","60121","0.0-1.0","SS1617819495716","instructions","","","","","","","","","","","","","","",""
"","3442.7050000231247","sequential-stimulus-presentation-old","2","64171","0.0-2.0","SS1617819495716","","","40","600","4042.7050000231247","null","null","","","","","","","","",""
"","1835.9749999945052","sequential-stimulus-presentation-old","3","66513","0.0-3.0","SS1617819495716","","","40","500","2335.974999994505","null","null","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":8074.434999987716}]","8074.854999984382","instructions","4","74589","0.0-4.0","SS1617819495716","instructions","","","","","","","","","","","","","","",""
"","2484.215000004042","sequential-stimulus-presentation","5","78078","0.0-5.0","SS1617819495716","","","40","1000","3484.215000004042","null","null","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3412.834999995539}]","3413.1950000009965","instructions","6","81492","0.0-6.0","SS1617819495716","instructions","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":7372.910000005504},{""page_index"":1,""viewing_time"":12147.90000001085},{""page_index"":2,""viewing_time"":4004.9850000068545},{""page_index"":3,""viewing_time"":1175.859999988461},{""page_index"":4,""viewing_time"":829.265000007581}]","25531.315000000177","instructions","7","107024","0.0-7.0","SS1617819495716","instructions","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","108135","0.0-8.0-0.0","SS1617819495716","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","3034.170000028098","sequential-stimulus-presentation","9","112177","0.0-8.0-1.0","SS1617819495716","trial","","40","1000","4034.170000028098","images/stimuli/spore_stims/simple_13_A_a.gif","images/stimuli/spore_stims/simple_16_A_b.gif","","0","simple_dissimilar","images/stimuli/spore_stims/simple_16_A_b.gif","","","","",""
"","null","html-keyboard-response","10","113196","0.0-8.0-0.1","SS1617819495716","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
