"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":42024.24500000052}]","42025.064999997994","instructions","0","42027","0.0-0.0","SS1617819306516","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":143437.91500000225},{""page_index"":1,""viewing_time"":16454.99999999811}]","159893.16500000132","instructions","1","203924","0.0-1.0","SS1617819306516","instructions","","","","","","","","","","","","","","",""
"","8087.429999999586","sequential-stimulus-presentation-old","2","212615","0.0-2.0","SS1617819306516","","","40","600","8687.429999999586","null","null","","","","","","","","",""
"","4936.954999997397","sequential-stimulus-presentation-old","3","218054","0.0-3.0","SS1617819306516","","","40","500","5436.954999997397","null","null","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":15480.390000000625}]","15480.64499999964","instructions","4","233536","0.0-4.0","SS1617819306516","instructions","","","","","","","","","","","","","","",""
"","3377.9600000016217","sequential-stimulus-presentation","5","237918","0.0-5.0","SS1617819306516","","","40","1000","4377.960000001622","null","null","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":7611.8400000013935}]","7612.075000000914","instructions","6","245530","0.0-6.0","SS1617819306516","instructions","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":8533.755000000383},{""page_index"":1,""viewing_time"":13501.04999999897},{""page_index"":2,""viewing_time"":15960.129999999423},{""page_index"":3,""viewing_time"":2666.755000002042},{""page_index"":4,""viewing_time"":1164.0000000006403}]","41825.93999999878","instructions","7","287357","0.0-7.0","SS1617819306516","instructions","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","288659","0.0-8.0-0.0","SS1617819306516","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","2951.100000002014","sequential-stimulus-presentation","9","292613","0.0-8.0-1.0","SS1617819306516","trial","","40","1000","3951.100000002014","images/stimuli/spore_stims/complex_15_A_b.gif","images/stimuli/spore_stims/complex_17_A_a.gif","","0","complex_dissimilar","images/stimuli/spore_stims/complex_17_A_a.gif","","","","",""
"","null","html-keyboard-response","10","293788","0.0-8.0-0.1","SS1617819306516","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
