"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":2659.545000002254}]","2659.92499999993","instructions","0","2662","0.0-0.0","SS1617819543549","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1207.0400000084192},{""page_index"":1,""viewing_time"":1613.180000000284}]","2820.4700000060257","instructions","1","7485","0.0-1.0","SS1617819543549","instructions","","","","","","","","","","","","","","",""
"","1147.7149999991525","sequential-stimulus-presentation-old","2","9235","0.0-2.0","SS1617819543549","","","40","600","1747.7149999991525","null","null","","","","","","","","",""
"","14659.099999989849","sequential-stimulus-presentation-old","3","24397","0.0-3.0","SS1617819543549","","","40","500","15159.099999989849","null","null","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":12788.66000000562}]","12788.904999993974","instructions","4","37187","0.0-4.0","SS1617819543549","instructions","","","","","","","","","","","","","","",""
"","3360.610000003362","sequential-stimulus-presentation","5","41552","0.0-5.0","SS1617819543549","","","40","1000","4360.610000003362","null","null","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4327.030000000377}]","4327.294999995502","instructions","6","45880","0.0-6.0","SS1617819543549","instructions","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5693.415000001551},{""page_index"":1,""viewing_time"":9422.440000009374},{""page_index"":2,""viewing_time"":5135.96499999403},{""page_index"":3,""viewing_time"":2378.4900000027847},{""page_index"":4,""viewing_time"":1200.2099999954225}]","23830.770000000484","instructions","7","69713","0.0-7.0","SS1617819543549","instructions","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","70959","0.0-8.0-0.0","SS1617819543549","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","2295.094999994035","sequential-stimulus-presentation","9","74259","0.0-8.0-1.0","SS1617819543549","trial","","40","1000","3295.094999994035","images/stimuli/spore_stims/simple_19_A_a.gif","images/stimuli/spore_stims/simple_07_A_b.gif","","0","simple_dissimilar","images/stimuli/spore_stims/simple_07_A_b.gif","","","","",""
"","null","html-keyboard-response","10","75418","0.0-8.0-0.1","SS1617819543549","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","3709.2150000098627","sequential-stimulus-presentation","11","80131","0.0-8.0-1.1","SS1617819543549","trial","","40","1000","4709.215000009863","images/stimuli/spore_stims/simple_19_A_a.gif","images/stimuli/spore_stims/simple_07_A_b.gif","","0","simple_dissimilar","images/stimuli/spore_stims/simple_19_A_a.gif","","","","",""
"","null","html-keyboard-response","12","81421","0.0-8.0-0.2","SS1617819543549","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","2264.2999999952735","sequential-stimulus-presentation","13","84689","0.0-8.0-1.2","SS1617819543549","trial","","40","1000","3264.2999999952735","images/stimuli/spore_stims/simple_19_A_a.gif","images/stimuli/spore_stims/simple_07_A_b.gif","","0","simple_dissimilar","images/stimuli/spore_stims/simple_07_A_b.gif","","","","",""
"","null","html-keyboard-response","14","85728","0.0-8.0-0.3","SS1617819543549","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","1174.444999996922","sequential-stimulus-presentation","15","87906","0.0-8.0-1.3","SS1617819543549","trial","","40","1000","2174.444999996922","images/stimuli/spore_stims/simple_19_A_a.gif","images/stimuli/spore_stims/simple_07_A_b.gif","","0","simple_dissimilar","images/stimuli/spore_stims/simple_07_A_b.gif","","","","",""
"","null","html-keyboard-response","16","89114","0.0-8.0-0.4","SS1617819543549","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","1462.6550000102725","sequential-stimulus-presentation","17","91579","0.0-8.0-1.4","SS1617819543549","trial","","40","1000","2462.6550000102725","images/stimuli/spore_stims/simple_19_A_a.gif","images/stimuli/spore_stims/simple_07_A_b.gif","","0","simple_dissimilar","images/stimuli/spore_stims/simple_07_A_b.gif","","","","",""
"","null","html-keyboard-response","18","92694","0.0-8.0-0.5","SS1617819543549","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","4507.284999999683","sequential-stimulus-presentation","19","98206","0.0-8.0-1.5","SS1617819543549","trial","","40","1000","5507.284999999683","images/stimuli/spore_stims/simple_19_A_a.gif","images/stimuli/spore_stims/simple_07_A_b.gif","","0","simple_dissimilar","images/stimuli/spore_stims/simple_19_A_a.gif","","","","",""
"","3493.879999994533","survey-multi-choice","20","101703","0.0-9.0","SS1617819543549","math_question","","","","","","","","","","","{""Q0"":""9""}","[0]","9","",""
