"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":40578.95000000008}]","40581.455","instructions","0","40586","0.0-0.0","SS1617819327581","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":16853.164999999986},{""page_index"":1,""viewing_time"":8441.94999999991}]","25296.119999999974","instructions","1","67898","0.0-1.0","SS1617819327581","instructions","","","","","","","","","","","","","","",""
"","11757.680000000168","sequential-stimulus-presentation-old","2","80275","0.0-2.0","SS1617819327581","","","40","600","12357.680000000168","null","null","","","","","","","","",""
"","8031.27499999982","sequential-stimulus-presentation-old","3","88835","0.0-3.0","SS1617819327581","","","40","500","8531.27499999982","null","null","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":16058.495000000228}]","16059.385000000024","instructions","4","104906","0.0-4.0","SS1617819327581","instructions","","","","","","","","","","","","","","",""
"","4557.339999999836","sequential-stimulus-presentation","5","110497","0.0-5.0","SS1617819327581","","","40","1000","5557.339999999836","null","null","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":8183.884999999922}]","8184.8599999998405","instructions","6","118688","0.0-6.0","SS1617819327581","instructions","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":7402.780000000348},{""page_index"":1,""viewing_time"":11742.67499999996},{""page_index"":2,""viewing_time"":6378.185000000027},{""page_index"":3,""viewing_time"":1947.2099999998172},{""page_index"":4,""viewing_time"":1389.4549999999872}]","28861.350000000122","instructions","7","147556","0.0-7.0","SS1617819327581","instructions","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","148403","0.0-8.0-0.0","SS1617819327581","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","4309.42499999993","sequential-stimulus-presentation","9","153738","0.0-8.0-1.0","SS1617819327581","trial","","40","1000","5309.42499999993","images/stimuli/spore_stims/complex_07_A_b.gif","images/stimuli/spore_stims/complex_19_A_a.gif","","0","complex_dissimilar","images/stimuli/spore_stims/complex_19_A_a.gif","","","","",""
"","null","html-keyboard-response","10","154786","0.0-8.0-0.1","SS1617819327581","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","4404.78000000029","sequential-stimulus-presentation","11","160226","0.0-8.0-1.1","SS1617819327581","trial","","40","1000","5404.78000000029","images/stimuli/spore_stims/complex_07_A_b.gif","images/stimuli/spore_stims/complex_19_A_a.gif","","0","complex_dissimilar","images/stimuli/spore_stims/complex_19_A_a.gif","","","","",""
"","null","html-keyboard-response","12","161272","0.0-8.0-0.2","SS1617819327581","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","3741.704999999929","sequential-stimulus-presentation","13","166072","0.0-8.0-1.2","SS1617819327581","trial","","40","1000","4741.704999999929","images/stimuli/spore_stims/complex_07_A_b.gif","images/stimuli/spore_stims/complex_19_A_a.gif","","0","complex_dissimilar","images/stimuli/spore_stims/complex_19_A_a.gif","","","","",""
"","null","html-keyboard-response","14","167033","0.0-8.0-0.3","SS1617819327581","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","3010.0049999996554","sequential-stimulus-presentation","15","171055","0.0-8.0-1.3","SS1617819327581","trial","","40","1000","4010.0049999996554","images/stimuli/spore_stims/complex_07_A_b.gif","images/stimuli/spore_stims/complex_19_A_a.gif","","0","complex_dissimilar","images/stimuli/spore_stims/complex_19_A_a.gif","","","","",""
"","null","html-keyboard-response","16","172114","0.0-8.0-0.4","SS1617819327581","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","3672.6849999999977","sequential-stimulus-presentation","17","176828","0.0-8.0-1.4","SS1617819327581","trial","","40","1000","4672.684999999998","images/stimuli/spore_stims/complex_07_A_b.gif","images/stimuli/spore_stims/complex_19_A_a.gif","","0","complex_dissimilar","images/stimuli/spore_stims/complex_19_A_a.gif","","","","",""
"","5544.620000000112","survey-multi-choice","18","182387","0.0-9.0","SS1617819327581","math_question","","","","","","","","","","","{""Q0"":""8""}","[0]","8","",""
"","null","html-keyboard-response","19","183480","0.0-10.0-0.0","SS1617819327581","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","2532.249999999738","sequential-stimulus-presentation","20","187051","0.0-10.0-1.0","SS1617819327581","trial","","40","1000","3532.249999999738","images/stimuli/spore_stims/simple_11_A_a.gif","images/stimuli/spore_stims/simple_20_A_b.gif","","1","simple_dissimilar","images/stimuli/spore_stims/simple_20_A_b.gif","","","","",""
"","null","html-keyboard-response","21","188035","0.0-10.0-0.1","SS1617819327581","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","1396.445000000298","sequential-stimulus-presentation","22","190469","0.0-10.0-1.1","SS1617819327581","trial","","40","1000","2396.445000000298","images/stimuli/spore_stims/simple_11_A_a.gif","images/stimuli/spore_stims/simple_20_A_b.gif","","1","simple_dissimilar","images/stimuli/spore_stims/simple_20_A_b.gif","","","","",""
"","null","html-keyboard-response","23","191403","0.0-10.0-0.2","SS1617819327581","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","1139.124999999709","sequential-stimulus-presentation","24","193575","0.0-10.0-1.2","SS1617819327581","trial","","40","1000","2139.124999999709","images/stimuli/spore_stims/simple_11_A_a.gif","images/stimuli/spore_stims/simple_20_A_b.gif","","1","simple_dissimilar","images/stimuli/spore_stims/simple_20_A_b.gif","","","","",""
