"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","trial_stimulus","minimum_viewing_duration","trial_looking_time","subject_num","block_number","block_type","stimulus_displayed","fam_duration","response","question_order"
"","video-keyboard-response","64","384355","0.0-23.0","SS1631028080905","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","","","",""
"","html-keyboard-response","65","386386","0.0-24.0-0.0","SS1631028080905","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","66","392392","0.0-24.0-1.0","SS1631028080905","null","","","null","","trial","","1000","1000","2","4","Std","stimuli/images/spore_stims/complex_02_A.gif","3","",""
"","html-keyboard-response","67","393377","0.0-24.0-0.1","SS1631028080905","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","68","399383","0.0-24.0-1.1","SS1631028080905","null","","","null","","trial","","1000","1000","2","4","Std","stimuli/images/spore_stims/complex_02_A.gif","3","",""
"","html-keyboard-response","69","401445","0.0-24.0-0.2","SS1631028080905","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","70","407453","0.0-24.0-1.2","SS1631028080905","null","","","null","","trial","","1000","1000","2","4","Std","stimuli/images/spore_stims/complex_02_A.gif","3","",""
"","html-keyboard-response","71","408590","0.0-24.0-0.3","SS1631028080905","null","","<p><img src=stimuli/images/blank_test.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","72","417218","0.0-24.0-1.3","SS1631028080905","29829.299999952316","","","40","","trial","","1000","30829.299999952316","2","4","Std","stimuli/images/spore_stims/complex_02_A.gif","3","",""
"","html-keyboard-response","73","424644","0.0-25.0","SS1631028080905","7425.600000023842","","<p><img src=""stimuli/images/attngetter_blank.png"" width =""1200"" height = ""918"" ></p>","40","","between_block","","","","","","","","","",""
"","video-keyboard-response","74","429287","0.0-26.0","SS1631028080905","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","","","",""
"","html-keyboard-response","75","430086","0.0-27.0-0.0","SS1631028080905","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","76","436090","0.0-27.0-1.0","SS1631028080905","null","","","null","","trial","","1000","1000","2","5","Dev","stimuli/images/spore_stims/complex_03_A.gif","7","",""
"","html-keyboard-response","77","438145","0.0-27.0-0.1","SS1631028080905","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","78","444150","0.0-27.0-1.1","SS1631028080905","null","","","null","","trial","","1000","1000","2","5","Dev","stimuli/images/spore_stims/complex_03_A.gif","7","",""
"","html-keyboard-response","79","445874","0.0-27.0-0.2","SS1631028080905","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","80","451879","0.0-27.0-1.2","SS1631028080905","null","","","null","","trial","","1000","1000","2","5","Dev","stimuli/images/spore_stims/complex_03_A.gif","7","",""
"","html-keyboard-response","81","453569","0.0-27.0-0.3","SS1631028080905","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","82","459574","0.0-27.0-1.3","SS1631028080905","null","","","null","","trial","","1000","1000","2","5","Dev","stimuli/images/spore_stims/complex_03_A.gif","7","",""
"","html-keyboard-response","83","461243","0.0-27.0-0.4","SS1631028080905","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","84","467252","0.0-27.0-1.4","SS1631028080905","null","","","null","","trial","","1000","1000","2","5","Dev","stimuli/images/spore_stims/complex_03_A.gif","7","",""
"","html-keyboard-response","85","469022","0.0-27.0-0.5","SS1631028080905","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","86","475027","0.0-27.0-1.5","SS1631028080905","null","","","null","","trial","","1000","1000","2","5","Dev","stimuli/images/spore_stims/complex_03_A.gif","7","",""
"","html-keyboard-response","87","476837","0.0-27.0-0.6","SS1631028080905","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","88","482845","0.0-27.0-1.6","SS1631028080905","null","","","null","","trial","","1000","1000","2","5","Dev","stimuli/images/spore_stims/complex_03_A.gif","7","",""
"","html-keyboard-response","89","483701","0.0-27.0-0.7","SS1631028080905","null","","<p><img src=stimuli/images/blank_test.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""1100"" height = ""1100"" style=""border:5px solid black""></p>","null","","","","","","","","","","","",""
"","sequential-stimulus-presentation","90","496754","0.0-27.0-1.7","SS1631028080905","65665","","","40","","trial","","1000","66665","2","5","Dev","stimuli/images/spore_stims/complex_04_A.gif","7","",""
"","html-keyboard-response","91","655463","0.0-28.0","SS1631028080905","158711.5","","<p><span style=""font-family: arial, helvetica, sans-serif; font-size: 48px; color: #993300;""> That's it! Thank you so much for your participation! </span></p>","40","","","","","","","","","","","",""
"","survey-multi-choice","92","657571","0.0-29.0","SS1631028080905","2107.099999964237","","","","","","","","","","","","","","[object Object]","0"
