"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subject","success","view_history","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","forced_exposure_time","stimulus","block_number","block_type","stimulus_displayed","question_order","math_correct_answer","stimulus_left","stimulus_right"
"3959.3000000715256","{""p_id"":""5""}","survey-text","0","3964","0.0-0.0","SS1630643244267","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","1","5643","0.0-1.0","SS1630643244267","true","","","","","","","","","","","","","","","","","",""
"1924.2999999523163","","instructions","2","7570","0.0-2.0","SS1630643244267","","[{""page_index"":0,""viewing_time"":1923.7999999523163}]","","","","","","","","","","","","","","","","",""
"1490.1000000238419","","instructions","3","11066","0.0-3.0","SS1630643244267","","[{""page_index"":0,""viewing_time"":833.5},{""page_index"":1,""viewing_time"":656.1999999284744}]","instructions","","","","","","","","","","","","","","","",""
"1018.1000000238419","","stimuli-presentation","4","12588","0.0-4.0","SS1630643244267","","","","","40","500","1518.1000000238419","null","null","self_paced","0","","","","","","","",""
"300.60000002384186","","stimuli-presentation","5","13390","0.0-5.0","SS1630643244267","","","","","40","500","800.6000000238419","null","null","self_paced","0","","","","","","","",""
"1481.0999999046326","","instructions","6","14873","0.0-6.0","SS1630643244267","","[{""page_index"":0,""viewing_time"":1480.7999999523163}]","instructions","","","","","","","","","","","","","","","",""
"2719.9000000953674","","instructions","7","17595","0.0-7.0","SS1630643244267","","[{""page_index"":0,""viewing_time"":439.40000009536743},{""page_index"":1,""viewing_time"":592.5999999046326},{""page_index"":2,""viewing_time"":559.6000000238419},{""page_index"":3,""viewing_time"":656.2000000476837},{""page_index"":4,""viewing_time"":471.60000002384186}]","instructions","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","8","18757","0.0-8.0-0.0","SS1630643244267","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","",""
"247.39999997615814","","stimuli-presentation","9","19511","0.0-8.0-1.0","SS1630643244267","","","trial","","40","500","747.3999999761581","images/stimuli/complex_19_A_a.gif","images/stimuli/complex_02_A_a.gif","self_paced","250","","0","complex_dissimilar","images/stimuli/complex_02_A_a.gif","","","",""
"null","","html-keyboard-response","10","20763","0.0-8.0-0.1","SS1630643244267","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","",""
"410.10000002384186","","stimuli-presentation","11","21677","0.0-8.0-1.1","SS1630643244267","","","trial","","40","500","910.1000000238419","images/stimuli/complex_19_A_a.gif","images/stimuli/complex_02_A_a.gif","self_paced","250","","0","complex_dissimilar","images/stimuli/complex_02_A_a.gif","","","",""
"null","","html-keyboard-response","12","22616","0.0-8.0-0.2","SS1630643244267","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","",""
"205.29999995231628","","stimuli-presentation","13","23325","0.0-8.0-1.2","SS1630643244267","","","trial","","40","500","705.2999999523163","images/stimuli/complex_19_A_a.gif","images/stimuli/complex_02_A_a.gif","self_paced","250","","0","complex_dissimilar","images/stimuli/complex_02_A_a.gif","","","",""
"null","","html-keyboard-response","14","24400","0.0-8.0-0.3","SS1630643244267","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","",""
"53.40000009536743","","stimuli-presentation","15","24957","0.0-8.0-1.3","SS1630643244267","","","trial","","40","500","553.4000000953674","images/stimuli/complex_19_A_a.gif","images/stimuli/complex_02_A_a.gif","self_paced","250","","0","complex_dissimilar","images/stimuli/complex_02_A_a.gif","","","",""
"null","","html-keyboard-response","16","26233","0.0-8.0-0.4","SS1630643244267","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","",""
"80.89999997615814","","stimuli-presentation","17","26820","0.0-8.0-1.4","SS1630643244267","","","trial","","40","500","580.8999999761581","images/stimuli/complex_19_A_a.gif","images/stimuli/complex_02_A_a.gif","self_paced","250","","0","complex_dissimilar","images/stimuli/complex_02_A_a.gif","","","",""
