"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subject","success","view_history","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","forced_exposure_time","stimulus","block_number","block_type","stimulus_displayed","question_order","question_stimuli","block_index","stimulus_left","stimulus_right"
"2087.7000000476837","{""p_id"":"" ""}","survey-text","0","2092","0.0-0.0","SS1630643047343","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","1","3821","0.0-1.0","SS1630643047343","true","","","","","","","","","","","","","","","","","","",""
"1620.8999999761581","","instructions","2","5444","0.0-2.0","SS1630643047343","","[{""page_index"":0,""viewing_time"":1620.2999999523163}]","","","","","","","","","","","","","","","","","",""
"1478.6000000238419","","instructions","3","8840","0.0-3.0","SS1630643047343","","[{""page_index"":0,""viewing_time"":832.6000000238419},{""page_index"":1,""viewing_time"":645.6000000238419}]","instructions","","","","","","","","","","","","","","","","",""
"1200.5999999046326","","stimuli-presentation","4","10546","0.0-4.0","SS1630643047343","","","","","40","500","1700.5999999046326","null","null","self_paced","0","","","","","","","","",""
"30.90000009536743","","stimuli-presentation","5","11079","0.0-5.0","SS1630643047343","","","","","40","500","530.9000000953674","null","null","self_paced","0","","","","","","","","",""
"1632.6999999284744","","instructions","6","12713","0.0-6.0","SS1630643047343","","[{""page_index"":0,""viewing_time"":1632.1999999284744}]","instructions","","","","","","","","","","","","","","","","",""
"2669.1999999284744","","instructions","7","15384","0.0-7.0","SS1630643047343","","[{""page_index"":0,""viewing_time"":444.7999999523163},{""page_index"":1,""viewing_time"":502.7999999523163},{""page_index"":2,""viewing_time"":465.5},{""page_index"":3,""viewing_time"":736},{""page_index"":4,""viewing_time"":519.6000000238419}]","instructions","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","8","16225","0.0-8.0-0.0","SS1630643047343","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"377.3000000715256","","stimuli-presentation","9","17109","0.0-8.0-1.0","SS1630643047343","","","trial","","40","500","877.3000000715256","images/stimuli/simple_08_A_a.gif","images/stimuli/simple_20_A_a.gif","self_paced","510","","0","simple_dissimilar","images/stimuli/simple_20_A_a.gif","","","","",""
"null","","html-keyboard-response","10","18042","0.0-8.0-0.1","SS1630643047343","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"626.1000000238419","","stimuli-presentation","11","19173","0.0-8.0-1.1","SS1630643047343","","","trial","","40","500","1126.1000000238419","images/stimuli/simple_08_A_a.gif","images/stimuli/simple_20_A_a.gif","self_paced","510","","0","simple_dissimilar","images/stimuli/simple_20_A_a.gif","","","","",""
"null","","html-keyboard-response","12","20436","0.0-8.0-0.2","SS1630643047343","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"146.80000007152557","","stimuli-presentation","13","21088","0.0-8.0-1.2","SS1630643047343","","","trial","","40","500","646.8000000715256","images/stimuli/simple_08_A_a.gif","images/stimuli/simple_20_A_a.gif","self_paced","510","","0","simple_dissimilar","images/stimuli/simple_20_A_a.gif","","","","",""
"null","","html-keyboard-response","14","22023","0.0-8.0-0.3","SS1630643047343","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"68.89999997615814","","stimuli-presentation","15","22599","0.0-8.0-1.3","SS1630643047343","","","trial","","40","500","568.8999999761581","images/stimuli/simple_08_A_a.gif","images/stimuli/simple_20_A_a.gif","self_paced","510","","0","simple_dissimilar","images/stimuli/simple_20_A_a.gif","","","","",""
"null","","html-keyboard-response","16","23901","0.0-8.0-0.4","SS1630643047343","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"171.89999997615814","","stimuli-presentation","17","24578","0.0-8.0-1.4","SS1630643047343","","","trial","","40","500","671.8999999761581","images/stimuli/simple_08_A_a.gif","images/stimuli/simple_20_A_a.gif","self_paced","510","","0","simple_dissimilar","images/stimuli/simple_20_A_a.gif","","","","",""
