"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subject","success","view_history","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","forced_exposure_time","stimulus","block_number","block_type","stimulus_displayed","question_order","question_stimuli","block_index","stimulus_left","stimulus_right"
"879.2000000476837","","stimuli-presentation","74","144504","0.0-18.0-1.0","SS1630642817043","","","trial","","40","500","1379.2000000476837","images/stimuli/complex_05_A_a.gif","images/stimuli/complex_03_A_a.gif","self_paced","870","","5","complex_dissimilar","images/stimuli/complex_03_A_a.gif","","","","",""
"null","","html-keyboard-response","75","145776","0.0-18.0-0.1","SS1630642817043","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"434.10000002384186","","stimuli-presentation","76","146715","0.0-18.0-1.1","SS1630642817043","","","trial","","40","500","934.1000000238419","images/stimuli/complex_05_A_a.gif","images/stimuli/complex_03_A_a.gif","self_paced","870","","5","complex_dissimilar","images/stimuli/complex_05_A_a.gif","","","","",""
"null","","html-keyboard-response","77","147776","0.0-18.0-0.2","SS1630642817043","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"211","","stimuli-presentation","78","148492","0.0-18.0-1.2","SS1630642817043","","","trial","","40","500","711","images/stimuli/complex_05_A_a.gif","images/stimuli/complex_03_A_a.gif","self_paced","870","","5","complex_dissimilar","images/stimuli/complex_03_A_a.gif","","","","",""
"null","","html-keyboard-response","79","149708","0.0-18.0-0.3","SS1630642817043","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"335.10000002384186","","stimuli-presentation","80","150553","0.0-18.0-1.3","SS1630642817043","","","trial","","40","500","835.1000000238419","images/stimuli/complex_05_A_a.gif","images/stimuli/complex_03_A_a.gif","self_paced","870","","5","complex_dissimilar","images/stimuli/complex_03_A_a.gif","","","","",""
"null","","html-keyboard-response","81","151754","0.0-18.0-0.4","SS1630642817043","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"54.39999997615814","","stimuli-presentation","82","152316","0.0-18.0-1.4","SS1630642817043","","","trial","","40","500","554.3999999761581","images/stimuli/complex_05_A_a.gif","images/stimuli/complex_03_A_a.gif","self_paced","870","","5","complex_dissimilar","images/stimuli/complex_03_A_a.gif","","","","",""
"null","","html-keyboard-response","83","153493","0.0-18.0-0.5","SS1630642817043","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"311","","stimuli-presentation","84","154309","0.0-18.0-1.5","SS1630642817043","","","trial","","40","500","811","images/stimuli/complex_05_A_a.gif","images/stimuli/complex_03_A_a.gif","self_paced","870","","5","complex_dissimilar","images/stimuli/complex_03_A_a.gif","","","","",""
"3250.7999999523163","{""Q0"":4}","survey-likert","85","157563","0.0-19.0","SS1630642817043","","","curiousity","","","","","","","","","","","","","[0]","images/stimuli/complex_03_A_a.gif","5","",""
"null","","html-keyboard-response","86","158826","0.0-20.0-0.0","SS1630642817043","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"459","","stimuli-presentation","87","159788","0.0-20.0-1.0","SS1630642817043","","","trial","","40","500","959","images/stimuli/complex_04_A_a.gif","images/stimuli/complex_17_A_a.gif","self_paced","210","","6","complex_dissimilar","images/stimuli/complex_17_A_a.gif","","","","",""
"null","","html-keyboard-response","88","160834","0.0-20.0-0.1","SS1630642817043","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"177.59999990463257","","stimuli-presentation","89","161521","0.0-20.0-1.1","SS1630642817043","","","trial","","40","500","677.5999999046326","images/stimuli/complex_04_A_a.gif","images/stimuli/complex_17_A_a.gif","self_paced","210","","6","complex_dissimilar","images/stimuli/complex_17_A_a.gif","","","","",""
"null","","html-keyboard-response","90","162750","0.0-20.0-0.2","SS1630642817043","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"455.1999999284744","","stimuli-presentation","91","163710","0.0-20.0-1.2","SS1630642817043","","","trial","","40","500","955.1999999284744","images/stimuli/complex_04_A_a.gif","images/stimuli/complex_17_A_a.gif","self_paced","210","","6","complex_dissimilar","images/stimuli/complex_17_A_a.gif","","","","",""
"null","","html-keyboard-response","92","164699","0.0-20.0-0.3","SS1630642817043","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"418.7000000476837","","stimuli-presentation","93","165624","0.0-20.0-1.3","SS1630642817043","","","trial","","40","500","918.7000000476837","images/stimuli/complex_04_A_a.gif","images/stimuli/complex_17_A_a.gif","self_paced","210","","6","complex_dissimilar","images/stimuli/complex_04_A_a.gif","","","","",""
"null","","html-keyboard-response","94","166771","0.0-20.0-0.4","SS1630642817043","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"1148.3999999761581","","stimuli-presentation","95","168427","0.0-20.0-1.4","SS1630642817043","","","trial","","40","500","1648.3999999761581","images/stimuli/complex_04_A_a.gif","images/stimuli/complex_17_A_a.gif","self_paced","210","","6","complex_dissimilar","images/stimuli/complex_17_A_a.gif","","","","",""
"null","","html-keyboard-response","96","169237","0.0-20.0-0.5","SS1630642817043","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"165.89999997615814","","stimuli-presentation","97","169910","0.0-20.0-1.5","SS1630642817043","","","trial","","40","500","665.8999999761581","images/stimuli/complex_04_A_a.gif","images/stimuli/complex_17_A_a.gif","self_paced","210","","6","complex_dissimilar","images/stimuli/complex_17_A_a.gif","","","","",""
"2331.100000023842","{""Q0"":1}","survey-likert","98","172243","0.0-21.0","SS1630642817043","","","curiousity","","","","","","","","","","","","","[0]","images/stimuli/complex_17_A_a.gif","6","",""
"null","","html-keyboard-response","99","173494","0.0-22.0-0.0","SS1630642817043","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"148.20000004768372","","stimuli-presentation","100","174148","0.0-22.0-1.0","SS1630642817043","","","trial","","40","500","648.2000000476837","images/stimuli/simple_11_A_a.gif","images/stimuli/simple_12_A_a.gif","self_paced","490","","7","simple_dissimilar","images/stimuli/simple_12_A_a.gif","","","","",""
"null","","html-keyboard-response","101","175365","0.0-22.0-0.1","SS1630642817043","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"156.10000002384186","","stimuli-presentation","102","176027","0.0-22.0-1.1","SS1630642817043","","","trial","","40","500","656.1000000238419","images/stimuli/simple_11_A_a.gif","images/stimuli/simple_12_A_a.gif","self_paced","490","","7","simple_dissimilar","images/stimuli/simple_12_A_a.gif","","","","",""
"null","","html-keyboard-response","103","177285","0.0-22.0-0.2","SS1630642817043","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"307.40000009536743","","stimuli-presentation","104","178097","0.0-22.0-1.2","SS1630642817043","","","trial","","40","500","807.4000000953674","images/stimuli/simple_11_A_a.gif","images/stimuli/simple_12_A_a.gif","self_paced","490","","7","simple_dissimilar","images/stimuli/simple_12_A_a.gif","","","","",""
"null","","html-keyboard-response","105","179044","0.0-22.0-0.3","SS1630642817043","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"922.2999999523163","","stimuli-presentation","106","180473","0.0-22.0-1.3","SS1630642817043","","","trial","","40","500","1422.2999999523163","images/stimuli/simple_11_A_a.gif","images/stimuli/simple_12_A_a.gif","self_paced","490","","7","simple_dissimilar","images/stimuli/simple_11_A_a.gif","","","","",""
"null","","html-keyboard-response","107","181366","0.0-22.0-0.4","SS1630642817043","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"62.700000047683716","","stimuli-presentation","108","181938","0.0-22.0-1.4","SS1630642817043","","","trial","","40","500","562.7000000476837","images/stimuli/simple_11_A_a.gif","images/stimuli/simple_12_A_a.gif","self_paced","490","","7","simple_dissimilar","images/stimuli/simple_12_A_a.gif","","","","",""
"null","","html-keyboard-response","109","183034","0.0-22.0-0.5","SS1630642817043","","","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"137.39999997615814","","stimuli-presentation","110","183677","0.0-22.0-1.5","SS1630642817043","","","trial","","40","500","637.3999999761581","images/stimuli/simple_11_A_a.gif","images/stimuli/simple_12_A_a.gif","self_paced","490","","7","simple_dissimilar","images/stimuli/simple_12_A_a.gif","","","","",""
"2562.899999976158","{""Q0"":4}","survey-likert","111","186243","0.0-23.0","SS1630642817043","","","curiousity","","","","","","","","","","","","","[0]","images/stimuli/simple_12_A_a.gif","7","",""
"2212.5999999046326","","instructions","112","188460","0.0-24.0","SS1630642817043","","[{""page_index"":0,""viewing_time"":2211.899999976158}]","instructions","","","","","","","","","","","","","","","","",""
"1664.3999999761581","{""Q0"":2}","survey-likert","113","190131","0.0-25.0","SS1630642817043","","","similarity_question","","","","","","","","","","","","","[0]","","","images/stimuli/complex_07_A_a.gif","images/stimuli/complex_15_A_a.gif"
"1682.7000000476837","{""Q0"":3}","survey-likert","114","191819","0.0-26.0","SS1630642817043","","","similarity_question","","","","","","","","","","","","","[0]","","","images/stimuli/complex_03_A_a.gif","images/stimuli/complex_05_A_a.gif"
"1576.7999999523163","{""Q0"":4}","survey-likert","115","193405","0.0-27.0","SS1630642817043","","","similarity_question","","","","","","","","","","","","","[0]","","","images/stimuli/simple_01_A_a.gif","images/stimuli/simple_04_A_a.gif"
