"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","rt","stimulus_type"
"true","fullscreen","0","4432","0.0-0.0","SS1627326925279","","",""
"","instructions","1","8156","0.0-1.0","SS1627326925279","[{""page_index"":0,""viewing_time"":3715}]","3716.000000000002",""
"","instructions","2","19597","0.0-2.0","SS1627326925279","[{""page_index"":0,""viewing_time"":4559},{""page_index"":1,""viewing_time"":4877}]","9437","instructions"
