"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","rt","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","forced_exposure_time","responses","question_order","memory_question_stimuli","memory_block_index","stimulus","block_number","block_type","stimulus_displayed","stimulus_left","stimulus_right"
"true","fullscreen","0","5564","0.0-0.0","SS1627326596231","","","","","","","","","","","","","","","","","","","","",""
"","instructions","1","9089","0.0-1.0","SS1627326596231","[{""page_index"":0,""viewing_time"":3523.100000023842}]","3523.7000000476837","","","","","","","","","","","","","","","","","","",""
"","instructions","2","30081","0.0-2.0","SS1627326596231","[{""page_index"":0,""viewing_time"":10439.899999976158},{""page_index"":1,""viewing_time"":8536}]","18976.200000047684","instructions","","","","","","","","","","","","","","","","","",""
"","stimuli-presentation","3","42594","0.0-3.0","SS1627326596231","","12008.800000071526","","","40","500","12508.800000071526","null","null","self_paced","0","","","","","","","","","",""
"","instructions","4","51537","0.0-4.0","SS1627326596231","[{""page_index"":0,""viewing_time"":8941.399999976158}]","8941.700000047684","instructions","","","","","","","","","","","","","","","","","",""
"","stimuli-presentation","5","62169","0.0-5.0","SS1627326596231","","10118.5","","","40","500","10618.5","null","null","forced_short","500","","","","","","","","","",""
"","stimuli-presentation","6","66369","0.0-6.0","SS1627326596231","","3697.1999999284744","","","40","500","4197.199999928474","null","null","forced_short","500","","","","","","","","","",""
"","instructions","7","69081","0.0-7.0","SS1627326596231","[{""page_index"":0,""viewing_time"":2711.1999999284744}]","2711.5","instructions","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","8","72586","0.0-8.0","SS1627326596231","","3502.100000023842","memory_test_practice","","","","","","","","","{""Q0"":""Yes""}","[0]","images/practice/instructions_example_spore2.gif","0","","","","","",""
"","survey-multi-choice","9","76169","0.0-9.0","SS1627326596231","","3579.399999976158","memory_test_practice","","","","","","","","","{""Q0"":""No""}","[0]","images/practice/instructions_example_spore0.gif","0","","","","","",""
"","instructions","10","87073","0.0-10.0","SS1627326596231","[{""page_index"":0,""viewing_time"":9684.100000023842},{""page_index"":1,""viewing_time"":1216}]","10900.400000095367","instructions","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","87895","0.0-11.0-0.0","SS1627326596231","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","12","90282","0.0-11.0-1.0","SS1627326596231","","1530.7999999523163","trial","","40","500","2030.7999999523163","images/stimuli/complex_14_A_b.gif","images/stimuli/complex_17_A_a.gif","forced_short","840","","","","","","0","complex_dissimilar","images/stimuli/complex_17_A_a.gif","",""
"","html-keyboard-response","13","91178","0.0-11.0-0.1","SS1627326596231","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","14","102696","0.0-11.0-1.1","SS1627326596231","","11016.399999976158","trial","","40","500","11516.399999976158","images/stimuli/complex_14_A_b.gif","images/stimuli/complex_17_A_a.gif","forced_short","840","","","","","","0","complex_dissimilar","images/stimuli/complex_17_A_a.gif","",""
"","html-keyboard-response","15","103849","0.0-11.0-0.2","SS1627326596231","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","16","105643","0.0-11.0-1.2","SS1627326596231","","1290.1000000238419","trial","","40","500","1790.1000000238419","images/stimuli/complex_14_A_b.gif","images/stimuli/complex_17_A_a.gif","forced_short","840","","","","","","0","complex_dissimilar","images/stimuli/complex_17_A_a.gif","",""
"","html-keyboard-response","17","106610","0.0-11.0-0.3","SS1627326596231","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","18","110007","0.0-11.0-1.3","SS1627326596231","","2894.100000023842","trial","","40","500","3394.100000023842","images/stimuli/complex_14_A_b.gif","images/stimuli/complex_17_A_a.gif","forced_short","840","","","","","","0","complex_dissimilar","images/stimuli/complex_17_A_a.gif","",""
"","html-keyboard-response","19","111232","0.0-11.0-0.4","SS1627326596231","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","20","115353","0.0-11.0-1.4","SS1627326596231","","3617.4000000953674","trial","","40","500","4117.400000095367","images/stimuli/complex_14_A_b.gif","images/stimuli/complex_17_A_a.gif","forced_short","840","","","","","","0","complex_dissimilar","images/stimuli/complex_17_A_a.gif","",""
"","html-keyboard-response","21","116559","0.0-11.0-0.5","SS1627326596231","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","22","129388","0.0-11.0-1.5","SS1627326596231","","12325.899999976158","trial","","40","500","12825.899999976158","images/stimuli/complex_14_A_b.gif","images/stimuli/complex_17_A_a.gif","forced_short","840","","","","","","0","complex_dissimilar","images/stimuli/complex_17_A_a.gif","",""
"","html-keyboard-response","23","130301","0.0-11.0-0.6","SS1627326596231","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","24","133286","0.0-11.0-1.6","SS1627326596231","","2481.5999999046326","trial","","40","500","2981.5999999046326","images/stimuli/complex_14_A_b.gif","images/stimuli/complex_17_A_a.gif","forced_short","840","","","","","","0","complex_dissimilar","images/stimuli/complex_17_A_a.gif","",""
"","html-keyboard-response","25","134140","0.0-11.0-0.7","SS1627326596231","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","26","134736","0.0-11.0-1.7","SS1627326596231","","91.79999995231628","trial","","40","500","591.7999999523163","images/stimuli/complex_14_A_b.gif","images/stimuli/complex_17_A_a.gif","forced_short","840","","","","","","0","complex_dissimilar","images/stimuli/complex_17_A_a.gif","",""
"","survey-multi-choice","27","138393","0.0-12.0","SS1627326596231","","3655.600000023842","memory_test","","","","","","","","","{""Q0"":""No""}","[0]","images/stimuli/complex_10_A_a.gif","0","","","","","",""
"","survey-multi-choice","28","140801","0.0-13.0","SS1627326596231","","2403.600000023842","memory_test","","","","","","","","","{""Q0"":""Yes""}","[0]","images/stimuli/complex_17_A_a.gif","0","","","","","",""
"","html-keyboard-response","29","141818","0.0-14.0-0.0","SS1627326596231","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","30","147069","0.0-14.0-1.0","SS1627326596231","","4717.799999952316","trial","","40","500","5217.799999952316","images/stimuli/complex_21_A_a.gif","images/stimuli/complex_18_A_a.gif","forced_short","530","","","","","","1","complex_dissimilar","images/stimuli/complex_18_A_a.gif","",""
"","html-keyboard-response","31","148069","0.0-14.0-0.1","SS1627326596231","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","32","154931","0.0-14.0-1.1","SS1627326596231","","6358.600000023842","trial","","40","500","6858.600000023842","images/stimuli/complex_21_A_a.gif","images/stimuli/complex_18_A_a.gif","forced_short","530","","","","","","1","complex_dissimilar","images/stimuli/complex_18_A_a.gif","",""
"","html-keyboard-response","33","156181","0.0-14.0-0.2","SS1627326596231","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","34","162553","0.0-14.0-1.2","SS1627326596231","","5863.399999976158","trial","","40","500","6363.399999976158","images/stimuli/complex_21_A_a.gif","images/stimuli/complex_18_A_a.gif","forced_short","530","","","","","","1","complex_dissimilar","images/stimuli/complex_21_A_a.gif","",""
"","html-keyboard-response","35","163503","0.0-14.0-0.3","SS1627326596231","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","36","167179","0.0-14.0-1.3","SS1627326596231","","3167","trial","","40","500","3667","images/stimuli/complex_21_A_a.gif","images/stimuli/complex_18_A_a.gif","forced_short","530","","","","","","1","complex_dissimilar","images/stimuli/complex_18_A_a.gif","",""
"","html-keyboard-response","37","168344","0.0-14.0-0.4","SS1627326596231","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","38","171889","0.0-14.0-1.4","SS1627326596231","","3038.7999999523163","trial","","40","500","3538.7999999523163","images/stimuli/complex_21_A_a.gif","images/stimuli/complex_18_A_a.gif","forced_short","530","","","","","","1","complex_dissimilar","images/stimuli/complex_18_A_a.gif","",""
"","html-keyboard-response","39","172697","0.0-14.0-0.5","SS1627326596231","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","40","177981","0.0-14.0-1.5","SS1627326596231","","4780.800000071526","trial","","40","500","5280.800000071526","images/stimuli/complex_21_A_a.gif","images/stimuli/complex_18_A_a.gif","forced_short","530","","","","","","1","complex_dissimilar","images/stimuli/complex_21_A_a.gif","",""
"","html-keyboard-response","41","179239","0.0-14.0-0.6","SS1627326596231","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","42","182682","0.0-14.0-1.6","SS1627326596231","","2940","trial","","40","500","3440","images/stimuli/complex_21_A_a.gif","images/stimuli/complex_18_A_a.gif","forced_short","530","","","","","","1","complex_dissimilar","images/stimuli/complex_18_A_a.gif","",""
"","html-keyboard-response","43","183640","0.0-14.0-0.7","SS1627326596231","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
