"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","rt","stimulus_type"
"true","fullscreen","0","5438","0.0-0.0","SS1627326556071","","",""
"","instructions","1","19065","0.0-1.0","SS1627326556071","[{""page_index"":0,""viewing_time"":13618.800000054762}]","13620.400000014342",""
"","instructions","2","58272","0.0-2.0","SS1627326556071","[{""page_index"":0,""viewing_time"":26499.7999999905},{""page_index"":1,""viewing_time"":10697.799999965355}]","37197.899999970105","instructions"
