"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","rt","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","forced_exposure_time","responses","question_order","memory_question_stimuli","memory_block_index","stimulus","block_number","block_type","stimulus_displayed","stimulus_left","stimulus_right"
"true","fullscreen","0","3452","0.0-0.0","SS1627327008681","","","","","","","","","","","","","","","","","","","","",""
"","instructions","1","16842","0.0-1.0","SS1627327008681","[{""page_index"":0,""viewing_time"":13386.08500000555}]","13387.054999999236","","","","","","","","","","","","","","","","","","",""
"","instructions","2","77160","0.0-2.0","SS1627327008681","[{""page_index"":0,""viewing_time"":55340.380000008736},{""page_index"":1,""viewing_time"":2972.239999973681}]","58313.10500000836","instructions","","","","","","","","","","","","","","","","","",""
"","stimuli-presentation","3","89769","0.0-3.0","SS1627327008681","","12105.449999973644","","","40","500","12605.449999973644","null","null","self_paced","0","","","","","","","","","",""
"","instructions","4","97075","0.0-4.0","SS1627327008681","[{""page_index"":0,""viewing_time"":7303.955000010319}]","7304.319999995641","instructions","","","","","","","","","","","","","","","","","",""
"","stimuli-presentation","5","99807","0.0-5.0","SS1627327008681","","2228.034999978263","","","40","500","2728.034999978263","null","null","forced_short","500","","","","","","","","","",""
"","stimuli-presentation","6","102294","0.0-6.0","SS1627327008681","","1983.6249999934807","","","40","500","2483.6249999934807","null","null","forced_short","500","","","","","","","","","",""
"","instructions","7","118979","0.0-7.0","SS1627327008681","[{""page_index"":0,""viewing_time"":16683.28499997733}]","16683.65000002086","instructions","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","8","121768","0.0-8.0","SS1627327008681","","2784.0399999986403","memory_test_practice","","","","","","","","","{""Q0"":""Yes""}","[0]","images/practice/instructions_example_spore2.gif","0","","","","","",""
"","survey-multi-choice","9","124217","0.0-9.0","SS1627327008681","","2446.055000007618","memory_test_practice","","","","","","","","","{""Q0"":""No""}","[0]","images/practice/instructions_example_spore0.gif","0","","","","","",""
"","instructions","10","132029","0.0-10.0","SS1627327008681","[{""page_index"":0,""viewing_time"":6713.120000029448},{""page_index"":1,""viewing_time"":1096.5049999649636}]","7810.135000036098","instructions","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","133298","0.0-11.0-0.0","SS1627327008681","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","12","135634","0.0-11.0-1.0","SS1627327008681","","2066.915000032168","trial","","40","500","2566.915000032168","images/stimuli/complex_17_A_b.gif","images/stimuli/complex_03_A_a.gif","forced_short","260","","","","","","0","complex_dissimilar","images/stimuli/complex_03_A_a.gif","",""
"","html-keyboard-response","13","136490","0.0-11.0-0.1","SS1627327008681","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","14","146093","0.0-11.0-1.1","SS1627327008681","","9099.385000008624","trial","","40","500","9599.385000008624","images/stimuli/complex_17_A_b.gif","images/stimuli/complex_03_A_a.gif","forced_short","260","","","","","","0","complex_dissimilar","images/stimuli/complex_03_A_a.gif","",""
"","html-keyboard-response","15","147129","0.0-11.0-0.2","SS1627327008681","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","16","148685","0.0-11.0-1.2","SS1627327008681","","1051.4449999900535","trial","","40","500","1551.4449999900535","images/stimuli/complex_17_A_b.gif","images/stimuli/complex_03_A_a.gif","forced_short","260","","","","","","0","complex_dissimilar","images/stimuli/complex_03_A_a.gif","",""
"","html-keyboard-response","17","149722","0.0-11.0-0.3","SS1627327008681","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","18","152908","0.0-11.0-1.3","SS1627327008681","","2679.1749999974854","trial","","40","500","3179.1749999974854","images/stimuli/complex_17_A_b.gif","images/stimuli/complex_03_A_a.gif","forced_short","260","","","","","","0","complex_dissimilar","images/stimuli/complex_03_A_a.gif","",""
"","html-keyboard-response","19","154058","0.0-11.0-0.4","SS1627327008681","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","20","160244","0.0-11.0-1.4","SS1627327008681","","5676.769999961834","trial","","40","500","6176.769999961834","images/stimuli/complex_17_A_b.gif","images/stimuli/complex_03_A_a.gif","forced_short","260","","","","","","0","complex_dissimilar","images/stimuli/complex_03_A_a.gif","",""
"","html-keyboard-response","21","161260","0.0-11.0-0.5","SS1627327008681","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","22","163179","0.0-11.0-1.5","SS1627327008681","","1412.3850000323728","trial","","40","500","1912.3850000323728","images/stimuli/complex_17_A_b.gif","images/stimuli/complex_03_A_a.gif","forced_short","260","","","","","","0","complex_dissimilar","images/stimuli/complex_03_A_a.gif","",""
"","html-keyboard-response","23","164142","0.0-11.0-0.6","SS1627327008681","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","24","170318","0.0-11.0-1.6","SS1627327008681","","5673.8100000075065","trial","","40","500","6173.8100000075065","images/stimuli/complex_17_A_b.gif","images/stimuli/complex_03_A_a.gif","forced_short","260","","","","","","0","complex_dissimilar","images/stimuli/complex_17_A_b.gif","",""
"","survey-multi-choice","25","172282","0.0-12.0","SS1627327008681","","1962.4250000342727","memory_test","","","","","","","","","{""Q0"":""No""}","[0]","images/stimuli/complex_06_A_a.gif","0","","","","","",""
"","survey-multi-choice","26","173947","0.0-13.0","SS1627327008681","","1660.604999982752","memory_test","","","","","","","","","{""Q0"":""Yes""}","[0]","images/stimuli/complex_03_A_a.gif","0","","","","","",""
"","html-keyboard-response","27","174878","0.0-14.0-0.0","SS1627327008681","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","28","177163","0.0-14.0-1.0","SS1627327008681","","1686.6399999707937","trial","","40","500","2186.6399999707937","images/stimuli/complex_16_A_b.gif","images/stimuli/complex_24_A_a.gif","forced_short","590","","","","","","1","complex_dissimilar","images/stimuli/complex_24_A_a.gif","",""
"","html-keyboard-response","29","178077","0.0-14.0-0.1","SS1627327008681","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","30","181700","0.0-14.0-1.1","SS1627327008681","","3121.0549999959767","trial","","40","500","3621.0549999959767","images/stimuli/complex_16_A_b.gif","images/stimuli/complex_24_A_a.gif","forced_short","590","","","","","","1","complex_dissimilar","images/stimuli/complex_24_A_a.gif","",""
"","html-keyboard-response","31","182844","0.0-14.0-0.2","SS1627327008681","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","32","184532","0.0-14.0-1.2","SS1627327008681","","1182.6500000315718","trial","","40","500","1682.6500000315718","images/stimuli/complex_16_A_b.gif","images/stimuli/complex_24_A_a.gif","forced_short","590","","","","","","1","complex_dissimilar","images/stimuli/complex_24_A_a.gif","",""
"","html-keyboard-response","33","185490","0.0-14.0-0.3","SS1627327008681","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","34","186539","0.0-14.0-1.3","SS1627327008681","","544.579999987036","trial","","40","500","1044.579999987036","images/stimuli/complex_16_A_b.gif","images/stimuli/complex_24_A_a.gif","forced_short","590","","","","","","1","complex_dissimilar","images/stimuli/complex_24_A_a.gif","",""
"","html-keyboard-response","35","187828","0.0-14.0-0.4","SS1627327008681","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","36","188515","0.0-14.0-1.4","SS1627327008681","","178.11000003712252","trial","","40","500","678.1100000371225","images/stimuli/complex_16_A_b.gif","images/stimuli/complex_24_A_a.gif","forced_short","590","","","","","","1","complex_dissimilar","images/stimuli/complex_24_A_a.gif","",""
"","html-keyboard-response","37","189766","0.0-14.0-0.5","SS1627327008681","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","38","191299","0.0-14.0-1.5","SS1627327008681","","1028.7999999709427","trial","","40","500","1528.7999999709427","images/stimuli/complex_16_A_b.gif","images/stimuli/complex_24_A_a.gif","forced_short","590","","","","","","1","complex_dissimilar","images/stimuli/complex_24_A_a.gif","",""
"","survey-multi-choice","39","193089","0.0-15.0","SS1627327008681","","1787.4099999899045","memory_test","","","","","","","","","{""Q0"":""Yes""}","[0]","images/stimuli/complex_24_A_a.gif","1","","","","","",""
"","survey-multi-choice","40","194930","0.0-16.0","SS1627327008681","","1837.0299999951385","memory_test","","","","","","","","","{""Q0"":""No""}","[0]","images/stimuli/complex_19_A_b.gif","1","","","","","",""
"","html-keyboard-response","41","196019","0.0-17.0-0.0","SS1627327008681","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","42","198131","0.0-17.0-1.0","SS1627327008681","","1488.1249999743886","trial","","40","500","1988.1249999743886","images/stimuli/complex_23_A_b.gif","images/stimuli/complex_02_A_a.gif","forced_short","620","","","","","","2","complex_dissimilar","images/stimuli/complex_02_A_a.gif","",""
"","html-keyboard-response","43","199072","0.0-17.0-0.1","SS1627327008681","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","44","201747","0.0-17.0-1.1","SS1627327008681","","2170.2199999708682","trial","","40","500","2670.2199999708682","images/stimuli/complex_23_A_b.gif","images/stimuli/complex_02_A_a.gif","forced_short","620","","","","","","2","complex_dissimilar","images/stimuli/complex_02_A_a.gif","",""
"","html-keyboard-response","45","202821","0.0-17.0-0.2","SS1627327008681","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","46","203699","0.0-17.0-1.2","SS1627327008681","","373.4249999979511","trial","","40","500","873.4249999979511","images/stimuli/complex_23_A_b.gif","images/stimuli/complex_02_A_a.gif","forced_short","620","","","","","","2","complex_dissimilar","images/stimuli/complex_02_A_a.gif","",""
"","html-keyboard-response","47","204809","0.0-17.0-0.3","SS1627327008681","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
