"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","rt","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","forced_exposure_time","responses","question_order","memory_question_stimuli","memory_block_index","stimulus","block_number","block_type","stimulus_displayed","stimulus_left","stimulus_right"
"true","fullscreen","0","3343","0.0-0.0","SS1627327324475","","","","","","","","","","","","","","","","","","","","",""
"","instructions","1","14101","0.0-1.0","SS1627327324475","[{""page_index"":0,""viewing_time"":10753.399999976158}]","10754.5","","","","","","","","","","","","","","","","","","",""
"","instructions","2","31286","0.0-2.0","SS1627327324475","[{""page_index"":0,""viewing_time"":10559.800000071526},{""page_index"":1,""viewing_time"":4622.699999928474}]","15182.800000071526","instructions","","","","","","","","","","","","","","","","","",""
"","stimuli-presentation","3","46329","0.0-3.0","SS1627327324475","","14538.100000023842","","","40","500","15038.100000023842","null","null","self_paced","0","","","","","","","","","",""
"","instructions","4","54782","0.0-4.0","SS1627327324475","[{""page_index"":0,""viewing_time"":8452.199999928474}]","8452.399999976158","instructions","","","","","","","","","","","","","","","","","",""
"","stimuli-presentation","5","64685","0.0-5.0","SS1627327324475","","9399.399999976158","","","40","500","9899.399999976158","null","null","forced_short","500","","","","","","","","","",""
"","stimuli-presentation","6","66810","0.0-6.0","SS1627327324475","","1622.8999999761581","","","40","500","2122.899999976158","null","null","forced_short","500","","","","","","","","","",""
"","instructions","7","72155","0.0-7.0","SS1627327324475","[{""page_index"":0,""viewing_time"":5343.700000047684}]","5343.899999976158","instructions","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","8","74855","0.0-8.0","SS1627327324475","","2696.6999999284744","memory_test_practice","","","","","","","","","{""Q0"":""Yes""}","[0]","images/practice/instructions_example_spore2.gif","0","","","","","",""
"","survey-multi-choice","9","77185","0.0-9.0","SS1627327324475","","2323.7999999523163","memory_test_practice","","","","","","","","","{""Q0"":""No""}","[0]","images/practice/instructions_example_spore0.gif","0","","","","","",""
"","instructions","10","92945","0.0-10.0","SS1627327324475","[{""page_index"":0,""viewing_time"":14167.700000047684},{""page_index"":1,""viewing_time"":1585.7000000476837}]","15753.700000047684","instructions","","","","","","","","","","","","","","","","","",""
