"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","rt","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","forced_exposure_time","responses","question_order","memory_question_stimuli","memory_block_index","stimulus","block_number","block_type","stimulus_displayed","stimulus_left","stimulus_right"
"","survey-multi-choice","86","529638","0.0-25.0","SS1627326983998","","2243.5","memory_test","","","","","","","","","{""Q0"":""Yes""}","[0]","images/stimuli/complex_23_A_a.gif","4","","","","","",""
"","html-keyboard-response","87","530785","0.0-26.0-0.0","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","88","532154","0.0-26.0-1.0","SS1627326983998","","980.8000000119209","trial","","40","500","1480.800000011921","images/stimuli/complex_22_A_b.gif","images/stimuli/complex_20_A_a.gif","forced_short","380","","","","","","5","complex_dissimilar","images/stimuli/complex_20_A_a.gif","",""
"","html-keyboard-response","89","533318","0.0-26.0-0.1","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","90","536963","0.0-26.0-1.1","SS1627326983998","","3134.100000023842","trial","","40","500","3634.100000023842","images/stimuli/complex_22_A_b.gif","images/stimuli/complex_20_A_a.gif","forced_short","380","","","","","","5","complex_dissimilar","images/stimuli/complex_20_A_a.gif","",""
"","html-keyboard-response","91","538188","0.0-26.0-0.2","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","92","539446","0.0-26.0-1.2","SS1627326983998","","739","trial","","40","500","1239","images/stimuli/complex_22_A_b.gif","images/stimuli/complex_20_A_a.gif","forced_short","380","","","","","","5","complex_dissimilar","images/stimuli/complex_20_A_a.gif","",""
"","html-keyboard-response","93","540344","0.0-26.0-0.3","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","94","541906","0.0-26.0-1.3","SS1627326983998","","1044.199999988079","trial","","40","500","1544.199999988079","images/stimuli/complex_22_A_b.gif","images/stimuli/complex_20_A_a.gif","forced_short","380","","","","","","5","complex_dissimilar","images/stimuli/complex_20_A_a.gif","",""
"","html-keyboard-response","95","543014","0.0-26.0-0.4","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","96","543625","0.0-26.0-1.4","SS1627326983998","","100","trial","","40","500","600","images/stimuli/complex_22_A_b.gif","images/stimuli/complex_20_A_a.gif","forced_short","380","","","","","","5","complex_dissimilar","images/stimuli/complex_20_A_a.gif","",""
"","html-keyboard-response","97","544633","0.0-26.0-0.5","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","98","546315","0.0-26.0-1.5","SS1627326983998","","1171.0999999642372","trial","","40","500","1671.0999999642372","images/stimuli/complex_22_A_b.gif","images/stimuli/complex_20_A_a.gif","forced_short","380","","","","","","5","complex_dissimilar","images/stimuli/complex_20_A_a.gif","",""
"","survey-multi-choice","99","549892","0.0-27.0","SS1627326983998","","3570.699999988079","memory_test","","","","","","","","","{""Q0"":""No""}","[0]","images/stimuli/complex_18_A_b.gif","5","","","","","",""
"","survey-multi-choice","100","552686","0.0-28.0","SS1627326983998","","2788.800000011921","memory_test","","","","","","","","","{""Q0"":""Yes""}","[0]","images/stimuli/complex_20_A_a.gif","5","","","","","",""
"","html-keyboard-response","101","553574","0.0-29.0-0.0","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","102","554595","0.0-29.0-1.0","SS1627326983998","","934.3000000119209","trial","","40","500","1434.300000011921","images/stimuli/complex_17_A_a.gif","images/stimuli/complex_15_A_a.gif","forced_short","80","","","","","","6","complex_dissimilar","images/stimuli/complex_15_A_a.gif","",""
"","html-keyboard-response","103","555655","0.0-29.0-0.1","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","104","562131","0.0-29.0-1.1","SS1627326983998","","5967.700000047684","trial","","40","500","6467.700000047684","images/stimuli/complex_17_A_a.gif","images/stimuli/complex_15_A_a.gif","forced_short","80","","","","","","6","complex_dissimilar","images/stimuli/complex_17_A_a.gif","",""
"","html-keyboard-response","105","563330","0.0-29.0-0.2","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
