"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected"
"[{""page_index"":0,""viewing_time"":118226.9999999553}]","118228.99999993388","instructions","0","118242","0.0-0.0","SS1613080065292","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3818.000000086613},{""page_index"":1,""viewing_time"":5952.999999979511}]","9773.000000044703","instructions","1","130755","0.0-1.0","SS1613080065292","instructions","","","","","","","","","","","","","","",""
"","5977.000000071712","sequential-stimulus-presentation","2","137665","0.0-2.0","SS1613080065292","","","40","800","6777.000000071712","null","null","","","","","","","","",""
"","586.9999999413267","sequential-stimulus-presentation","3","139163","0.0-3.0","SS1613080065292","","","40","800","1386.9999999413267","null","null","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1454.0000000270084}]","1456.000000005588","instructions","4","140642","0.0-4.0","SS1613080065292","instructions","","","","","","","","","","","","","","",""
"","7525.000000023283","html-keyboard-response","5","148181","0.0-5.0","SS1613080065292","instructions","","99","","","","","<video width ='960' height = '540' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","3","right","66%","","","","",""
"","1371.999999973923","sequential-stimulus-presentation","6","150385","0.0-6.0","SS1613080065292","pref_reveal","","40","800","2171.999999973923","null","null","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1766.0000000614673},{""page_index"":1,""viewing_time"":1437.999999965541},{""page_index"":2,""viewing_time"":797.0000000204891},{""page_index"":3,""viewing_time"":1000}]","5004.0000000735745","instructions","7","155393","0.0-7.0","SS1613080065292","instructions","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","156423","0.0-8.0-0.0","SS1613080065292","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","2334.000000031665","sequential-stimulus-presentation","9","159599","0.0-8.0-1.0","SS1613080065292","trial","","40","800","3134.000000031665","images/stimuli/spore_stims/complex_08_A_c.gif","images/stimuli/spore_stims/complex_20_A_d.gif","","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_20_A_d.gif","left",""
"","null","html-keyboard-response","10","160554","0.0-8.0-0.1","SS1613080065292","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","2513.0000000353903","sequential-stimulus-presentation","11","163900","0.0-8.0-1.1","SS1613080065292","trial","","40","800","3313.0000000353903","images/stimuli/spore_stims/complex_08_A_c.gif","images/stimuli/spore_stims/complex_20_A_d.gif","","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_20_A_d.gif","left",""
"","null","html-keyboard-response","12","165011","0.0-8.0-0.2","SS1613080065292","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","21163.000000058673","sequential-stimulus-presentation","13","186992","0.0-8.0-1.2","SS1613080065292","trial","","40","800","21963.000000058673","images/stimuli/spore_stims/complex_08_A_c.gif","images/stimuli/spore_stims/complex_20_A_d.gif","","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_20_A_d.gif","left",""
"","null","html-keyboard-response","14","188026","0.0-8.0-0.3","SS1613080065292","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","253.00000002607703","sequential-stimulus-presentation","15","189133","0.0-8.0-1.3","SS1613080065292","trial","","40","800","1053.000000026077","images/stimuli/spore_stims/complex_08_A_c.gif","images/stimuli/spore_stims/complex_20_A_d.gif","","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_20_A_d.gif","left",""
"","null","html-keyboard-response","16","190260","0.0-8.0-0.4","SS1613080065292","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","945.0000000651926","sequential-stimulus-presentation","17","192019","0.0-8.0-1.4","SS1613080065292","trial","","40","800","1745.0000000651926","images/stimuli/spore_stims/complex_08_A_c.gif","images/stimuli/spore_stims/complex_20_A_d.gif","","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_20_A_d.gif","left",""
"","null","html-keyboard-response","18","193301","0.0-8.0-0.5","SS1613080065292","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","599.9999999767169","sequential-stimulus-presentation","19","194741","0.0-8.0-1.5","SS1613080065292","trial","","40","800","1399.999999976717","images/stimuli/spore_stims/complex_08_A_c.gif","images/stimuli/spore_stims/complex_20_A_d.gif","","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_20_A_d.gif","left",""
"","null","html-keyboard-response","20","195852","0.0-8.0-0.6","SS1613080065292","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","100.99999990779907","sequential-stimulus-presentation","21","196829","0.0-8.0-1.6","SS1613080065292","trial","","40","800","900.9999999077991","images/stimuli/spore_stims/complex_08_A_c.gif","images/stimuli/spore_stims/complex_20_A_d.gif","","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_08_A_c.gif","middle",""
"","null","html-keyboard-response","22","197660","0.0-8.0-0.7","SS1613080065292","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","123.99999995250255","sequential-stimulus-presentation","23","198612","0.0-8.0-1.7","SS1613080065292","trial","","40","800","923.9999999525025","images/stimuli/spore_stims/complex_08_A_c.gif","images/stimuli/spore_stims/complex_20_A_d.gif","","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_20_A_d.gif","left",""
"","2422.999999951571","html-keyboard-response","24","201206","0.0-9.0","SS1613080065292","pref_question","","97","","","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","1","left","25%","0","","","",""
"","523.9999999757856","sequential-stimulus-presentation","25","202571","0.0-10.0","SS1613080065292","pref_reveal","","40","800","1323.9999999757856","null","null","","","","","0","","","","background"
"","null","html-keyboard-response","26","203488","0.0-11.0-0.0","SS1613080065292","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","739.9999999906868","sequential-stimulus-presentation","27","205078","0.0-11.0-1.0","SS1613080065292","trial","","40","800","1539.9999999906868","images/stimuli/spore_stims/simple_19_B_d.gif","images/stimuli/spore_stims/simple_14_A_c.gif","","","","","1","simple_dissimilar","images/stimuli/spore_stims/simple_14_A_c.gif","left",""
"","null","html-keyboard-response","28","205901","0.0-11.0-0.1","SS1613080065292","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","2356.000000028871","sequential-stimulus-presentation","29","209109","0.0-11.0-1.1","SS1613080065292","trial","","40","800","3156.000000028871","images/stimuli/spore_stims/simple_19_B_d.gif","images/stimuli/spore_stims/simple_14_A_c.gif","","","","","1","simple_dissimilar","images/stimuli/spore_stims/simple_14_A_c.gif","left",""
"","null","html-keyboard-response","30","210149","0.0-11.0-0.2","SS1613080065292","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","415.99999996833503","sequential-stimulus-presentation","31","211423","0.0-11.0-1.2","SS1613080065292","trial","","40","800","1215.999999968335","images/stimuli/spore_stims/simple_19_B_d.gif","images/stimuli/spore_stims/simple_14_A_c.gif","","","","","1","simple_dissimilar","images/stimuli/spore_stims/simple_19_B_d.gif","middle",""
