"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":4272.064999968279}]","4274.574999988545","instructions","0","4277","0.0-0.0","SS1613138525449","","","","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2095.6400000141},{""page_index"":1,""viewing_time"":16520.375000021886}]","18616.52999999933","instructions","1","24897","0.0-1.0","SS1613138525449","instructions","","","","","","","","","","","","","","","","","","",""
"","4803.220000001602","sequential-stimulus-presentation","2","30509","0.0-2.0","SS1613138525449","","","40","800","5603.220000001602","null","null","","","","","","","","","","","","",""
"","2910.9499999904074","sequential-stimulus-presentation","3","34227","0.0-3.0","SS1613138525449","","","40","800","3710.9499999904074","null","null","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4479.344999999739}]","4479.790000012144","instructions","4","38715","0.0-4.0","SS1613138525449","instructions","","","","","","","","","","","","","","","","","","",""
"","13271.30500000203","html-keyboard-response","5","51991","0.0-5.0","SS1613138525449","instructions","","50","","","","","<video width ='960' height = '540' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","2","middle","45%","","","","","","","","",""
"","2098.9450000342913","sequential-stimulus-presentation","6","54897","0.0-6.0","SS1613138525449","pref_reveal","","40","800","2898.9450000342913","null","null","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2319.169999973383},{""page_index"":1,""viewing_time"":1271.5800000005402},{""page_index"":2,""viewing_time"":1888.280000013765},{""page_index"":3,""viewing_time"":1463.6850000242703}]","6943.124999990687","instructions","7","61842","0.0-7.0","SS1613138525449","instructions","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","63084","0.0-8.0-0.0","SS1613138525449","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","1054.839999997057","sequential-stimulus-presentation","9","64954","0.0-8.0-1.0","SS1613138525449","trial","","40","800","1854.839999997057","images/stimuli/spore_stims/complex_06_B_d.gif","images/stimuli/spore_stims/complex_02_A_a.gif","","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_02_A_a.gif","middle","","","","",""
