"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","stimulus_displayed","position_displayed","stim_type_selected"
"[{""page_index"":0,""viewing_time"":2038.4349999949336},{""page_index"":1,""viewing_time"":10962.149999919347},{""page_index"":0,""viewing_time"":1324.5350000215694},{""page_index"":1,""viewing_time"":2383.4800000768155}]","16709.46499996353","instructions","instructions","0","16726","0.0-0.0","SS1611846940499","","","","","","","","","","",""
"","10898.599999956787","","sequential-stimulus-presentation","1","28557","0.0-1.0","SS1611846940499","","40","900","11798.599999956787","","","","","","",""
"","3065.7650000648573","","sequential-stimulus-presentation","2","32525","0.0-2.0","SS1611846940499","","40","900","3965.7650000648573","","","","","","",""
"[{""page_index"":0,""viewing_time"":1806.110000004992}]","1806.3100000144914","instructions","instructions","3","34334","0.0-3.0","SS1611846940499","","","","","","","","","","",""
"","3476.4750000322238","instructions","html-keyboard-response","4","37813","0.0-4.0","SS1611846940499","","50","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","2","middle","","","",""
"","2810.9849999891594","pref_reveal","sequential-stimulus-presentation","5","41529","0.0-5.0","SS1611846940499","","40","900","3710.9849999891594","","","","","","",""
"[{""page_index"":0,""viewing_time"":1307.8750000568107},{""page_index"":1,""viewing_time"":677.544999984093},{""page_index"":2,""viewing_time"":840.154999983497},{""page_index"":3,""viewing_time"":2067.1950000105426}]","4892.985000042245","instructions","instructions","6","46424","0.0-6.0","SS1611846940499","","","","","","","","","","",""
"","null","","html-keyboard-response","7","47486","0.0-7.0-0.0","SS1611846940499","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","1495.5999999074265","trial","sequential-stimulus-presentation","8","49887","0.0-7.0-1.0","SS1611846940499","","40","900","2395.5999999074265","","","","0","images/stimuli/spore_stims/simple_05_A_b.gif","right",""
"","null","","html-keyboard-response","9","50917","0.0-7.0-0.1","SS1611846940499","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","2153.1299999915063","trial","sequential-stimulus-presentation","10","53976","0.0-7.0-1.1","SS1611846940499","","40","900","3053.1299999915063","","","","0","images/stimuli/spore_stims/simple_05_A_b.gif","right",""
"","null","","html-keyboard-response","11","55159","0.0-7.0-0.2","SS1611846940499","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","2876.315000001341","trial","sequential-stimulus-presentation","12","58943","0.0-7.0-1.2","SS1611846940499","","40","900","3776.315000001341","","","","0","images/stimuli/spore_stims/simple_05_A_b.gif","right",""
"","null","","html-keyboard-response","13","59952","0.0-7.0-0.3","SS1611846940499","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","2429.9850000534207","trial","sequential-stimulus-presentation","14","63289","0.0-7.0-1.3","SS1611846940499","","40","900","3329.9850000534207","","","","0","images/stimuli/spore_stims/simple_05_A_b.gif","right",""
"","null","","html-keyboard-response","15","64448","0.0-7.0-0.4","SS1611846940499","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","4900.2950000576675","trial","sequential-stimulus-presentation","16","70256","0.0-7.0-1.4","SS1611846940499","","40","900","5800.2950000576675","","","","0","images/stimuli/spore_stims/simple_05_A_b.gif","right",""
"","null","","html-keyboard-response","17","71404","0.0-7.0-0.5","SS1611846940499","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","5344.705000054091","trial","sequential-stimulus-presentation","18","77657","0.0-7.0-1.5","SS1611846940499","","40","900","6244.705000054091","","","","0","images/stimuli/spore_stims/simple_05_A_b.gif","right",""
"","null","","html-keyboard-response","19","78921","0.0-7.0-0.6","SS1611846940499","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","2252.749999985099","trial","sequential-stimulus-presentation","20","82081","0.0-7.0-1.6","SS1611846940499","","40","900","3152.749999985099","","","","0","images/stimuli/spore_stims/simple_05_B_b.gif","middle",""
"","null","","html-keyboard-response","21","83149","0.0-7.0-0.7","SS1611846940499","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","4668.150000041351","trial","sequential-stimulus-presentation","22","88727","0.0-7.0-1.7","SS1611846940499","","40","900","5568.150000041351","","","","0","images/stimuli/spore_stims/simple_05_A_b.gif","right",""
"","3699.5800000149757","pref_question","html-keyboard-response","23","92436","0.0-8.0","SS1611846940499","","51","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","3","right","0","","",""
"","4657.754999934696","pref_reveal","sequential-stimulus-presentation","24","98005","0.0-9.0","SS1611846940499","","40","900","5557.754999934696","","","","0","","","background"
"","null","","html-keyboard-response","25","98820","0.0-10.0-0.0","SS1611846940499","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","4155.569999944419","trial","sequential-stimulus-presentation","26","103884","0.0-10.0-1.0","SS1611846940499","","40","900","5055.569999944419","","","","1","images/stimuli/spore_stims/simple_07_A_b.gif","middle",""
